Date,Value,Open,Close,High,Low
02/01/20,2976060.0,10.4,10.1,10.4,9.8
03/01/20,26350.0,10.3,10.1,10.3,10.1
06/01/20,40739.0,10.1,10.0,10.1,9.7
07/01/20,13466.0,9.54,9.78,9.78,9.54
08/01/20,253776.0,9.72,9.52,9.72,9.52
09/01/20,116831.0,9.52,9.6,9.9,9.52
10/01/20,66918.0,9.62,9.65,9.8,9.62
14/01/20,52393.0,9.65,9.8,9.8,9.59
15/01/20,37075.0,9.85,9.6,9.85,9.6
16/01/20,86055.0,9.7,9.8,9.9,9.55
17/01/20,94015.0,9.51,9.83,9.88,9.51
20/01/20,191247.0,9.81,9.4,9.81,9.4
21/01/20,164793.0,9.83,9.41,9.83,9.38
22/01/20,84994.0,9.5,9.42,9.75,9.41
23/01/20,118972.0,9.5,9.7,9.7,9.33
24/01/20,53963.0,9.6,9.59,9.69,9.4
27/01/20,26782.0,9.58,9.53,9.58,9.53
28/01/20,56899.0,9.5,9.39,9.6,9.39
29/01/20,87633.0,9.4,9.41,9.69,9.4
30/01/20,30118.0,9.41,9.68,9.68,9.4
31/01/20,43314.0,9.69,9.4,9.69,9.34
03/02/20,120540.0,9.4,9.49,9.49,9.25
04/02/20,127769.0,9.49,9.49,9.6,9.4
05/02/20,125508.0,9.49,9.7,9.7,9.45
06/02/20,442645.0,9.7,9.0,9.7,8.95
07/02/20,487735.0,9.0,9.0,9.0,8.95
10/02/20,56545.0,9.0,9.0,9.0,8.95
11/02/20,138516.0,9.0,8.9,9.0,8.9
12/02/20,67220.0,9.0,8.9,9.0,8.9
13/02/20,314200.0,9.0,8.9,9.0,8.9
14/02/20,204490.0,8.9,8.5,8.9,8.5
17/02/20,46990.0,8.9,8.85,8.9,8.65
18/02/20,465540.0,8.9,8.8,8.9,8.7
19/02/20,566611.0,8.7,8.5,8.85,8.0
20/02/20,1018579.0,8.5,8.0,8.5,7.8
21/02/20,799016.0,8.0,8.2,8.2,8.0
24/02/20,313398.0,8.2,8.0,8.38,8.0
26/02/20,320777.0,8.0,7.46,8.0,7.4
27/02/20,34371.0,7.46,7.48,7.48,7.46
28/02/20,216328.0,7.47,7.4,7.48,7.3
02/03/20,142910.0,7.38,7.32,7.4,7.32
03/03/20,70094.0,7.3,7.3,7.32,7.3
04/03/20,33940.0,7.3,7.2,7.3,7.2
05/03/20,70003.0,7.2,7.21,7.35,7.2
06/03/20,631038.0,7.21,7.95,8.51,7.21
09/03/20,577418.0,8.0,6.9,8.0,6.9
