Date,Value,Open,Close,High,Low
02/01/20,3757234.0,14.74,14.74,14.76,14.74
03/01/20,5005790.0,14.76,14.78,14.78,14.7
06/01/20,10195004.0,14.76,14.7,14.76,14.68
07/01/20,7000758.0,14.8,14.76,14.8,14.7
08/01/20,7490190.0,14.76,14.7,14.76,14.7
09/01/20,8627826.0,14.76,14.7,14.76,14.7
10/01/20,6548130.0,14.76,14.7,14.8,14.7
14/01/20,8818680.0,14.8,14.68,14.8,14.68
15/01/20,7386556.0,14.72,14.72,14.74,14.72
16/01/20,7582274.0,14.72,14.72,14.74,14.72
17/01/20,5817284.0,14.5,14.72,14.74,14.5
20/01/20,7765762.0,14.72,14.7,14.82,14.7
21/01/20,7686372.0,14.72,14.72,14.72,14.7
22/01/20,7415950.0,14.72,14.72,14.74,14.72
23/01/20,7465784.0,14.7,14.7,14.74,14.7
24/01/20,5862978.0,14.72,14.72,14.74,14.72
27/01/20,6270720.0,14.72,14.72,14.72,14.72
28/01/20,6681408.0,14.72,14.72,14.72,14.72
29/01/20,1682504.0,14.72,14.72,14.74,14.72
30/01/20,5995520.0,14.72,14.76,14.76,14.72
31/01/20,5855694.0,14.76,14.74,14.76,14.72
03/02/20,8165162.0,14.72,14.7,14.74,14.7
04/02/20,5894234.0,14.76,14.76,14.76,14.72
05/02/20,6648406.0,14.72,14.72,14.76,14.72
06/02/20,5524552.0,14.72,14.84,14.84,14.72
07/02/20,6021586.0,14.72,14.72,14.76,14.72
10/02/20,14494552.0,14.72,14.86,14.86,14.62
11/02/20,12575640.0,14.8,14.7,14.8,14.7
12/02/20,13106602.0,14.7,14.7,14.74,14.7
13/02/20,12161178.0,14.7,14.7,14.74,14.7
14/02/20,11115870.0,14.72,14.7,14.74,14.7
17/02/20,11980544.0,14.7,14.72,14.74,14.7
18/02/20,15637300.0,14.7,14.7,14.72,14.7
19/02/20,14425750.0,14.72,14.72,14.72,14.7
20/02/20,14912388.0,14.72,14.7,14.74,14.7
21/02/20,11305660.0,14.72,14.7,14.74,14.7
24/02/20,22360320.0,14.7,14.7,14.74,14.7
26/02/20,19586512.0,14.64,14.68,14.72,14.64
27/02/20,15010176.0,14.68,14.66,14.68,14.66
28/02/20,8655468.0,14.6,14.2,14.6,14.2
02/03/20,24691310.0,14.0,14.16,14.2,14.0
03/03/20,18064966.0,14.16,14.1,14.18,14.1
04/03/20,9094764.0,14.1,14.18,14.2,14.1
05/03/20,8801600.0,14.2,14.18,14.2,14.18
06/03/20,13160082.0,14.2,14.16,14.2,14.16
09/03/20,26007898.0,14.1,14.1,14.2,14.1
10/03/20,7876396.0,13.94,14.0,14.16,13.94
11/03/20,9467260.0,14.1,14.14,14.22,14.1
12/03/20,12067204.0,14.14,14.08,14.14,14.08
13/03/20,8209860.0,14.0,14.0,14.02,14.0
16/03/20,2699432.0,14.0,14.0,14.1,14.0
19/03/20,6542658.0,14.0,13.5,14.0,13.5
20/03/20,19003878.0,13.5,14.0,14.0,13.4
23/03/20,9525600.0,13.5,13.5,13.5,13.5
24/03/20,15991932.0,13.0,13.0,13.24,12.8
25/03/20,11686922.0,13.0,13.0,13.16,12.8
26/03/20,4269400.0,13.0,12.9,13.2,12.9
27/03/20,5654442.0,12.9,12.5,12.9,12.5
30/03/20,278602.0,11.82,11.98,12.48,11.6
31/03/20,1821982.0,11.98,11.96,12.0,11.8
01/04/20,4055694.0,11.98,11.96,12.0,11.78
02/04/20,1034798.0,11.9,11.8,11.9,11.8
03/04/20,1324762.0,11.8,11.6,11.9,11.6
06/04/20,857510.0,11.6,11.6,11.88,11.6
07/04/20,1245166.0,11.6,11.64,11.64,11.6
08/04/20,2494808.0,11.8,11.6,11.8,11.54
13/04/20,76410.0,11.96,11.56,11.96,11.54
14/04/20,990876.0,11.6,11.6,11.66,11.54
15/04/20,1723446.0,11.58,11.66,11.66,11.58
16/04/20,2907868.0,11.66,12.0,12.1,11.62
17/04/20,3286704.0,11.98,11.8,11.98,11.54
20/04/20,1868374.0,11.8,11.58,11.8,11.58
21/04/20,492968.0,11.58,11.6,11.7,11.58
22/04/20,1228220.0,11.6,11.5,11.6,11.5
23/04/20,106956.0,11.56,11.5,11.56,11.5
24/04/20,585218.0,11.48,10.5,11.48,10.0
27/04/20,299164.0,10.88,10.8,10.88,10.72
28/04/20,19382.0,11.0,10.74,11.0,10.72
29/04/20,212214.0,10.72,10.7,11.0,10.7
30/04/20,82884.0,10.7,10.9,10.9,10.68
04/05/20,32128.0,10.9,10.68,10.9,10.68
05/05/20,80220.0,10.68,10.62,10.8,10.62
06/05/20,132850.0,10.64,10.62,10.96,10.6
07/05/20,189850.0,10.6,10.52,10.6,10.5
08/05/20,213420.0,10.5,10.4,10.5,10.4
