Date,Value,Open,Close,High,Low
02/01/20,8567.0,6.59,6.59,6.59,6.59
03/01/20,1974.0,6.58,6.58,6.58,6.58
06/01/20,222630.0,6.58,6.3,6.58,6.3
07/01/20,137680.0,6.5,6.25,6.5,6.2
08/01/20,7668.0,6.39,6.39,6.39,6.39
09/01/20,6400.0,6.4,6.4,6.4,6.4
14/01/20,367715.0,6.4,6.4,6.4,6.21
15/01/20,206095.0,6.4,6.35,6.4,6.3
16/01/20,1917.0,6.39,6.39,6.39,6.39
17/01/20,3200.0,6.4,6.4,6.4,6.4
21/01/20,20089.0,6.22,6.38,6.38,6.21
23/01/20,6390.0,6.39,6.39,6.39,6.39
27/01/20,9330.0,6.22,6.22,6.22,6.22
28/01/20,441875.0,6.25,6.25,6.25,6.25
29/01/20,100261.0,6.38,6.18,6.38,6.18
30/01/20,344846.0,6.2,6.0,6.2,6.0
31/01/20,20631.0,6.37,6.24,6.37,6.24
03/02/20,240012.0,6.01,6.0,6.01,6.0
04/02/20,253200.0,6.0,6.0,6.0,6.0
05/02/20,1212000.0,6.0,6.0,6.0,6.0
06/02/20,2045041.0,6.2,6.2,6.2,6.01
07/02/20,130050.0,6.2,6.1,6.2,6.1
11/02/20,787898.0,6.04,6.05,6.35,6.03
12/02/20,311425.0,6.05,6.1,6.1,6.05
13/02/20,18600.0,6.2,6.2,6.2,6.2
18/02/20,111790.0,6.1,6.19,6.19,6.1
20/02/20,14640.0,6.1,6.1,6.1,6.1
21/02/20,85400.0,6.1,6.1,6.1,6.1
24/02/20,1246.0,6.11,6.35,6.35,6.11
26/02/20,416708.0,6.1,6.1,6.36,6.1
27/02/20,151294.0,6.36,6.1,6.56,6.1
28/02/20,54679.0,6.1,6.1,6.1,5.97
02/03/20,152500.0,6.1,6.1,6.1,6.1
04/03/20,226920.0,6.1,6.1,6.1,6.1
05/03/20,3190.0,6.38,6.38,6.38,6.38
06/03/20,197642.0,6.12,6.1,6.12,6.1
09/03/20,190930.0,6.1,6.1,6.1,6.1
10/03/20,245549.0,6.1,6.4,6.71,6.1
11/03/20,670.0,6.7,6.7,6.7,6.7
12/03/20,288697.0,6.1,5.98,6.1,5.7
13/03/20,112601.0,5.8,6.0,6.0,5.7
16/03/20,77511.0,6.6,6.0,6.69,6.0
19/03/20,325518.0,6.6,6.0,6.6,6.0
20/03/20,90386.0,6.6,6.54,6.68,6.0
23/03/20,73824.0,6.3,6.0,6.3,6.0
24/03/20,73336.0,6.18,6.25,6.26,6.1
25/03/20,868352.0,6.22,6.55,6.65,6.2
26/03/20,253993.0,6.29,5.98,6.3,5.8
27/03/20,294229.0,6.24,6.0,6.24,5.92
30/03/20,10800.0,6.0,6.0,6.0,6.0
31/03/20,12714.0,6.35,6.36,6.36,6.35
01/04/20,183000.0,6.0,6.0,6.0,6.0
02/04/20,148800.0,6.0,6.0,6.0,6.0
03/04/20,66026.0,6.0,6.0,6.26,6.0
06/04/20,9334.0,6.24,6.22,6.24,6.22
07/04/20,252700.0,6.0,6.0,6.02,6.0
