Date,Value,Open,Close,High,Low
02/01/20,2335472.0,15.4,15.7,15.7,14.8
03/01/20,4268900.0,15.9,15.9,16.0,15.7
06/01/20,13042452.0,16.1,17.02,17.5,16.1
07/01/20,18476652.0,17.0,19.02,19.26,16.72
08/01/20,36240230.0,19.2,19.3,20.0,18.96
09/01/20,11780172.0,19.48,19.0,19.9,19.0
10/01/20,2317762.0,19.4,18.5,19.4,18.5
14/01/20,2477970.0,18.0,18.4,18.4,18.0
15/01/20,4797940.0,18.2,18.02,18.4,18.0
16/01/20,8134356.0,18.0,17.42,18.22,17.42
17/01/20,1355130.0,17.04,17.2,17.3,17.04
20/01/20,10301088.0,17.5,17.92,19.0,17.5
21/01/20,1387734.0,17.9,17.24,18.0,17.24
22/01/20,11480634.0,17.4,17.16,17.96,16.78
23/01/20,2747672.0,17.18,17.44,19.0,17.18
24/01/20,7105874.0,17.5,17.04,17.8,17.04
27/01/20,5636076.0,17.1,16.8,17.1,16.8
28/01/20,3272934.0,16.8,16.9,16.92,16.5
29/01/20,3518948.0,16.9,17.0,18.1,16.82
30/01/20,5235404.0,17.0,17.0,17.48,16.6
31/01/20,921548.0,17.0,16.42,17.0,16.4
03/02/20,1933600.0,16.5,17.46,17.8,16.5
04/02/20,3029424.0,17.6,17.74,18.0,17.4
05/02/20,1779860.0,17.74,17.4,17.96,17.4
06/02/20,2382700.0,17.74,17.5,17.74,17.32
07/02/20,4947556.0,17.5,17.0,17.5,16.9
10/02/20,7265098.0,17.04,16.7,17.04,16.5
11/02/20,8410186.0,16.6,16.56,16.7,16.02
12/02/20,7359794.0,16.72,16.92,17.58,16.72
13/02/20,3581466.0,16.92,16.9,17.42,16.9
14/02/20,12528500.0,16.94,17.14,17.4,16.94
17/02/20,5820946.0,17.14,17.48,17.48,16.86
18/02/20,13367584.0,17.62,17.54,18.4,17.54
19/02/20,19438258.0,17.68,18.1,18.1,17.26
20/02/20,101894326.0,18.88,21.8,22.0,18.4
21/02/20,49355998.0,21.4,19.66,21.5,19.52
24/02/20,93987806.0,19.68,23.0,23.25,19.66
26/02/20,72076475.0,21.95,23.0,23.75,21.2
27/02/20,72663200.0,24.5,23.5,24.85,23.3
