Date,Value,Open,Close,High,Low
02/01/20,49372.0,14.96,15.0,15.0,14.96
03/01/20,791018.0,15.0,16.9,16.94,15.0
06/01/20,1900974.0,15.5,16.88,16.88,15.1
07/01/20,9768070.0,16.86,18.02,18.02,16.5
08/01/20,37919464.0,18.02,18.0,18.2,17.9
09/01/20,8987574.0,17.94,18.0,18.6,17.9
10/01/20,2152956.0,18.5,17.9,18.5,17.06
14/01/20,3611290.0,17.9,17.5,17.9,17.5
15/01/20,6586240.0,17.22,16.98,17.22,16.98
16/01/20,3580662.0,17.0,16.78,17.0,16.72
17/01/20,622112.0,16.72,16.5,16.72,16.5
20/01/20,1337004.0,16.7,16.58,16.7,16.38
21/01/20,2386232.0,16.4,16.2,16.4,16.2
22/01/20,4232500.0,16.3,15.88,16.3,15.7
23/01/20,4855548.0,16.0,15.7,16.5,15.7
24/01/20,2482300.0,16.0,15.5,16.0,15.42
27/01/20,1321798.0,15.5,15.4,15.5,15.34
28/01/20,9089160.0,15.5,15.6,15.7,15.5
29/01/20,13165562.0,16.0,15.6,18.2,15.6
30/01/20,3567346.0,15.8,15.56,15.9,15.5
31/01/20,4261086.0,15.6,15.3,15.6,15.3
03/02/20,2278810.0,15.56,15.4,16.0,15.4
04/02/20,1533862.0,15.52,15.32,15.8,15.2
05/02/20,8153158.0,15.7,15.6,16.0,15.2
06/02/20,2569340.0,15.7,15.7,16.12,15.6
07/02/20,813808.0,15.7,16.0,16.0,15.62
10/02/20,9100876.0,16.0,15.4,16.0,15.32
11/02/20,5237404.0,15.1,14.74,15.1,14.54
12/02/20,2581338.0,14.88,14.9,14.9,14.86
13/02/20,2448130.0,14.84,14.86,15.02,14.84
14/02/20,342420.0,14.86,15.6,15.6,14.84
17/02/20,3801370.0,15.6,15.9,15.9,15.6
18/02/20,8621058.0,15.9,15.88,16.3,15.88
19/02/20,8839112.0,15.86,15.9,15.9,15.72
20/02/20,50959498.0,16.2,16.82,17.38,16.2
21/02/20,10415744.0,16.8,16.0,17.0,16.0
24/02/20,41912434.0,16.0,17.0,18.06,15.8
