Date,Value,Open,Close,High,Low
02/01/20,237920.0,3.84,3.82,3.84,3.82
03/01/20,156720.0,3.81,3.93,4.0,3.8
06/01/20,87690.0,3.81,3.88,3.88,3.8
07/01/20,26730.0,3.81,3.87,3.87,3.81
08/01/20,186560.0,3.81,3.95,3.95,3.8
09/01/20,198430.0,3.82,3.8,3.82,3.8
10/01/20,57220.0,3.8,3.82,3.82,3.8
14/01/20,462240.0,3.82,3.77,3.82,3.77
15/01/20,291650.0,3.75,3.93,3.95,3.71
16/01/20,553840.0,3.91,3.9,3.91,3.71
17/01/20,45100.0,3.76,3.78,3.78,3.74
20/01/20,30370.0,3.78,3.89,3.89,3.78
21/01/20,126490.0,4.02,3.88,4.02,3.76
22/01/20,692360.0,3.89,4.29,4.32,3.88
23/01/20,307020.0,4.18,4.1,4.29,4.1
24/01/20,239750.0,4.15,4.15,4.15,4.05
27/01/20,210180.0,4.05,4.2,4.32,4.05
28/01/20,59540.0,4.3,4.19,4.32,4.1
29/01/20,1755090.0,4.29,4.32,4.5,4.1
30/01/20,21500.0,4.3,4.3,4.3,4.3
31/01/20,527110.0,4.11,4.12,4.16,3.89
03/02/20,296910.0,3.9,3.96,4.0,3.6
04/02/20,63410.0,3.95,4.1,4.1,3.9
07/02/20,7920.0,3.82,4.1,4.1,3.82
11/02/20,1606830.0,3.8,3.65,3.91,3.6
12/02/20,109200.0,3.6,3.65,3.65,3.6
13/02/20,306980.0,3.6,3.74,3.74,3.5
14/02/20,7300.0,3.51,3.79,3.79,3.51
18/02/20,21320.0,3.51,3.77,3.77,3.51
21/02/20,22560.0,3.74,3.79,3.79,3.74
24/02/20,136290.0,3.7,3.68,3.73,3.5
27/02/20,39790.0,3.01,3.8,3.8,3.01
04/03/20,65540.0,3.1,3.7,3.7,3.08
09/03/20,119690.0,3.69,3.38,3.69,3.05
10/03/20,43000.0,3.06,3.36,3.36,3.04
11/03/20,3360.0,3.36,3.36,3.36,3.36
12/03/20,135350.0,3.36,3.33,3.36,3.03
13/03/20,298410.0,3.01,3.25,3.25,2.89
19/03/20,33250.0,2.9,3.3,3.3,2.5
24/03/20,6400.0,3.2,3.2,3.2,3.2
25/03/20,5800.0,2.61,3.19,3.19,2.61
30/03/20,16890.0,2.51,3.18,3.18,2.5
31/03/20,14410.0,2.69,3.13,3.13,2.69
01/04/20,1098980.0,2.65,2.82,2.85,2.6
02/04/20,60790.0,2.8,2.81,2.81,2.69
03/04/20,122750.0,2.65,2.71,2.8,2.65
07/04/20,379980.0,2.66,2.67,2.67,2.5
08/04/20,46250.0,2.68,2.59,2.68,2.5
13/04/20,16800.0,2.89,2.81,2.89,2.75
16/04/20,59620.0,2.78,2.69,2.78,2.69
17/04/20,196570.0,2.52,3.15,3.2,2.52
20/04/20,37240.0,3.12,3.1,3.12,3.1
21/04/20,71090.0,3.07,3.08,3.08,2.8
23/04/20,152220.0,2.9,2.99,3.06,2.8
24/04/20,17040.0,2.84,2.84,2.84,2.84
27/04/20,101640.0,2.83,2.97,2.98,2.72
29/04/20,307270.0,2.72,2.74,2.94,2.7
30/04/20,87480.0,2.74,2.73,2.74,2.73
04/05/20,170740.0,2.79,2.72,2.79,2.7
05/05/20,129470.0,2.6,2.7,2.71,2.6
06/05/20,18200.0,2.6,2.6,2.6,2.6
07/05/20,7800.0,2.6,2.6,2.6,2.6
08/05/20,203570.0,2.62,2.53,2.62,2.53
11/05/20,45480.0,2.53,2.51,2.53,2.51
12/05/20,25300.0,2.53,2.53,2.53,2.53
13/05/20,13260.0,2.67,2.64,2.67,2.64
14/05/20,10400.0,2.6,2.6,2.6,2.6
15/05/20,20240.0,2.53,2.53,2.53,2.53
18/05/20,337750.0,2.51,2.5,2.51,2.5
19/05/20,40170.0,2.79,2.31,2.79,2.31
21/05/20,2450.0,2.45,2.45,2.45,2.45
22/05/20,26330.0,2.4,2.39,2.4,2.39
26/05/20,53880.0,2.49,2.3,2.49,2.3
27/05/20,67760.0,2.4,2.32,2.4,2.32
29/05/20,4650.0,2.33,2.32,2.33,2.32
01/06/20,140380.0,2.31,2.3,2.31,2.3
02/06/20,44650.0,2.35,2.35,2.35,2.35
03/06/20,9400.0,2.35,2.35,2.35,2.35
04/06/20,142240.0,2.52,2.71,2.95,2.33
05/06/20,46000.0,2.45,2.69,2.69,2.44
08/06/20,81020.0,2.47,2.68,2.68,2.47
09/06/20,47560.0,2.85,2.7,2.85,2.7
10/06/20,436820.0,2.7,2.6,2.7,2.41
11/06/20,39300.0,2.62,2.62,2.62,2.62
15/06/20,109700.0,2.5,2.8,2.8,2.4
16/06/20,5440.0,2.72,2.72,2.72,2.72
18/06/20,111490.0,2.4,2.49,2.49,2.4
19/06/20,45740.0,2.59,2.54,2.59,2.49
22/06/20,148790.0,2.46,2.52,2.52,2.4
23/06/20,80580.0,2.5,2.53,2.59,2.5
24/06/20,20240.0,2.53,2.53,2.53,2.53
25/06/20,30960.0,2.58,2.58,2.58,2.58
26/06/20,25800.0,2.58,2.58,2.58,2.58
29/06/20,246100.0,2.69,2.8,2.82,2.69
30/06/20,28860.0,2.8,2.55,2.8,2.51
01/07/20,164770.0,2.51,2.55,2.55,2.4
02/07/20,141020.0,2.5,2.45,2.55,2.45
03/07/20,10160.0,2.54,2.54,2.54,2.54
06/07/20,19580.0,2.45,2.45,2.45,2.43
07/07/20,34520.0,2.47,2.47,2.47,2.46
08/07/20,12280.0,2.46,2.45,2.46,2.45
13/07/20,9720.0,2.43,2.43,2.43,2.43
14/07/20,48430.0,2.43,2.41,2.43,2.41
15/07/20,9680.0,2.42,2.42,2.42,2.42
16/07/20,74600.0,2.43,2.4,2.43,2.4
17/07/20,7590.0,2.53,2.53,2.53,2.53
20/07/20,14840.0,2.5,2.42,2.5,2.42
21/07/20,422130.0,2.42,2.55,2.55,2.42
22/07/20,99450.0,2.55,2.55,2.55,2.55
