Date,Value,Open,Close,High,Low
02/01/20,205300.0,0.39,0.385,0.39,0.385
03/01/20,642250.0,0.385,0.415,0.415,0.385
06/01/20,301900.0,0.41,0.41,0.41,0.4
07/01/20,240200.0,0.41,0.4,0.41,0.4
08/01/20,139750.0,0.41,0.41,0.42,0.41
09/01/20,515400.0,0.4,0.4,0.4,0.395
10/01/20,321250.0,0.405,0.405,0.405,0.4
14/01/20,387000.0,0.405,0.4,0.41,0.4
15/01/20,158300.0,0.41,0.405,0.41,0.4
16/01/20,859650.0,0.41,0.41,0.43,0.405
17/01/20,434950.0,0.425,0.42,0.43,0.42
20/01/20,308800.0,0.42,0.405,0.42,0.405
21/01/20,2298400.0,0.405,0.425,0.435,0.4
22/01/20,1211000.0,0.425,0.445,0.445,0.42
23/01/20,2487450.0,0.46,0.45,0.465,0.445
24/01/20,1118300.0,0.46,0.44,0.465,0.425
27/01/20,733600.0,0.435,0.42,0.435,0.41
28/01/20,825450.0,0.415,0.42,0.425,0.41
29/01/20,205800.0,0.42,0.42,0.42,0.42
30/01/20,556800.0,0.42,0.425,0.425,0.415
31/01/20,973850.0,0.415,0.4,0.43,0.395
03/02/20,824550.0,0.395,0.39,0.405,0.39
04/02/20,624000.0,0.39,0.39,0.39,0.39
05/02/20,1082650.0,0.39,0.38,0.39,0.38
06/02/20,768600.0,0.375,0.39,0.405,0.375
07/02/20,670600.0,0.39,0.39,0.39,0.385
10/02/20,133950.0,0.39,0.395,0.4,0.39
11/02/20,168750.0,0.4,0.4,0.41,0.395
12/02/20,181250.0,0.39,0.4,0.405,0.39
13/02/20,851200.0,0.4,0.38,0.4,0.375
14/02/20,284900.0,0.38,0.39,0.395,0.38
17/02/20,580000.0,0.39,0.395,0.405,0.39
18/02/20,317950.0,0.395,0.39,0.395,0.39
19/02/20,50700.0,0.39,0.39,0.39,0.39
20/02/20,181150.0,0.395,0.395,0.4,0.39
21/02/20,332950.0,0.39,0.405,0.405,0.39
24/02/20,443350.0,0.405,0.4,0.405,0.39
26/02/20,508350.0,0.385,0.39,0.39,0.375
27/02/20,7382250.0,0.4,0.42,0.43,0.39
28/02/20,4634150.0,0.42,0.4,0.435,0.4
02/03/20,1926150.0,0.4,0.395,0.4,0.37
03/03/20,6934200.0,0.395,0.405,0.43,0.39
04/03/20,4566800.0,0.41,0.4,0.43,0.4
05/03/20,1630350.0,0.4,0.42,0.42,0.4
06/03/20,582400.0,0.42,0.41,0.425,0.4
09/03/20,1765550.0,0.4,0.375,0.405,0.37
10/03/20,1142000.0,0.375,0.385,0.385,0.37
11/03/20,368450.0,0.38,0.375,0.38,0.37
12/03/20,2095150.0,0.38,0.33,0.38,0.32
13/03/20,314700.0,0.32,0.31,0.33,0.3
16/03/20,19000.0,0.31,0.35,0.35,0.31
19/03/20,352500.0,0.31,0.27,0.34,0.27
20/03/20,145700.0,0.29,0.31,0.34,0.29
23/03/20,74000.0,0.31,0.28,0.31,0.28
24/03/20,1556600.0,0.28,0.27,0.28,0.27
25/03/20,1380150.0,0.29,0.26,0.29,0.25
26/03/20,1826400.0,0.26,0.255,0.27,0.25
27/03/20,980150.0,0.265,0.245,0.27,0.245
30/03/20,151950.0,0.255,0.245,0.255,0.24
31/03/20,51450.0,0.245,0.245,0.245,0.245
01/04/20,208020.0,0.246,0.255,0.255,0.246
02/04/20,421200.0,0.25,0.265,0.265,0.25
03/04/20,135550.0,0.265,0.275,0.275,0.265
06/04/20,162250.0,0.275,0.275,0.275,0.27
07/04/20,378050.0,0.27,0.275,0.295,0.27
08/04/20,126200.0,0.28,0.285,0.29,0.28
13/04/20,241900.0,0.3,0.29,0.3,0.29
14/04/20,459500.0,0.29,0.3,0.35,0.29
15/04/20,376450.0,0.32,0.32,0.34,0.315
16/04/20,395600.0,0.32,0.305,0.325,0.305
17/04/20,94900.0,0.31,0.305,0.31,0.305
20/04/20,201550.0,0.325,0.315,0.325,0.3
21/04/20,145700.0,0.3,0.295,0.32,0.295
22/04/20,104650.0,0.295,0.3,0.31,0.295
23/04/20,190850.0,0.29,0.32,0.32,0.29
24/04/20,151300.0,0.31,0.32,0.32,0.31
27/04/20,6200.0,0.31,0.31,0.31,0.31
28/04/20,230900.0,0.31,0.3,0.32,0.3
29/04/20,110450.0,0.31,0.295,0.31,0.295
30/04/20,937250.0,0.31,0.32,0.34,0.31
04/05/20,121400.0,0.31,0.325,0.325,0.31
05/05/20,392350.0,0.325,0.32,0.325,0.31
06/05/20,33900.0,0.305,0.31,0.31,0.305
07/05/20,52250.0,0.315,0.305,0.315,0.305
08/05/20,120200.0,0.31,0.3,0.31,0.3
11/05/20,242150.0,0.31,0.29,0.31,0.29
12/05/20,47250.0,0.29,0.295,0.3,0.29
13/05/20,97100.0,0.295,0.295,0.3,0.29
14/05/20,73750.0,0.295,0.295,0.295,0.295
15/05/20,50950.0,0.295,0.3,0.3,0.295
18/05/20,40700.0,0.295,0.29,0.295,0.29
19/05/20,182400.0,0.28,0.3,0.31,0.28
20/05/20,131400.0,0.31,0.305,0.31,0.305
21/05/20,214150.0,0.305,0.305,0.32,0.305
22/05/20,18050.0,0.305,0.3,0.305,0.3
26/05/20,104650.0,0.295,0.29,0.295,0.29
27/05/20,64000.0,0.3,0.3,0.3,0.29
28/05/20,95750.0,0.29,0.295,0.295,0.29
29/05/20,89500.0,0.29,0.285,0.29,0.285
01/06/20,78750.0,0.285,0.29,0.3,0.285
02/06/20,80900.0,0.295,0.3,0.3,0.295
03/06/20,67850.0,0.295,0.295,0.295,0.295
04/06/20,372750.0,0.295,0.305,0.305,0.295
05/06/20,250650.0,0.305,0.31,0.315,0.3
08/06/20,3075350.0,0.31,0.35,0.35,0.3
09/06/20,1593750.0,0.35,0.355,0.355,0.34
10/06/20,813250.0,0.345,0.36,0.36,0.345
11/06/20,493400.0,0.355,0.355,0.37,0.34
15/06/20,174350.0,0.35,0.33,0.355,0.33
16/06/20,186100.0,0.33,0.34,0.35,0.32
17/06/20,46000.0,0.32,0.34,0.34,0.32
18/06/20,80800.0,0.32,0.34,0.34,0.32
19/06/20,158200.0,0.32,0.34,0.345,0.32
22/06/20,50850.0,0.34,0.335,0.345,0.335
23/06/20,212400.0,0.32,0.335,0.335,0.32
24/06/20,256500.0,0.33,0.325,0.335,0.32
25/06/20,341450.0,0.32,0.315,0.32,0.31
26/06/20,75600.0,0.315,0.315,0.315,0.315
29/06/20,77500.0,0.31,0.31,0.31,0.31
30/06/20,86800.0,0.31,0.31,0.31,0.31
01/07/20,219650.0,0.31,0.305,0.315,0.305
02/07/20,315800.0,0.3,0.31,0.31,0.3
03/07/20,598500.0,0.31,0.33,0.33,0.305
06/07/20,593200.0,0.335,0.325,0.335,0.32
07/07/20,313900.0,0.32,0.32,0.335,0.31
08/07/20,736100.0,0.31,0.315,0.315,0.31
09/07/20,73400.0,0.305,0.315,0.315,0.305
10/07/20,52600.0,0.305,0.31,0.31,0.305
13/07/20,97550.0,0.305,0.305,0.32,0.3
14/07/20,162550.0,0.305,0.32,0.32,0.305
15/07/20,112950.0,0.315,0.305,0.315,0.3
16/07/20,9300.0,0.31,0.31,0.31,0.31
17/07/20,7276450.0,0.315,0.34,0.37,0.315
20/07/20,1751800.0,0.34,0.34,0.35,0.32
21/07/20,397150.0,0.325,0.34,0.34,0.325
22/07/20,1139950.0,0.33,0.33,0.345,0.32
23/07/20,429750.0,0.315,0.33,0.335,0.31
24/07/20,123150.0,0.325,0.325,0.325,0.31
27/07/20,298600.0,0.31,0.325,0.325,0.31
28/07/20,523500.0,0.31,0.32,0.32,0.3
29/07/20,316550.0,0.31,0.315,0.32,0.31
30/07/20,226100.0,0.305,0.315,0.315,0.305
03/08/20,94200.0,0.305,0.31,0.31,0.3
04/08/20,42650.0,0.3,0.31,0.31,0.3
05/08/20,125350.0,0.31,0.315,0.315,0.3
06/08/20,208100.0,0.315,0.31,0.315,0.3
07/08/20,808650.0,0.305,0.31,0.31,0.3
10/08/20,23744900.0,0.3,0.305,0.34,0.3
11/08/20,570700.0,0.31,0.305,0.315,0.305
12/08/20,222400.0,0.31,0.31,0.315,0.305
13/08/20,851350.0,0.31,0.3,0.31,0.3
14/08/20,684250.0,0.3,0.3,0.305,0.3
17/08/20,344350.0,0.295,0.3,0.305,0.295
18/08/20,691950.0,0.295,0.3,0.3,0.295
19/08/20,669550.0,0.3,0.3,0.305,0.3
20/08/20,742900.0,0.305,0.3,0.305,0.295
24/08/20,159450.0,0.295,0.295,0.305,0.295
25/08/20,418200.0,0.295,0.3,0.3,0.295
26/08/20,458850.0,0.295,0.295,0.3,0.295
27/08/20,17850.0,0.295,0.3,0.3,0.295
28/08/20,366700.0,0.3,0.295,0.3,0.295
01/09/20,80050.0,0.3,0.295,0.3,0.295
02/09/20,823650.0,0.295,0.295,0.305,0.295
03/09/20,599500.0,0.3,0.295,0.3,0.29
04/09/20,427700.0,0.295,0.295,0.295,0.29
07/09/20,1209200.0,0.3,0.295,0.3,0.29
08/09/20,1150500.0,0.295,0.295,0.295,0.295
09/09/20,542100.0,0.295,0.295,0.295,0.29
10/09/20,724200.0,0.295,0.305,0.31,0.295
11/09/20,568250.0,0.305,0.305,0.31,0.305
14/09/20,1285250.0,0.3,0.29,0.3,0.29
15/09/20,607400.0,0.295,0.3,0.3,0.29
16/09/20,773300.0,0.3,0.295,0.3,0.29
17/09/20,137650.0,0.295,0.295,0.295,0.29
18/09/20,233050.0,0.295,0.295,0.295,0.295
21/09/20,773000.0,0.295,0.305,0.31,0.295
22/09/20,169600.0,0.305,0.3,0.305,0.3
23/09/20,18100.0,0.3,0.305,0.305,0.3
24/09/20,101200.0,0.3,0.3,0.3,0.295
25/09/20,246900.0,0.305,0.305,0.305,0.3
