Date,Value,Open,Close,High,Low
02/01/20,395390.0,0.93,0.93,0.93,0.91
03/01/20,1895620.0,0.92,0.9,0.94,0.9
06/01/20,1606480.0,0.9,0.92,0.95,0.89
07/01/20,403620.0,0.93,0.93,0.93,0.93
08/01/20,214540.0,0.91,0.93,0.93,0.91
09/01/20,1553290.0,0.91,0.91,0.91,0.88
10/01/20,758000.0,0.89,0.93,0.93,0.89
14/01/20,1692650.0,0.91,0.93,0.93,0.91
15/01/20,1291530.0,0.93,0.94,0.94,0.93
16/01/20,9365190.0,0.94,0.96,1.02,0.94
17/01/20,2160000.0,0.97,0.97,1.01,0.96
20/01/20,3805750.0,0.99,1.01,1.05,0.96
21/01/20,2302430.0,1.02,1.0,1.03,0.97
22/01/20,789390.0,0.97,0.99,1.01,0.97
23/01/20,291320.0,0.97,0.99,1.0,0.97
24/01/20,867120.0,0.97,0.95,1.0,0.95
27/01/20,2166140.0,0.95,0.92,0.95,0.92
28/01/20,2050350.0,0.92,0.94,0.95,0.91
29/01/20,253320.0,0.94,0.92,0.94,0.91
30/01/20,1653630.0,0.93,0.92,0.93,0.9
31/01/20,1219200.0,0.9,0.9,0.92,0.88
03/02/20,393880.0,0.89,0.9,0.9,0.88
04/02/20,283650.0,0.88,0.91,0.91,0.88
05/02/20,122520.0,0.9,0.9,0.9,0.89
06/02/20,257020.0,0.89,0.91,0.91,0.88
07/02/20,699750.0,0.89,0.92,0.92,0.89
10/02/20,330960.0,0.92,0.91,0.92,0.88
11/02/20,2039050.0,0.91,0.89,0.91,0.86
12/02/20,665860.0,0.9,0.89,0.92,0.89
13/02/20,1811090.0,0.89,0.9,0.9,0.88
14/02/20,2402920.0,0.9,0.9,0.9,0.88
17/02/20,426850.0,0.89,0.89,0.9,0.88
18/02/20,359630.0,0.89,0.9,0.9,0.88
19/02/20,592380.0,0.9,0.91,0.92,0.9
20/02/20,624800.0,0.9,0.93,0.94,0.9
21/02/20,937670.0,0.93,0.93,0.94,0.93
24/02/20,387260.0,0.94,0.93,0.94,0.9
26/02/20,425980.0,0.89,0.89,0.9,0.88
27/02/20,383140.0,0.89,0.89,0.9,0.88
28/02/20,518520.0,0.88,0.9,0.91,0.88
02/03/20,412280.0,0.88,0.89,0.9,0.86
03/03/20,488920.0,0.88,0.9,0.9,0.88
04/03/20,976620.0,0.89,0.88,0.89,0.88
05/03/20,706110.0,0.89,0.9,0.9,0.88
06/03/20,363110.0,0.88,0.89,0.9,0.88
09/03/20,1948830.0,0.88,0.84,0.88,0.8
10/03/20,182580.0,0.77,0.86,0.86,0.77
11/03/20,1257570.0,0.87,0.8,0.87,0.79
12/03/20,2860890.0,0.83,0.68,0.83,0.68
13/03/20,1989790.0,0.68,0.69,0.7,0.65
16/03/20,300270.0,0.65,0.6,0.65,0.6
19/03/20,291440.0,0.55,0.51,0.55,0.5
20/03/20,491475.0,0.41,0.5,0.51,0.41
23/03/20,15770.0,0.53,0.52,0.53,0.52
24/03/20,18050.0,0.52,0.5,0.53,0.5
25/03/20,1833625.0,0.52,0.495,0.54,0.45
26/03/20,375700.0,0.51,0.56,0.57,0.51
27/03/20,840000.0,0.55,0.53,0.55,0.5
30/03/20,198645.0,0.53,0.52,0.53,0.495
31/03/20,111810.0,0.52,0.52,0.53,0.52
01/04/20,6760.0,0.52,0.52,0.52,0.52
02/04/20,349940.0,0.5,0.5,0.5,0.495
03/04/20,69650.0,0.5,0.51,0.51,0.495
06/04/20,19499595.0,0.5,0.43,0.5,0.39
07/04/20,2270200.0,0.45,0.42,0.45,0.42
08/04/20,5118900.0,0.425,0.455,0.455,0.415
13/04/20,1021050.0,0.455,0.43,0.455,0.43
14/04/20,1028100.0,0.44,0.45,0.45,0.43
15/04/20,1374900.0,0.455,0.47,0.48,0.455
16/04/20,1231700.0,0.49,0.46,0.49,0.435
17/04/20,521500.0,0.45,0.46,0.465,0.445
20/04/20,402850.0,0.47,0.465,0.47,0.455
21/04/20,615550.0,0.47,0.45,0.47,0.45
22/04/20,542000.0,0.45,0.45,0.455,0.44
23/04/20,5026250.0,0.455,0.53,0.54,0.455
24/04/20,4608030.0,0.53,0.53,0.57,0.5
27/04/20,1472640.0,0.53,0.52,0.53,0.5
28/04/20,1554910.0,0.51,0.51,0.53,0.5
29/04/20,1459700.0,0.51,0.53,0.53,0.5
30/04/20,5486380.0,0.54,0.57,0.59,0.53
04/05/20,2777720.0,0.57,0.52,0.58,0.52
05/05/20,658110.0,0.52,0.53,0.54,0.52
06/05/20,826030.0,0.54,0.53,0.54,0.51
07/05/20,343040.0,0.53,0.51,0.54,0.51
08/05/20,520000.0,0.53,0.51,0.54,0.51
11/05/20,381610.0,0.51,0.51,0.53,0.51
12/05/20,855890.0,0.52,0.54,0.54,0.51
13/05/20,514240.0,0.54,0.53,0.54,0.51
14/05/20,679070.0,0.52,0.53,0.53,0.5
15/05/20,418230.0,0.52,0.53,0.53,0.52
18/05/20,497980.0,0.51,0.51,0.53,0.51
19/05/20,508500.0,0.51,0.51,0.54,0.51
20/05/20,392810.0,0.53,0.52,0.53,0.5
21/05/20,280000.0,0.5,0.51,0.52,0.5
22/05/20,345360.0,0.51,0.51,0.52,0.51
26/05/20,1164050.0,0.52,0.52,0.52,0.51
27/05/20,3143630.0,0.53,0.56,0.56,0.52
28/05/20,3331390.0,0.56,0.57,0.58,0.55
29/05/20,1217620.0,0.58,0.58,0.58,0.56
01/06/20,2147330.0,0.58,0.55,0.58,0.54
02/06/20,882640.0,0.55,0.55,0.56,0.54
03/06/20,932620.0,0.55,0.57,0.57,0.54
04/06/20,802580.0,0.57,0.58,0.58,0.56
05/06/20,2226410.0,0.58,0.62,0.62,0.58
08/06/20,2173020.0,0.64,0.63,0.65,0.61
09/06/20,2725550.0,0.62,0.62,0.63,0.6
10/06/20,1338670.0,0.62,0.61,0.62,0.6
11/06/20,663620.0,0.6,0.61,0.61,0.58
15/06/20,687980.0,0.6,0.58,0.6,0.58
16/06/20,292500.0,0.59,0.6,0.6,0.59
17/06/20,1640040.0,0.59,0.58,0.59,0.55
18/06/20,1686460.0,0.57,0.56,0.57,0.55
19/06/20,758740.0,0.56,0.57,0.57,0.54
22/06/20,332150.0,0.57,0.56,0.57,0.55
23/06/20,641520.0,0.56,0.57,0.57,0.55
24/06/20,623530.0,0.57,0.57,0.59,0.56
25/06/20,479930.0,0.56,0.56,0.56,0.55
26/06/20,215350.0,0.56,0.56,0.57,0.55
29/06/20,558640.0,0.57,0.56,0.57,0.54
30/06/20,963180.0,0.54,0.56,0.56,0.54
01/07/20,463120.0,0.55,0.56,0.56,0.54
02/07/20,424000.0,0.56,0.56,0.56,0.55
03/07/20,1720970.0,0.55,0.56,0.56,0.54
06/07/20,444280.0,0.54,0.55,0.55,0.53
07/07/20,575950.0,0.56,0.55,0.56,0.54
08/07/20,157280.0,0.54,0.54,0.55,0.54
09/07/20,468160.0,0.54,0.54,0.54,0.52
10/07/20,857650.0,0.53,0.54,0.54,0.51
13/07/20,92450.0,0.53,0.53,0.54,0.53
14/07/20,3808120.0,0.53,0.58,0.62,0.53
15/07/20,1474490.0,0.59,0.57,0.61,0.55
16/07/20,2186430.0,0.57,0.6,0.6,0.57
17/07/20,99730690.0,0.75,0.66,0.83,0.66
20/07/20,9825120.0,0.67,0.66,0.68,0.62
21/07/20,3702880.0,0.65,0.63,0.65,0.62
22/07/20,4834770.0,0.64,0.61,0.64,0.6
23/07/20,3667170.0,0.6,0.58,0.61,0.58
24/07/20,1165770.0,0.58,0.6,0.62,0.57
27/07/20,990520.0,0.61,0.6,0.61,0.57
28/07/20,938730.0,0.59,0.61,0.61,0.58
29/07/20,1705140.0,0.62,0.62,0.64,0.6
30/07/20,585450.0,0.62,0.61,0.62,0.59
03/08/20,1246260.0,0.58,0.57,0.59,0.57
04/08/20,191270.0,0.57,0.59,0.59,0.57
05/08/20,992040.0,0.59,0.6,0.6,0.57
06/08/20,316000.0,0.6,0.59,0.6,0.57
07/08/20,596170.0,0.59,0.58,0.6,0.57
10/08/20,782310.0,0.57,0.58,0.59,0.57
11/08/20,704650.0,0.58,0.58,0.59,0.57
12/08/20,362640.0,0.59,0.59,0.59,0.57
