Date,Value,Open,Close,High,Low
02/01/20,17062570.0,0.86,0.9,0.92,0.85
03/01/20,5817920.0,0.9,0.89,0.91,0.88
06/01/20,11711300.0,0.91,0.88,0.91,0.86
07/01/20,6681180.0,0.87,0.86,0.89,0.86
08/01/20,13922830.0,0.85,0.88,0.88,0.84
09/01/20,28272550.0,0.88,0.93,0.94,0.88
10/01/20,65966780.0,0.97,0.92,0.97,0.91
14/01/20,14999780.0,0.92,0.9,0.93,0.88
15/01/20,2471280.0,0.9,0.89,0.92,0.89
16/01/20,10893810.0,0.9,0.89,0.91,0.88
17/01/20,9243800.0,0.89,0.91,0.92,0.88
20/01/20,30979430.0,0.91,0.89,0.91,0.86
21/01/20,17674260.0,0.89,0.86,0.89,0.85
22/01/20,5763040.0,0.86,0.87,0.88,0.86
23/01/20,5060330.0,0.87,0.86,0.87,0.86
24/01/20,5520660.0,0.86,0.86,0.88,0.86
27/01/20,14856150.0,0.87,0.89,0.9,0.86
28/01/20,5826760.0,0.89,0.87,0.89,0.87
29/01/20,1945980.0,0.87,0.87,0.88,0.86
30/01/20,6671120.0,0.87,0.86,0.88,0.86
31/01/20,20259720.0,0.86,0.83,0.87,0.81
03/02/20,3741080.0,0.82,0.84,0.85,0.81
04/02/20,2418880.0,0.85,0.85,0.86,0.84
05/02/20,18503410.0,0.85,0.89,0.89,0.83
06/02/20,7951500.0,0.88,0.88,0.9,0.87
07/02/20,5965050.0,0.88,0.9,0.9,0.86
10/02/20,5926210.0,0.9,0.88,0.9,0.87
11/02/20,1926160.0,0.87,0.88,0.88,0.87
12/02/20,3478330.0,0.87,0.87,0.88,0.86
13/02/20,26780250.0,0.87,0.87,0.88,0.83
14/02/20,22139610.0,0.89,0.89,0.92,0.88
17/02/20,8760460.0,0.9,0.9,0.91,0.88
18/02/20,12677080.0,0.9,0.91,0.92,0.89
19/02/20,11822960.0,0.91,0.88,0.91,0.88
20/02/20,16626310.0,0.88,0.87,0.88,0.85
21/02/20,8187900.0,0.87,0.88,0.89,0.86
24/02/20,15179590.0,0.87,0.86,0.88,0.86
26/02/20,12790380.0,0.75,0.76,0.76,0.72
27/02/20,5690690.0,0.76,0.73,0.76,0.72
28/02/20,17561230.0,0.73,0.71,0.73,0.67
02/03/20,4092890.0,0.7,0.68,0.7,0.67
03/03/20,3325980.0,0.69,0.69,0.71,0.69
04/03/20,1498740.0,0.69,0.69,0.69,0.67
05/03/20,2720670.0,0.69,0.7,0.71,0.67
06/03/20,994460.0,0.7,0.68,0.7,0.68
09/03/20,7781420.0,0.67,0.59,0.67,0.58
10/03/20,5629100.0,0.56,0.58,0.59,0.53
11/03/20,8372100.0,0.58,0.61,0.62,0.57
12/03/20,3436740.0,0.59,0.58,0.59,0.53
13/03/20,6982215.0,0.52,0.54,0.55,0.46
16/03/20,1550700.0,0.53,0.51,0.53,0.49
19/03/20,3354570.0,0.485,0.45,0.495,0.445
20/03/20,1113350.0,0.45,0.47,0.49,0.45
23/03/20,1252400.0,0.46,0.45,0.47,0.44
24/03/20,215600.0,0.44,0.46,0.46,0.44
25/03/20,1792900.0,0.475,0.485,0.49,0.475
26/03/20,4513950.0,0.495,0.52,0.52,0.49
27/03/20,4073620.0,0.53,0.52,0.56,0.5
30/03/20,1150820.0,0.5,0.5,0.52,0.48
31/03/20,811520.0,0.51,0.52,0.52,0.5
01/04/20,737200.0,0.52,0.51,0.53,0.51
02/04/20,428710.0,0.51,0.52,0.52,0.5
03/04/20,1041630.0,0.53,0.52,0.53,0.51
06/04/20,1001390.0,0.52,0.51,0.53,0.5
07/04/20,2803300.0,0.51,0.51,0.53,0.5
08/04/20,713770.0,0.51,0.52,0.52,0.5
13/04/20,773680.0,0.52,0.52,0.53,0.51
14/04/20,10552180.0,0.53,0.59,0.6,0.53
15/04/20,4465410.0,0.61,0.57,0.63,0.57
16/04/20,3264150.0,0.58,0.56,0.58,0.54
17/04/20,1527390.0,0.56,0.57,0.58,0.56
20/04/20,4188780.0,0.58,0.59,0.59,0.56
21/04/20,5127510.0,0.59,0.6,0.63,0.57
22/04/20,2468850.0,0.6,0.6,0.61,0.58
23/04/20,2798110.0,0.6,0.6,0.61,0.57
24/04/20,1524250.0,0.6,0.59,0.6,0.58
27/04/20,2292910.0,0.59,0.57,0.59,0.56
28/04/20,775260.0,0.58,0.57,0.58,0.57
29/04/20,1141190.0,0.57,0.59,0.59,0.57
30/04/20,1892060.0,0.59,0.58,0.6,0.58
04/05/20,3032090.0,0.58,0.56,0.58,0.55
05/05/20,1345250.0,0.57,0.57,0.58,0.55
06/05/20,3329680.0,0.55,0.56,0.58,0.54
07/05/20,1807990.0,0.55,0.55,0.56,0.54
08/05/20,751580.0,0.55,0.55,0.56,0.54
11/05/20,439960.0,0.56,0.55,0.56,0.54
12/05/20,5776710.0,0.54,0.53,0.56,0.52
13/05/20,4862820.0,0.53,0.51,0.54,0.51
14/05/20,1781860.0,0.52,0.52,0.52,0.5
15/05/20,823940.0,0.52,0.53,0.53,0.51
18/05/20,1371790.0,0.53,0.51,0.53,0.5
19/05/20,992170.0,0.51,0.51,0.52,0.5
20/05/20,577970.0,0.51,0.52,0.52,0.5
21/05/20,382760.0,0.51,0.51,0.52,0.5
22/05/20,3506345.0,0.51,0.485,0.51,0.485
26/05/20,2192300.0,0.485,0.475,0.5,0.465
27/05/20,225900.0,0.47,0.48,0.49,0.47
28/05/20,547050.0,0.48,0.475,0.48,0.47
29/05/20,1237350.0,0.48,0.47,0.49,0.47
01/06/20,684700.0,0.47,0.475,0.485,0.47
02/06/20,877800.0,0.48,0.495,0.495,0.475
03/06/20,2320950.0,0.495,0.5,0.51,0.485
04/06/20,3618060.0,0.51,0.53,0.53,0.51
05/06/20,3352060.0,0.54,0.54,0.55,0.52
08/06/20,11379250.0,0.54,0.57,0.58,0.51
09/06/20,2726090.0,0.57,0.56,0.57,0.54
10/06/20,2567990.0,0.56,0.54,0.56,0.53
11/06/20,10407330.0,0.54,0.51,0.54,0.5
15/06/20,3654760.0,0.51,0.5,0.52,0.485
16/06/20,1077950.0,0.5,0.51,0.51,0.495
17/06/20,1642175.0,0.51,0.5,0.51,0.495
18/06/20,2844000.0,0.5,0.49,0.5,0.49
