Date,Value,Open,Close,High,Low
02/01/20,39031131.5,51.45,52.25,52.25,51.25
03/01/20,63402692.0,52.25,52.35,53.2,51.65
06/01/20,46381647.5,51.7,52.8,52.8,51.55
07/01/20,27769479.5,52.0,52.5,52.85,51.65
08/01/20,34874381.0,52.4,51.85,52.4,50.55
09/01/20,52396697.0,51.85,51.8,51.9,51.05
10/01/20,29554767.0,51.8,52.0,52.0,51.55
14/01/20,99950304.0,52.0,52.0,52.5,51.6
15/01/20,42035770.5,51.7,52.4,52.4,51.7
16/01/20,50929395.0,52.0,53.0,53.0,51.75
17/01/20,43906192.5,52.5,54.0,54.0,52.5
20/01/20,25602641.5,54.0,52.75,54.0,52.25
21/01/20,23070625.0,52.75,51.15,53.5,51.15
22/01/20,50026679.5,51.2,52.0,52.05,50.9
23/01/20,33842129.5,52.0,53.0,53.0,51.05
24/01/20,40758291.5,53.0,52.95,53.0,51.3
27/01/20,31367197.0,52.5,52.8,53.25,52.25
28/01/20,24455212.5,52.8,50.9,52.8,50.9
29/01/20,21797089.5,51.0,51.5,51.8,50.25
30/01/20,22321878.5,51.45,50.9,51.5,50.55
31/01/20,119092058.0,51.5,49.3,51.5,49.3
03/02/20,42878120.0,49.3,49.8,51.45,48.05
04/02/20,52493665.0,49.8,49.85,51.0,49.8
05/02/20,34372485.0,50.05,51.0,51.25,50.05
06/02/20,21867038.0,51.25,52.4,52.4,51.15
07/02/20,29584877.5,50.3,52.15,52.4,50.3
10/02/20,55558992.0,51.15,52.0,52.3,50.8
11/02/20,12880049.0,52.0,52.05,52.25,51.5
12/02/20,18066019.5,52.05,50.85,52.05,50.85
13/02/20,50481444.5,50.85,49.8,50.85,49.35
14/02/20,65930550.0,49.8,49.4,50.95,49.4
17/02/20,77186075.0,49.55,50.45,51.0,49.55
18/02/20,46053612.5,51.0,50.4,51.0,50.35
19/02/20,45538208.0,50.4,51.0,51.95,50.4
20/02/20,132977463.5,50.7,51.0,52.3,50.7
21/02/20,60973482.0,51.9,50.5,51.9,50.5
24/02/20,22760675.0,50.4,49.55,50.4,49.5
26/02/20,99374450.0,49.0,45.4,49.15,45.4
27/02/20,63354165.0,46.7,44.5,46.9,44.5
28/02/20,98343645.0,44.35,42.65,44.35,42.05
02/03/20,72040280.0,42.45,43.05,43.45,41.0
03/03/20,49981925.0,43.35,43.7,45.5,43.35
04/03/20,43659525.0,43.7,46.0,46.0,43.6
05/03/20,12728170.0,45.95,45.95,46.05,44.9
06/03/20,23069855.0,45.75,44.95,45.75,44.55
09/03/20,43050875.0,43.0,41.85,44.1,41.35
10/03/20,52423320.0,41.3,40.45,41.3,39.1
11/03/20,37965545.0,40.55,39.35,41.45,39.15
12/03/20,84456235.0,39.9,37.7,39.9,37.5
13/03/20,124520355.0,35.45,38.0,38.5,33.1
16/03/20,94603105.0,35.0,35.25,37.7,35.0
19/03/20,111375360.0,31.5,32.0,35.2,26.7
20/03/20,59572405.0,32.15,30.95,33.95,30.5
23/03/20,36309750.0,30.05,30.0,30.8,28.2
24/03/20,42691165.0,31.0,29.5,31.4,29.5
25/03/20,42920220.0,31.9,29.1,32.0,29.1
26/03/20,53874070.0,30.45,30.85,33.45,29.7
27/03/20,44855015.0,32.5,32.5,34.2,31.25
30/03/20,21671065.0,33.2,35.2,35.2,30.65
31/03/20,79222600.0,35.0,37.7,37.7,34.25
01/04/20,53896535.0,37.7,38.75,38.75,35.5
02/04/20,12616105.0,38.4,39.1,39.1,37.4
03/04/20,31268375.0,39.1,39.9,39.9,38.0
06/04/20,48387460.0,39.95,45.0,45.0,39.95
07/04/20,101730770.0,45.1,44.6,46.0,43.55
08/04/20,129646535.0,44.0,41.95,44.0,41.2
13/04/20,52140560.0,42.7,43.1,43.5,41.4
14/04/20,41328530.0,43.0,44.9,44.9,42.85
15/04/20,73203910.0,44.95,48.45,49.0,44.4
16/04/20,173838595.0,48.0,41.25,48.0,41.25
17/04/20,122061810.0,43.0,44.05,44.95,42.0
20/04/20,44847030.0,44.2,43.25,44.2,43.1
21/04/20,34405710.0,43.2,43.9,43.9,42.0
22/04/20,34951460.0,43.5,43.9,44.0,41.3
23/04/20,15898715.0,43.9,43.5,43.9,43.2
24/04/20,74413635.0,43.45,40.65,43.45,40.65
27/04/20,17231975.0,41.0,42.5,42.5,40.4
28/04/20,37297845.0,42.0,42.0,42.85,41.9
29/04/20,31025145.0,42.0,41.5,42.75,41.15
30/04/20,47124850.0,41.5,41.5,43.0,41.5
04/05/20,31541010.0,41.0,40.05,41.0,39.2
05/05/20,44010360.0,40.0,39.75,40.8,39.7
06/05/20,71045635.0,39.8,38.6,39.85,38.0
07/05/20,29126145.0,38.9,38.6,39.15,38.2
08/05/20,26711815.0,38.65,38.3,39.4,38.0
11/05/20,36860825.0,38.3,41.0,41.0,38.05
12/05/20,13997240.0,40.9,41.05,41.35,40.15
13/05/20,15566745.0,41.2,40.9,41.3,40.8
