Date,Value,Open,Close,High,Low
02/01/20,24940675.0,33.5,33.9,34.8,33.5
03/01/20,68857995.0,34.0,34.95,35.9,34.0
06/01/20,10906630.0,34.9,35.0,35.0,34.0
07/01/20,21053965.0,34.9,34.65,34.9,34.4
08/01/20,25788880.0,34.7,34.5,35.35,34.0
09/01/20,61085800.0,34.15,34.3,34.5,34.0
10/01/20,43306545.0,34.4,34.25,34.4,34.0
14/01/20,56437050.0,34.25,33.8,34.35,33.5
15/01/20,77429375.0,33.8,32.5,33.8,32.4
16/01/20,35490915.0,33.45,33.2,33.45,32.3
17/01/20,38787780.0,33.0,32.55,33.1,32.5
20/01/20,16760155.0,33.0,32.75,33.0,32.55
21/01/20,21094955.0,32.85,32.65,32.85,32.5
22/01/20,36851310.0,32.5,32.55,32.65,32.5
23/01/20,80638815.0,32.75,33.2,33.2,32.45
24/01/20,30208820.0,33.2,33.3,33.3,32.55
27/01/20,9241365.0,33.0,33.2,33.3,32.95
28/01/20,46720945.0,33.15,32.65,33.15,32.5
29/01/20,20745320.0,32.65,32.75,32.85,32.05
30/01/20,20219790.0,32.75,33.25,33.3,32.6
31/01/20,48222685.0,33.25,32.35,33.25,32.1
03/02/20,42165295.0,32.3,32.0,32.85,32.0
04/02/20,28224185.0,32.4,31.95,32.9,31.95
05/02/20,23913725.0,32.05,32.3,32.7,32.05
06/02/20,28053405.0,32.3,33.0,33.2,32.3
07/02/20,16967195.0,32.75,33.0,33.15,32.7
10/02/20,43936695.0,33.3,31.7,33.3,31.7
11/02/20,15494540.0,31.75,32.7,32.7,31.65
12/02/20,22227860.0,32.3,32.2,32.4,32.05
13/02/20,21472555.0,32.2,32.4,32.55,31.8
14/02/20,29869015.0,32.4,32.0,32.7,32.0
17/02/20,3859885.0,32.0,31.7,32.55,31.7
18/02/20,74377180.0,32.15,31.6,32.2,31.6
19/02/20,42041055.0,31.9,32.2,32.2,31.6
20/02/20,10936475.0,32.2,32.15,32.3,31.95
21/02/20,15124040.0,32.15,31.7,32.4,31.7
24/02/20,26537915.0,31.7,31.7,31.75,31.0
26/02/20,102569885.0,30.6,29.1,30.6,28.15
27/02/20,61436320.0,29.1,28.4,30.35,28.4
28/02/20,113965460.0,28.3,27.5,28.3,27.2
02/03/20,69133885.0,27.5,26.2,28.4,26.2
03/03/20,62271510.0,27.0,27.0,27.9,26.85
04/03/20,62096060.0,27.3,27.5,27.95,27.0
05/03/20,68362925.0,28.3,27.4,28.3,27.3
06/03/20,13205195.0,27.5,27.5,27.8,27.1
09/03/20,32268855.0,26.8,26.1,27.0,25.5
10/03/20,51728850.0,26.1,26.3,26.6,25.9
11/03/20,50248055.0,26.6,26.5,26.85,26.0
12/03/20,77031775.0,26.05,25.2,26.05,24.9
13/03/20,130259580.0,24.95,25.2,27.0,22.25
16/03/20,84026230.0,25.2,25.5,27.05,24.0
19/03/20,76909105.0,23.0,24.0,26.0,20.15
20/03/20,48283700.0,24.2,24.0,24.8,22.9
23/03/20,62200250.0,23.9,25.1,25.1,20.5
24/03/20,32094050.0,24.95,23.45,25.0,23.45
25/03/20,100014055.0,24.9,26.5,26.5,24.5
26/03/20,78127985.0,26.5,30.0,30.0,25.95
27/03/20,124484080.0,30.0,26.0,30.0,26.0
30/03/20,56160830.0,26.45,24.05,26.5,24.0
31/03/20,75511465.0,25.05,26.3,27.05,25.0
01/04/20,64382295.0,26.0,28.0,29.0,25.3
02/04/20,56645655.0,27.9,27.0,27.95,26.6
03/04/20,19033545.0,27.45,28.2,28.3,27.0
06/04/20,49260765.0,28.2,28.5,28.85,28.05
07/04/20,88044370.0,28.95,28.9,29.3,28.05
08/04/20,67708260.0,28.0,27.25,28.2,27.0
13/04/20,29943845.0,27.5,27.55,27.95,27.25
14/04/20,53299410.0,28.0,27.7,28.05,27.5
15/04/20,57010575.0,27.75,28.0,28.0,27.7
16/04/20,51545390.0,27.8,25.9,27.85,25.9
17/04/20,79719305.0,26.2,26.8,27.25,26.15
20/04/20,27178540.0,27.15,26.6,27.15,26.2
21/04/20,21322580.0,26.8,26.0,26.8,26.0
22/04/20,45275055.0,26.45,27.35,27.35,25.7
23/04/20,28707880.0,27.35,27.0,27.4,26.7
24/04/20,23458280.0,27.4,26.55,27.4,26.35
27/04/20,13675595.0,26.55,27.2,27.2,26.05
28/04/20,9580550.0,27.15,27.05,27.45,27.0
29/04/20,17166345.0,27.05,27.5,27.5,27.0
30/04/20,44168515.0,27.4,27.4,27.85,27.2
04/05/20,25068350.0,27.4,26.2,27.4,26.05
05/05/20,24782425.0,26.2,26.05,26.65,26.05
06/05/20,64091125.0,26.15,25.5,26.25,25.5
07/05/20,37284245.0,25.5,26.3,26.35,25.5
08/05/20,43279905.0,26.2,26.5,26.7,26.0
11/05/20,18947325.0,26.7,26.7,27.0,26.6
12/05/20,31451670.0,26.95,26.25,27.0,26.1
13/05/20,23404100.0,26.8,26.2,26.8,26.2
14/05/20,16938840.0,26.25,26.5,26.5,26.05
15/05/20,43118300.0,26.5,25.65,26.5,25.65
18/05/20,19905400.0,25.7,25.8,25.8,25.55
19/05/20,54727110.0,26.0,26.0,26.25,24.6
20/05/20,27943490.0,26.1,26.0,26.1,25.5
21/05/20,25632455.0,26.05,26.2,26.35,25.55
22/05/20,22805185.0,26.0,26.5,26.7,25.8
26/05/20,19909070.0,26.5,26.8,26.8,25.6
27/05/20,8772800.0,26.8,26.6,26.8,26.0
28/05/20,10923285.0,26.3,26.3,26.6,26.1
29/05/20,86883330.0,26.6,27.8,27.8,26.15
01/06/20,46315310.0,27.8,28.0,28.45,27.2
02/06/20,108432115.0,28.45,29.3,29.3,28.4
03/06/20,63787335.0,29.45,30.0,30.0,28.6
04/06/20,36164825.0,30.0,29.8,30.35,29.35
05/06/20,50874485.0,30.0,29.0,30.0,28.0
08/06/20,44643260.0,29.0,28.75,29.5,28.55
09/06/20,43742780.0,28.7,28.8,29.0,28.5
10/06/20,26585370.0,28.9,28.25,29.0,27.9
11/06/20,25279495.0,28.85,28.9,28.9,28.0
15/06/20,23990245.0,28.5,27.2,28.5,27.2
16/06/20,14570960.0,27.2,28.0,28.1,27.2
17/06/20,22523180.0,28.1,27.5,28.1,27.5
18/06/20,13500050.0,27.8,28.0,28.0,27.5
19/06/20,52014315.0,28.0,27.8,28.3,27.45
22/06/20,16649925.0,27.8,28.4,28.4,27.5
23/06/20,9268800.0,28.4,28.0,28.4,27.6
24/06/20,48261495.0,28.25,26.7,28.25,26.7
25/06/20,18387760.0,27.0,26.95,27.0,26.55
26/06/20,11619220.0,27.5,27.3,27.7,26.5
29/06/20,20921400.0,27.25,27.4,27.45,26.3
30/06/20,19181625.0,27.05,27.0,27.4,26.65
01/07/20,8570365.0,27.1,27.2,27.2,26.5
02/07/20,39325780.0,27.3,28.0,28.0,26.65
03/07/20,8197870.0,28.0,27.7,28.0,27.7
06/07/20,9603380.0,27.85,28.0,28.0,27.3
07/07/20,62795195.0,28.0,28.25,28.75,27.95
08/07/20,20804750.0,28.65,28.1,28.65,26.85
09/07/20,29157900.0,28.0,27.0,28.0,26.75
10/07/20,13249760.0,27.0,26.85,27.25,26.7
13/07/20,14210630.0,26.85,26.55,27.0,26.55
14/07/20,54201905.0,26.55,26.35,26.55,26.25
15/07/20,21543540.0,26.5,25.8,26.9,25.6
16/07/20,18895795.0,25.8,26.5,26.5,25.8
17/07/20,21102915.0,26.45,27.0,27.0,26.0
20/07/20,16756915.0,27.0,26.9,27.0,26.0
21/07/20,16044930.0,26.9,26.9,26.9,26.5
22/07/20,26096830.0,26.75,26.6,27.0,26.6
23/07/20,8755915.0,26.8,26.5,26.8,25.85
24/07/20,18250120.0,26.6,25.9,26.6,25.55
27/07/20,19995155.0,25.55,25.9,25.9,25.1
28/07/20,21000005.0,25.9,25.95,26.1,25.5
29/07/20,17237410.0,25.9,25.7,26.0,25.4
30/07/20,42837985.0,25.8,25.65,26.0,25.55
03/08/20,30762485.0,25.6,24.75,25.6,24.75
04/08/20,36247145.0,25.0,25.0,25.25,24.9
05/08/20,21404350.0,25.0,24.5,25.3,24.5
06/08/20,63227995.0,25.0,24.3,25.3,24.3
07/08/20,17335180.0,24.5,24.85,24.9,24.4
10/08/20,13886040.0,24.9,25.2,25.2,24.6
11/08/20,21001330.0,25.25,25.2,25.85,25.0
12/08/20,13924135.0,25.2,25.8,25.8,25.2
13/08/20,15921770.0,25.8,25.25,25.85,25.2
14/08/20,39967675.0,25.3,25.2,25.7,25.2
17/08/20,11377005.0,25.3,25.6,25.6,25.2
18/08/20,38073750.0,25.75,26.0,26.1,25.65
19/08/20,17517210.0,26.1,25.1,26.2,25.1
20/08/20,8635230.0,25.8,25.8,25.8,25.3
24/08/20,25123105.0,25.8,25.7,26.0,25.65
25/08/20,10963635.0,25.8,25.8,25.85,25.2
26/08/20,12639215.0,26.0,26.0,26.0,25.6
27/08/20,34520405.0,26.0,26.3,26.65,26.0
28/08/20,70833795.0,26.5,26.65,26.65,25.8
01/09/20,50960590.0,26.65,26.0,27.15,26.0
02/09/20,22968500.0,26.35,25.95,26.75,25.65
03/09/20,26991870.0,25.95,26.6,26.7,25.95
04/09/20,29783280.0,26.5,26.0,26.5,25.9
07/09/20,17667435.0,26.2,26.5,26.7,26.2
08/09/20,52416990.0,26.65,27.5,27.5,26.5
09/09/20,15422775.0,27.5,27.0,27.55,26.95
10/09/20,31271575.0,27.1,26.65,27.35,26.65
11/09/20,25725735.0,27.2,26.7,27.2,26.55
14/09/20,9065765.0,27.0,27.0,27.1,26.9
15/09/20,26249825.0,27.1,26.9,27.2,26.9
16/09/20,28071775.0,26.9,26.35,27.0,26.35
17/09/20,35796860.0,26.35,25.75,26.35,25.55
18/09/20,48861810.0,25.8,26.0,26.2,25.8
21/09/20,7946105.0,26.0,26.0,26.4,26.0
22/09/20,21787405.0,26.1,25.8,26.15,25.6
23/09/20,15196910.0,25.9,25.55,26.15,25.55
24/09/20,27098545.0,25.8,25.85,26.0,25.6
25/09/20,10659265.0,25.9,26.1,26.45,25.8
28/09/20,17812720.0,26.2,26.5,26.5,26.1
29/09/20,11123545.0,26.5,26.35,26.5,26.3
30/09/20,50174740.0,26.5,25.55,26.5,25.55
01/10/20,20125190.0,25.55,26.4,26.5,25.55
