Date,Value,Open,Close,High,Low
02/01/20,582800.0,0.0015,0.0014,0.0015,0.0012
03/01/20,200600.0,0.0014,0.0014,0.0015,0.0014
06/01/20,62000.0,0.0016,0.0014,0.0016,0.0014
07/01/20,2800.0,0.0014,0.0014,0.0014,0.0014
08/01/20,119400.0,0.0015,0.0014,0.0015,0.0014
09/01/20,410200.0,0.0014,0.0014,0.0014,0.0014
10/01/20,562700.0,0.0015,0.0014,0.0015,0.0014
14/01/20,134500.0,0.0015,0.0014,0.0015,0.0014
15/01/20,12600.0,0.0014,0.0014,0.0014,0.0014
16/01/20,687900.0,0.0014,0.0015,0.0015,0.0014
17/01/20,625800.0,0.0014,0.0014,0.0014,0.0014
20/01/20,97500.0,0.0014,0.0014,0.0014,0.0013
21/01/20,5600.0,0.0014,0.0014,0.0014,0.0014
22/01/20,9800.0,0.0014,0.0014,0.0014,0.0014
23/01/20,5600.0,0.0014,0.0014,0.0014,0.0014
24/01/20,6000.0,0.0015,0.0015,0.0015,0.0015
27/01/20,937500.0,0.0015,0.0015,0.0015,0.0015
28/01/20,7500.0,0.0015,0.0015,0.0015,0.0015
29/01/20,11500.0,0.0014,0.0015,0.0015,0.0014
30/01/20,40700.0,0.0014,0.0015,0.0015,0.0014
31/01/20,2741700.0,0.0015,0.0015,0.0016,0.0015
03/02/20,413600.0,0.0016,0.0015,0.0016,0.0014
04/02/20,223200.0,0.0015,0.0015,0.0016,0.0014
05/02/20,616700.0,0.0016,0.0016,0.0016,0.0014
06/02/20,8861800.0,0.0015,0.0016,0.0017,0.0015
07/02/20,3282400.0,0.0015,0.0015,0.0016,0.0014
10/02/20,1134900.0,0.0015,0.0015,0.0015,0.0014
11/02/20,175500.0,0.0014,0.0015,0.0015,0.0014
12/02/20,133300.0,0.0014,0.0015,0.0015,0.0014
13/02/20,590500.0,0.0014,0.0015,0.0015,0.0013
14/02/20,468000.0,0.0014,0.0014,0.0015,0.0013
17/02/20,325200.0,0.0014,0.0014,0.0014,0.0013
18/02/20,14500.0,0.0013,0.0014,0.0014,0.0013
19/02/20,48900.0,0.0014,0.0014,0.0014,0.0013
20/02/20,481900.0,0.0013,0.0014,0.0014,0.0013
21/02/20,88900.0,0.0013,0.0014,0.0014,0.0013
24/02/20,66000.0,0.0013,0.0014,0.0014,0.0013
26/02/20,605800.0,0.0013,0.0013,0.0013,0.0013
27/02/20,81800.0,0.0012,0.0013,0.0013,0.0012
28/02/20,128000.0,0.0012,0.0012,0.0013,0.0012
02/03/20,230800.0,0.0012,0.0013,0.0013,0.0012
03/03/20,94100.0,0.0012,0.0013,0.0013,0.0012
04/03/20,27900.0,0.0013,0.0012,0.0013,0.0012
05/03/20,19000.0,0.0012,0.0013,0.0013,0.0012
06/03/20,42600.0,0.0013,0.0013,0.0013,0.0012
09/03/20,433600.0,0.0012,0.0011,0.0013,0.0011
10/03/20,148500.0,0.0012,0.0012,0.0012,0.0011
11/03/20,162200.0,0.0012,0.0013,0.0013,0.0011
12/03/20,206200.0,0.0012,0.0011,0.0012,0.0011
13/03/20,103100.0,0.0011,0.0012,0.0012,0.0011
16/03/20,122200.0,0.0011,0.0011,0.0012,0.0011
19/03/20,512700.0,0.0011,0.001,0.0011,0.0009
20/03/20,163200.0,0.001,0.001,0.0011,0.001
23/03/20,9000.0,0.001,0.001,0.001,0.001
24/03/20,64000.0,0.001,0.001,0.001,0.001
25/03/20,60900.0,0.0011,0.0011,0.0011,0.001
26/03/20,35500.0,0.001,0.0011,0.0011,0.001
27/03/20,23200.0,0.001,0.0011,0.0011,0.001
30/03/20,4300.0,0.0011,0.0011,0.0011,0.001
31/03/20,4400.0,0.0011,0.0011,0.0011,0.0011
01/04/20,13900.0,0.001,0.0011,0.0011,0.001
