Date,Value,Open,Close,High,Low
02/01/20,50390.0,1.4,1.39,1.4,1.39
07/01/20,135320.0,1.38,1.35,1.38,1.35
08/01/20,299140.0,1.35,1.34,1.35,1.33
10/01/20,21650.0,1.36,1.35,1.36,1.35
14/01/20,583660.0,1.36,1.32,1.36,1.31
16/01/20,52510.0,1.33,1.3,1.33,1.3
20/01/20,26460.0,1.33,1.32,1.33,1.32
22/01/20,5240.0,1.31,1.31,1.31,1.31
23/01/20,504650.0,1.32,1.4,1.4,1.31
24/01/20,168140.0,1.4,1.42,1.42,1.33
27/01/20,1340.0,1.34,1.34,1.34,1.34
28/01/20,2680.0,1.34,1.34,1.34,1.34
29/01/20,218650.0,1.35,1.32,1.35,1.32
30/01/20,255510.0,1.32,1.31,1.32,1.31
31/01/20,6570.0,1.32,1.31,1.32,1.3
03/02/20,35420.0,1.32,1.31,1.32,1.31
04/02/20,167330.0,1.31,1.33,1.38,1.31
05/02/20,421910.0,1.31,1.31,1.35,1.31
06/02/20,2750.0,1.35,1.4,1.4,1.35
07/02/20,8300.0,1.34,1.4,1.4,1.34
10/02/20,20850.0,1.34,1.34,1.41,1.34
11/02/20,265640.0,1.35,1.31,1.35,1.3
12/02/20,18880.0,1.31,1.4,1.4,1.31
13/02/20,74330.0,1.31,1.31,1.41,1.31
14/02/20,705540.0,1.29,1.32,1.48,1.29
17/02/20,74530.0,1.33,1.36,1.41,1.33
18/02/20,4240.0,1.34,1.45,1.45,1.34
19/02/20,25660.0,1.33,1.33,1.4,1.33
21/02/20,159040.0,1.37,1.42,1.42,1.35
24/02/20,11420.0,1.32,1.45,1.45,1.32
26/02/20,87620.0,1.44,1.34,1.44,1.34
27/02/20,106330.0,1.34,1.33,1.4,1.33
28/02/20,1430.0,1.43,1.43,1.43,1.43
02/03/20,4190.0,1.33,1.43,1.43,1.33
03/03/20,6960.0,1.33,1.43,1.43,1.33
04/03/20,1340.0,1.34,1.34,1.34,1.34
