Date,Value,Open,Close,High,Low
02/01/20,2712200.0,13.48,13.46,13.48,13.46
03/01/20,3409430.0,13.5,13.46,13.5,13.46
06/01/20,7301514.0,13.48,13.46,13.48,13.3
07/01/20,15889846.0,13.2,13.38,13.44,13.2
08/01/20,4109494.0,13.3,13.0,13.38,13.0
09/01/20,11505472.0,13.0,13.0,13.06,12.84
10/01/20,12965158.0,13.0,12.98,13.0,12.5
14/01/20,33343912.0,12.98,12.86,12.98,12.22
15/01/20,11485384.0,12.78,12.6,12.8,12.6
16/01/20,5299676.0,12.52,12.3,12.56,12.0
17/01/20,15171164.0,12.02,12.46,12.46,11.8
20/01/20,11745462.0,12.46,12.08,12.96,12.0
21/01/20,16272200.0,12.08,11.92,12.44,11.92
22/01/20,7705306.0,12.26,12.22,12.26,12.2
23/01/20,5653462.0,12.2,12.1,12.22,11.9
24/01/20,20851146.0,12.06,12.02,12.06,11.9
27/01/20,14571240.0,11.3,12.1,12.1,11.3
28/01/20,8351100.0,12.1,12.08,12.1,11.94
29/01/20,12020086.0,12.06,12.06,12.08,12.0
30/01/20,14302196.0,11.4,12.08,12.08,11.36
31/01/20,20506700.0,11.34,12.04,12.08,11.3
03/02/20,16357064.0,12.04,12.04,12.06,11.34
04/02/20,10179046.0,12.08,12.06,12.08,11.86
05/02/20,18132384.0,12.06,12.02,12.08,11.3
06/02/20,58780634.0,12.06,7.5,12.06,6.94
07/02/20,62414580.0,7.8,6.5,8.09,6.37
10/02/20,78728523.0,6.76,8.2,8.4,6.55
11/02/20,31135769.0,8.46,7.94,8.6,7.51
12/02/20,22963989.0,7.86,7.22,7.9,7.22
13/02/20,17376860.0,7.24,6.89,7.48,6.83
14/02/20,17114545.0,7.0,7.23,7.23,7.0
17/02/20,14231645.0,7.24,7.25,7.46,7.24
18/02/20,11325950.0,7.25,7.3,7.4,6.86
19/02/20,15373935.0,7.32,7.66,7.82,7.32
20/02/20,22815612.0,7.66,7.85,7.93,7.56
21/02/20,17646584.0,7.9,7.75,8.1,7.5
24/02/20,12489230.0,7.81,7.74,7.81,7.25
26/02/20,18697767.0,7.68,7.25,7.68,6.9
27/02/20,10821433.0,7.23,7.2,7.25,6.96
28/02/20,28148399.0,7.04,7.23,7.23,6.68
02/03/20,19296554.0,7.23,7.1,7.23,6.89
03/03/20,12054746.0,7.1,7.16,7.2,7.01
04/03/20,9129959.0,7.17,6.98,7.17,6.52
05/03/20,15334881.0,6.99,7.11,7.19,6.86
06/03/20,7550054.0,7.1,7.01,7.1,6.89
09/03/20,8890276.0,6.85,6.89,7.1,6.5
10/03/20,9946892.0,6.88,6.82,6.9,6.5
11/03/20,6423451.0,6.87,6.76,6.87,6.6
12/03/20,8057751.0,6.41,6.4,6.88,6.19
13/03/20,14624925.0,6.19,6.4,6.5,5.81
16/03/20,12384215.0,6.45,6.33,6.45,6.0
19/03/20,6719294.0,6.33,6.21,6.43,5.8
20/03/20,627009.0,6.22,6.49,6.85,6.22
23/03/20,1524127.0,5.94,6.31,6.34,5.6
24/03/20,1997247.0,6.29,6.24,6.29,5.66
25/03/20,978369.0,6.2,6.27,6.31,6.04
26/03/20,701789.0,6.31,6.6,6.69,6.31
27/03/20,951420.0,6.83,6.45,6.83,6.15
30/03/20,627637.0,6.6,6.39,6.81,6.04
31/03/20,3524154.0,6.57,6.3,6.6,6.2
01/04/20,1618473.0,6.31,6.25,6.58,6.2
02/04/20,1369351.0,6.25,6.48,6.55,6.25
03/04/20,1009265.0,6.49,6.48,6.51,6.31
06/04/20,1093403.0,6.47,6.49,6.49,6.02
07/04/20,1086314.0,6.46,6.5,6.5,6.32
08/04/20,2585452.0,6.49,6.99,7.0,6.49
13/04/20,1780698.0,6.98,6.92,7.04,6.75
14/04/20,3550840.0,6.93,6.86,6.99,6.8
15/04/20,6855518.0,6.85,7.11,7.11,6.85
16/04/20,3113570.0,7.12,7.19,7.2,7.0
17/04/20,8682495.0,7.27,7.6,7.72,7.2
20/04/20,9270930.0,7.78,7.86,7.86,7.61
21/04/20,4531517.0,7.8,7.78,7.85,7.46
22/04/20,2742241.0,7.6,7.6,7.8,7.45
23/04/20,2248279.0,7.7,7.68,7.8,7.6
24/04/20,18644508.0,7.68,8.31,8.36,7.68
27/04/20,20031830.0,8.42,8.61,8.96,8.42
28/04/20,9510802.0,8.62,8.4,8.75,8.0
29/04/20,5866941.0,8.36,8.2,8.36,8.12
30/04/20,3359895.0,8.24,8.43,8.6,8.21
04/05/20,5860626.0,8.42,8.28,8.42,8.16
05/05/20,16031970.0,8.5,8.41,8.94,8.3
06/05/20,8983772.0,8.75,8.36,8.75,8.28
07/05/20,9026590.0,8.35,7.87,8.36,7.73
08/05/20,7821107.0,7.82,7.97,8.35,7.8
11/05/20,6080785.0,8.15,7.4,8.17,7.32
12/05/20,2078241.0,7.3,7.43,7.5,7.1
13/05/20,3042230.0,7.43,7.48,7.69,7.36
14/05/20,1462740.0,7.6,7.43,7.63,7.37
15/05/20,813340.0,7.58,7.43,7.69,7.35
18/05/20,2726666.0,7.43,7.26,7.5,7.16
19/05/20,1197400.0,7.3,7.35,7.44,7.12
20/05/20,491351.0,7.5,7.4,7.55,7.2
21/05/20,4410294.0,7.44,7.16,7.44,7.16
22/05/20,3538295.0,7.17,7.15,7.25,6.9
26/05/20,2058730.0,7.15,7.08,7.35,6.9
27/05/20,2108504.0,7.03,7.14,7.22,7.0
28/05/20,1693269.0,7.15,7.18,7.21,7.02
29/05/20,3083333.0,7.29,7.09,7.3,6.98
01/06/20,1053737.0,7.09,7.16,7.28,7.0
02/06/20,2377213.0,7.47,7.28,7.47,7.13
03/06/20,5884766.0,7.28,7.55,7.67,7.28
04/06/20,3994876.0,7.62,7.5,7.63,7.4
05/06/20,1862607.0,7.5,7.52,7.57,7.4
08/06/20,3703037.0,7.52,7.5,7.65,7.4
09/06/20,3667702.0,7.55,7.33,7.55,7.01
10/06/20,2614958.0,7.35,7.22,7.37,7.1
11/06/20,2375254.0,7.2,7.4,7.45,7.2
15/06/20,1004791.0,7.4,7.08,7.41,7.05
16/06/20,643754.0,7.06,7.2,7.25,7.04
17/06/20,623019.0,7.2,7.27,7.27,7.1
18/06/20,1663427.0,7.15,7.19,7.28,7.1
19/06/20,451417.0,7.11,7.2,7.23,7.09
22/06/20,2543118.0,7.2,7.44,7.54,7.2
23/06/20,4723015.0,7.48,7.62,7.67,7.48
24/06/20,7598788.0,7.85,7.9,8.0,7.71
25/06/20,2980319.0,7.71,7.78,7.8,7.51
26/06/20,1167073.0,7.8,7.8,7.96,7.6
29/06/20,2402190.0,7.8,7.53,7.95,7.2
30/06/20,3315992.0,7.32,7.46,7.53,7.32
01/07/20,467362.0,7.35,7.5,7.58,7.34
02/07/20,1411660.0,7.5,7.48,7.6,7.33
03/07/20,1407540.0,7.48,7.62,7.85,7.48
06/07/20,606124.0,7.61,7.45,7.62,7.34
07/07/20,1104414.0,7.5,7.44,7.52,7.37
08/07/20,2364518.0,7.37,7.49,7.54,7.37
09/07/20,224628.0,7.49,7.45,7.49,7.41
10/07/20,858830.0,7.45,7.61,7.7,7.45
13/07/20,1237262.0,7.6,7.54,7.6,7.4
14/07/20,2959484.0,7.55,7.5,7.55,7.39
15/07/20,841387.0,7.6,7.49,7.64,7.39
16/07/20,1204704.0,7.4,7.51,7.6,7.31
17/07/20,7063564.0,7.51,7.89,7.89,7.51
20/07/20,16922682.0,7.95,8.19,8.3,7.7
23/07/20,24007370.0,9.0,7.75,9.73,7.4
24/07/20,2806638.0,7.7,7.75,7.95,7.51
27/07/20,3830955.0,7.75,7.18,7.75,7.03
28/07/20,2740082.0,7.22,7.4,7.74,7.19
29/07/20,516463.0,7.43,7.28,7.5,7.2
30/07/20,1189788.0,7.3,7.36,7.49,7.19
03/08/20,1502898.0,7.16,7.1,7.18,7.05
04/08/20,513802.0,7.04,7.29,7.4,7.04
05/08/20,617310.0,7.3,7.43,7.44,7.2
06/08/20,269005.0,7.4,7.38,7.4,7.21
07/08/20,594334.0,7.39,7.57,7.57,7.22
10/08/20,3229823.0,7.57,7.99,7.99,7.57
11/08/20,1851266.0,7.99,8.07,8.16,7.94
12/08/20,1971334.0,8.08,8.0,8.12,7.81
13/08/20,1115195.0,7.85,8.04,8.1,7.62
14/08/20,803303.0,8.04,7.9,8.04,7.8
17/08/20,1770266.0,7.93,8.0,8.09,7.9
18/08/20,2683299.0,8.05,8.01,8.08,8.0
19/08/20,5827798.0,8.03,7.92,8.04,7.65
20/08/20,622398.0,7.9,7.83,7.95,7.65
24/08/20,715658.0,7.8,7.83,7.83,7.58
25/08/20,449014.0,7.75,7.73,7.82,7.55
26/08/20,803379.0,7.6,7.79,7.79,7.5
27/08/20,253935.0,7.85,7.77,7.9,7.53
28/08/20,671096.0,7.76,7.65,7.76,7.55
01/09/20,2664150.0,7.74,8.14,8.14,7.65
02/09/20,2261276.0,8.14,8.01,8.18,8.01
03/09/20,703027.0,8.01,8.05,8.17,8.01
04/09/20,508048.0,8.08,8.02,8.08,7.95
07/09/20,456573.0,8.02,8.05,8.08,7.96
08/09/20,740272.0,8.05,8.04,8.05,7.8
09/09/20,1570980.0,8.04,7.99,8.04,7.7
10/09/20,1503279.0,7.9,7.99,7.99,7.75
11/09/20,75003.0,7.99,7.97,7.99,7.97
14/09/20,1030741.0,8.0,8.0,8.13,7.96
15/09/20,600270.0,7.98,7.94,8.1,7.72
16/09/20,362506.0,8.03,7.98,8.03,7.9
17/09/20,258395.0,7.98,7.96,8.0,7.79
18/09/20,38117.0,7.95,7.95,7.95,7.9
21/09/20,413830.0,7.96,7.9,7.97,7.76
22/09/20,572728.0,7.76,7.83,7.89,7.69
23/09/20,222920.0,7.74,7.88,7.88,7.72
24/09/20,512084.0,7.98,7.9,8.0,7.78
25/09/20,203552.0,7.9,7.94,7.98,7.8
28/09/20,201737.0,7.94,7.78,7.94,7.78
29/09/20,1094630.0,7.92,7.85,7.97,7.8
30/09/20,249632.0,7.9,7.83,7.95,7.8
01/10/20,760713.0,7.94,7.83,7.94,7.7
02/10/20,300589.0,7.87,7.83,7.89,7.65
05/10/20,4957569.0,7.81,8.36,8.36,7.8
06/10/20,5126212.0,8.37,8.35,8.5,8.1
07/10/20,1528750.0,8.35,8.2,8.4,8.03
08/10/20,714559.0,8.37,8.16,8.37,8.06
09/10/20,2293273.0,8.14,7.74,8.14,7.71
12/10/20,2216165.0,7.8,7.8,8.13,7.7
13/10/20,1718014.0,7.75,7.6,7.75,7.6
14/10/20,2322188.0,7.61,7.6,8.0,7.54
15/10/20,5137114.0,7.7,7.38,7.8,7.37
16/10/20,4222527.0,7.4,7.65,7.7,7.39
19/10/20,1569745.0,7.68,7.7,7.8,7.62
20/10/20,1494625.0,7.76,7.71,7.77,7.49
21/10/20,1420784.0,7.5,7.68,7.75,7.5
22/10/20,1379966.0,7.7,7.7,7.7,7.6
23/10/20,4877014.0,7.75,7.94,7.99,7.7
26/10/20,2957379.0,7.95,8.05,8.08,7.95
27/10/20,2048277.0,8.07,7.95,8.07,7.73
28/10/20,1673308.0,7.95,7.88,7.95,7.79
