Date,Value,Open,Close,High,Low
02/01/20,59072076.0,11.54,11.3,11.54,11.3
03/01/20,26304572.0,11.22,11.3,11.44,11.18
06/01/20,94512396.0,11.3,11.08,11.3,10.98
07/01/20,27896396.0,11.08,11.2,11.26,11.02
08/01/20,63049460.0,11.02,11.02,11.14,11.02
09/01/20,42251086.0,11.08,11.2,11.22,11.04
10/01/20,28193546.0,11.26,11.18,11.26,11.04
14/01/20,29731136.0,11.18,11.12,11.28,11.04
15/01/20,44098418.0,11.2,11.0,11.22,11.0
16/01/20,40002894.0,11.08,11.02,11.12,11.02
17/01/20,8594514.0,11.04,11.02,11.18,11.02
20/01/20,34352532.0,11.0,11.0,11.06,11.0
21/01/20,103337336.0,10.96,10.94,11.02,10.64
22/01/20,38844878.0,10.9,10.92,11.0,10.9
23/01/20,30264002.0,11.0,11.0,11.06,10.9
24/01/20,9721184.0,11.06,11.1,11.1,10.86
27/01/20,12616110.0,11.1,10.92,11.12,10.84
28/01/20,74519974.0,10.92,10.88,10.92,10.82
29/01/20,40211894.0,10.88,10.84,10.96,10.8
30/01/20,49542544.0,10.82,10.78,10.9,10.78
31/01/20,132809812.0,10.76,10.8,10.8,10.66
03/02/20,34466616.0,10.8,10.52,10.8,10.5
04/02/20,74269184.0,10.52,10.52,10.56,10.46
05/02/20,84489668.0,10.52,10.42,10.64,10.34
06/02/20,73296842.0,10.46,10.5,10.62,10.44
07/02/20,47529470.0,10.48,10.7,10.76,10.48
10/02/20,39725898.0,10.7,10.5,10.7,10.44
11/02/20,140953026.0,10.54,10.5,10.7,10.38
12/02/20,20551598.0,10.46,10.44,10.48,10.4
13/02/20,109701130.0,10.54,10.36,10.54,10.32
14/02/20,119815408.0,10.36,10.3,10.48,10.3
17/02/20,37910522.0,10.3,10.36,10.46,10.3
18/02/20,37676228.0,10.46,10.3,10.46,10.28
19/02/20,63458124.0,10.26,10.4,10.44,10.24
20/02/20,38445158.0,10.4,10.5,10.52,10.4
21/02/20,169543002.0,10.52,10.26,10.56,10.26
24/02/20,132188606.0,10.28,10.2,10.28,9.93
26/02/20,233853245.0,10.02,10.02,10.1,9.9
27/02/20,165922031.0,10.04,10.02,10.06,9.92
28/02/20,146783009.0,10.16,10.04,10.16,9.87
02/03/20,107741970.0,9.93,9.92,9.98,9.91
03/03/20,131450393.0,9.93,9.93,10.04,9.91
04/03/20,79527741.0,9.94,9.93,9.95,9.83
05/03/20,103448802.0,9.93,9.93,10.1,9.86
06/03/20,87256107.0,9.92,9.93,9.94,9.86
09/03/20,215059465.0,9.86,9.9,9.93,9.73
10/03/20,144630148.0,9.9,9.81,9.9,9.81
11/03/20,67199601.0,9.95,10.0,10.1,9.83
12/03/20,238303372.0,9.83,9.75,9.95,9.7
13/03/20,292893901.0,9.55,9.05,9.75,8.8
16/03/20,576357341.0,8.99,8.02,8.99,7.96
19/03/20,62866437.0,7.49,5.69,7.49,5.69
20/03/20,49434754.0,5.99,6.23,6.3,5.3
