Date,Value,Open,Close,High,Low
02/01/20,120690.0,0.51,0.51,0.51,0.49
03/01/20,331830.0,0.51,0.52,0.53,0.49
06/01/20,95100.0,0.5,0.52,0.52,0.5
07/01/20,758880.0,0.52,0.53,0.56,0.52
08/01/20,831750.0,0.54,0.56,0.57,0.54
09/01/20,513120.0,0.56,0.56,0.57,0.55
10/01/20,371320.0,0.56,0.56,0.56,0.55
14/01/20,260810.0,0.54,0.54,0.56,0.54
15/01/20,313560.0,0.54,0.55,0.55,0.54
16/01/20,640830.0,0.55,0.52,0.55,0.52
17/01/20,227300.0,0.53,0.53,0.54,0.52
20/01/20,557830.0,0.52,0.52,0.53,0.52
21/01/20,414060.0,0.52,0.51,0.52,0.5
22/01/20,1052970.0,0.51,0.5,0.51,0.49
23/01/20,2066450.0,0.51,0.55,0.55,0.51
24/01/20,4740020.0,0.56,0.59,0.62,0.55
27/01/20,976440.0,0.59,0.56,0.59,0.56
28/01/20,404640.0,0.56,0.53,0.56,0.53
29/01/20,411620.0,0.53,0.55,0.56,0.53
30/01/20,335320.0,0.54,0.54,0.54,0.53
31/01/20,685440.0,0.53,0.51,0.53,0.5
03/02/20,1867460.0,0.52,0.58,0.58,0.51
04/02/20,9834920.0,0.58,0.59,0.67,0.56
05/02/20,2782020.0,0.6,0.57,0.63,0.56
06/02/20,569360.0,0.59,0.59,0.59,0.56
07/02/20,2662970.0,0.58,0.61,0.65,0.57
10/02/20,2172120.0,0.61,0.6,0.65,0.6
11/02/20,1025020.0,0.62,0.6,0.63,0.6
12/02/20,778270.0,0.6,0.61,0.61,0.59
13/02/20,650210.0,0.61,0.62,0.63,0.61
14/02/20,3477360.0,0.63,0.65,0.66,0.62
17/02/20,893510.0,0.65,0.62,0.65,0.62
18/02/20,1995630.0,0.63,0.66,0.66,0.62
19/02/20,2258630.0,0.67,0.67,0.68,0.65
20/02/20,3033380.0,0.67,0.65,0.67,0.62
21/02/20,795460.0,0.65,0.64,0.65,0.63
24/02/20,1673320.0,0.63,0.65,0.66,0.62
26/02/20,1251390.0,0.64,0.63,0.65,0.6
27/02/20,498870.0,0.61,0.62,0.62,0.6
28/02/20,734810.0,0.61,0.62,0.63,0.61
02/03/20,568680.0,0.63,0.62,0.63,0.61
03/03/20,530560.0,0.62,0.63,0.63,0.61
04/03/20,414500.0,0.63,0.64,0.64,0.61
05/03/20,81830.0,0.64,0.63,0.64,0.62
06/03/20,1277790.0,0.64,0.62,0.64,0.61
09/03/20,905750.0,0.61,0.6,0.61,0.6
10/03/20,1021840.0,0.59,0.6,0.6,0.57
11/03/20,956210.0,0.61,0.58,0.61,0.57
12/03/20,1571400.0,0.57,0.56,0.57,0.56
13/03/20,1002940.0,0.54,0.52,0.54,0.47
16/03/20,143080.0,0.52,0.47,0.52,0.47
19/03/20,78600.0,0.44,0.47,0.47,0.44
20/03/20,184300.0,0.46,0.45,0.48,0.45
23/03/20,179500.0,0.46,0.46,0.465,0.46
25/03/20,87500.0,0.5,0.48,0.5,0.48
26/03/20,69500.0,0.48,0.5,0.5,0.48
27/03/20,112290.0,0.51,0.53,0.56,0.51
