Date,Value,Open,Close,High,Low
06/01/20,41020.0,8.95,8.9,8.95,8.9
07/01/20,15876.0,8.82,8.82,8.82,8.82
08/01/20,51049.0,8.82,9.0,9.0,8.82
10/01/20,1760.0,8.8,8.8,8.8,8.8
14/01/20,8800.0,8.8,8.8,8.8,8.8
17/01/20,40500.0,9.0,9.0,9.0,9.0
22/01/20,39375.0,8.75,8.75,8.75,8.75
27/01/20,90000.0,9.0,9.0,9.0,9.0
29/01/20,13125.0,8.75,8.75,8.75,8.75
31/01/20,2640.0,8.8,8.8,8.8,8.8
03/02/20,1778.0,8.78,9.0,9.0,8.78
05/02/20,910.0,9.1,9.1,9.1,9.1
11/02/20,32694.0,9.05,9.69,9.69,9.05
14/02/20,967.0,9.67,9.67,9.67,9.67
17/02/20,2805.0,9.64,9.64,9.64,8.77
19/02/20,19280.0,9.64,9.64,9.64,9.64
21/02/20,216756.0,9.0,9.67,9.67,9.0
26/02/20,877.0,8.77,8.77,8.77,8.77
28/02/20,44900.0,8.98,8.98,8.98,8.98
02/03/20,2646.0,8.9,8.78,8.9,8.78
03/03/20,870.0,8.7,8.7,8.7,8.7
04/03/20,15050.0,8.8,8.9,8.9,8.8
09/03/20,94730.0,9.49,9.0,9.49,8.99
10/03/20,29750.0,8.5,8.5,8.5,8.5
11/03/20,3201.0,8.01,8.0,8.01,8.0
12/03/20,890.0,8.9,8.9,8.9,8.9
13/03/20,900.0,9.0,9.0,9.0,9.0
27/03/20,899.0,8.99,8.99,8.99,8.99
30/03/20,10800.0,9.0,9.0,9.0,9.0
08/04/20,1282.0,6.41,6.41,6.41,6.41
13/04/20,18895.0,9.0,9.0,9.0,8.99
14/04/20,17940.0,9.2,9.0,9.2,8.0
15/04/20,2600.0,8.01,9.0,9.0,8.01
17/04/20,821.0,8.21,8.21,8.21,8.21
20/04/20,9045.0,9.0,9.09,9.09,9.0
21/04/20,909.0,9.09,9.09,9.09,9.09
27/04/20,910.0,9.1,9.1,9.1,9.1
05/05/20,5419.0,6.56,8.99,8.99,6.56
07/05/20,6293.0,8.99,8.99,8.99,8.99
11/05/20,1378.0,6.89,6.89,6.89,6.89
12/05/20,6205.0,8.89,8.8,8.89,8.8
13/05/20,14681.0,8.9,8.9,8.9,8.0
18/05/20,3600.0,9.0,9.0,9.0,9.0
29/05/20,890.0,8.9,8.9,8.9,8.9
02/06/20,7510.0,7.51,7.51,7.51,7.51
03/06/20,7798.0,9.0,7.64,9.0,7.64
04/06/20,71938.0,8.99,8.8,9.0,8.8
05/06/20,5905.0,8.21,8.21,9.0,8.21
08/06/20,36315.0,8.99,9.0,9.1,8.99
09/06/20,34811.0,8.21,8.23,8.98,8.21
10/06/20,124891.0,8.95,9.0,9.0,8.95
11/06/20,5400.0,9.0,9.0,9.0,9.0
15/06/20,25936.0,8.46,8.91,8.99,8.46
16/06/20,26898.0,9.0,8.99,9.0,8.5
17/06/20,6892.0,8.52,8.9,8.9,8.52
18/06/20,53893.0,8.7,8.51,8.99,8.51
22/06/20,4329.0,8.51,8.88,8.88,8.51
23/06/20,852.0,8.52,8.52,8.52,8.52
26/06/20,1796.0,8.98,8.98,8.98,8.98
29/06/20,120782.0,8.04,8.69,8.69,8.01
03/07/20,17335.0,8.61,8.89,8.89,8.61
06/07/20,26670.0,8.89,8.89,8.89,8.89
08/07/20,10608.0,8.16,8.16,8.16,8.16
09/07/20,53225.0,8.19,8.17,8.19,8.17
14/07/20,40830.0,8.17,8.16,8.17,8.16
15/07/20,24480.0,8.16,8.16,8.16,8.16
20/07/20,818.0,8.18,8.18,8.18,8.18
29/07/20,1630.0,8.15,8.15,8.15,8.15
