Date,Value,Open,Close,High,Low
02/01/20,24250.0,0.68,0.68,0.69,0.66
03/01/20,186460.0,0.67,0.67,0.7,0.67
06/01/20,103020.0,0.68,0.68,0.72,0.68
07/01/20,682400.0,0.7,0.69,0.7,0.65
08/01/20,76320.0,0.69,0.7,0.71,0.67
09/01/20,106850.0,0.67,0.69,0.69,0.67
10/01/20,341150.0,0.69,0.69,0.7,0.67
14/01/20,9420.0,0.67,0.69,0.69,0.67
15/01/20,93980.0,0.67,0.69,0.69,0.67
16/01/20,111900.0,0.66,0.69,0.69,0.66
17/01/20,188960.0,0.67,0.69,0.69,0.67
20/01/20,633380.0,0.69,0.7,0.73,0.69
21/01/20,207430.0,0.7,0.71,0.74,0.69
22/01/20,10525010.0,0.71,0.81,0.83,0.7
23/01/20,3263730.0,0.81,0.74,0.81,0.73
24/01/20,3588120.0,0.76,0.76,0.84,0.74
27/01/20,3645770.0,0.76,0.71,0.76,0.7
28/01/20,408470.0,0.71,0.72,0.74,0.71
29/01/20,243500.0,0.72,0.7,0.72,0.7
30/01/20,517410.0,0.7,0.69,0.72,0.69
31/01/20,604860.0,0.69,0.7,0.71,0.66
03/02/20,41810.0,0.66,0.68,0.69,0.66
04/02/20,413400.0,0.67,0.69,0.71,0.66
05/02/20,157170.0,0.67,0.68,0.68,0.66
06/02/20,100090.0,0.68,0.67,0.69,0.67
07/02/20,26600.0,0.67,0.69,0.69,0.67
10/02/20,32600.0,0.69,0.67,0.69,0.67
11/02/20,377280.0,0.69,0.68,0.73,0.68
12/02/20,108830.0,0.68,0.69,0.72,0.68
13/02/20,67900.0,0.68,0.68,0.68,0.67
14/02/20,44880.0,0.68,0.68,0.68,0.68
17/02/20,15620.0,0.68,0.68,0.68,0.67
18/02/20,33800.0,0.67,0.68,0.68,0.67
19/02/20,3520.0,0.71,0.7,0.71,0.7
21/02/20,15260.0,0.67,0.7,0.7,0.67
24/02/20,24480.0,0.68,0.68,0.68,0.68
26/02/20,69880.0,0.67,0.66,0.69,0.66
27/02/20,53940.0,0.66,0.67,0.67,0.66
28/02/20,360060.0,0.66,0.64,0.66,0.64
02/03/20,50700.0,0.65,0.65,0.65,0.65
03/03/20,12480.0,0.65,0.66,0.66,0.65
04/03/20,47950.0,0.64,0.69,0.69,0.64
06/03/20,924060.0,0.68,0.7,0.74,0.68
09/03/20,355500.0,0.69,0.6,0.69,0.6
10/03/20,122100.0,0.6,0.61,0.64,0.6
11/03/20,73870.0,0.64,0.61,0.64,0.58
12/03/20,108180.0,0.6,0.55,0.6,0.55
13/03/20,34650.0,0.55,0.55,0.55,0.55
16/03/20,75580.0,0.56,0.56,0.59,0.55
20/03/20,14040.0,0.54,0.54,0.54,0.54
23/03/20,12420.0,0.54,0.54,0.54,0.54
24/03/20,116210.0,0.54,0.52,0.54,0.5
26/03/20,191020.0,0.5,0.51,0.52,0.5
27/03/20,93930.0,0.52,0.55,0.55,0.51
30/03/20,84320.0,0.57,0.53,0.57,0.53
31/03/20,30060.0,0.51,0.54,0.54,0.5
01/04/20,81000.0,0.53,0.52,0.53,0.52
02/04/20,17640.0,0.5,0.49,0.5,0.45
06/04/20,50000.0,0.5,0.5,0.5,0.5
07/04/20,18275.0,0.495,0.51,0.51,0.495
08/04/20,161150.0,0.51,0.53,0.54,0.51
13/04/20,47700.0,0.54,0.52,0.54,0.51
14/04/20,158620.0,0.54,0.54,0.55,0.52
15/04/20,660180.0,0.54,0.57,0.58,0.53
16/04/20,38510.0,0.55,0.55,0.56,0.53
17/04/20,42950.0,0.53,0.55,0.55,0.53
20/04/20,8230.0,0.55,0.55,0.55,0.53
21/04/20,89340.0,0.55,0.55,0.55,0.53
22/04/20,32150.0,0.52,0.55,0.55,0.52
23/04/20,2150.0,0.53,0.56,0.56,0.53
24/04/20,7520.0,0.53,0.56,0.56,0.53
27/04/20,16430.0,0.53,0.53,0.53,0.53
28/04/20,29110.0,0.55,0.55,0.55,0.54
29/04/20,3180.0,0.53,0.53,0.53,0.53
30/04/20,540.0,0.54,0.54,0.54,0.54
04/05/20,41040.0,0.54,0.54,0.54,0.54
06/05/20,18360.0,0.51,0.51,0.51,0.51
07/05/20,107400.0,0.51,0.5,0.51,0.5
08/05/20,3680.0,0.5,0.53,0.54,0.5
11/05/20,16950.0,0.55,0.54,0.55,0.54
13/05/20,89220.0,0.54,0.52,0.54,0.52
14/05/20,30160.0,0.52,0.52,0.52,0.51
18/05/20,53410.0,0.51,0.5,0.51,0.5
21/05/20,500.0,0.5,0.5,0.5,0.5
22/05/20,40800.0,0.51,0.51,0.51,0.51
26/05/20,91710.0,0.5,0.5,0.51,0.5
27/05/20,65500.0,0.5,0.5,0.5,0.5
28/05/20,3500.0,0.5,0.5,0.5,0.5
02/06/20,127240.0,0.5,0.495,0.55,0.48
03/06/20,50000.0,0.5,0.5,0.5,0.5
04/06/20,25830.0,0.51,0.51,0.55,0.51
05/06/20,79420.0,0.5,0.53,0.53,0.5
08/06/20,201790.0,0.53,0.54,0.57,0.53
09/06/20,2730.0,0.53,0.57,0.57,0.53
10/06/20,68890.0,0.57,0.53,0.57,0.53
11/06/20,58950.0,0.54,0.52,0.55,0.52
15/06/20,423780.0,0.51,0.5,0.52,0.5
16/06/20,18950.0,0.51,0.52,0.52,0.51
17/06/20,69500.0,0.51,0.5,0.51,0.5
18/06/20,77570.0,0.5,0.51,0.52,0.5
19/06/20,344655.0,0.51,0.51,0.51,0.495
22/06/20,63160.0,0.5,0.5,0.51,0.5
23/06/20,148090.0,0.52,0.51,0.53,0.51
24/06/20,7040.0,0.51,0.5,0.51,0.5
25/06/20,225390.0,0.5,0.51,0.52,0.5
26/06/20,120520.0,0.5,0.49,0.5,0.49
29/06/20,39150.0,0.415,0.5,0.5,0.415
30/06/20,41295.0,0.425,0.475,0.475,0.425
01/07/20,63850.0,0.465,0.445,0.465,0.445
02/07/20,71300.0,0.465,0.49,0.49,0.46
03/07/20,137650.0,0.465,0.495,0.5,0.465
06/07/20,5000.0,0.5,0.5,0.5,0.5
07/07/20,58045.0,0.5,0.485,0.51,0.48
08/07/20,4650.0,0.465,0.465,0.465,0.465
09/07/20,18800.0,0.47,0.47,0.47,0.47
13/07/20,2543300.0,0.47,0.55,0.59,0.47
14/07/20,844500.0,0.56,0.53,0.56,0.5
15/07/20,176450.0,0.5,0.48,0.52,0.48
16/07/20,24600.0,0.51,0.48,0.51,0.48
17/07/20,5100.0,0.51,0.51,0.51,0.51
20/07/20,4255.0,0.48,0.47,0.48,0.47
21/07/20,52000.0,0.48,0.47,0.48,0.47
22/07/20,158700.0,0.5,0.51,0.54,0.5
23/07/20,65740.0,0.51,0.465,0.51,0.46
24/07/20,171350.0,0.49,0.49,0.495,0.475
27/07/20,23950.0,0.49,0.49,0.49,0.465
28/07/20,56950.0,0.475,0.47,0.475,0.47
30/07/20,23400.0,0.47,0.47,0.47,0.465
04/08/20,9600.0,0.48,0.48,0.48,0.48
10/08/20,49228000.0,0.48,0.54,0.66,0.48
11/08/20,1021545.0,0.55,0.51,0.55,0.495
12/08/20,133290.0,0.5,0.5,0.51,0.49
13/08/20,61805.0,0.51,0.51,0.51,0.495
14/08/20,43065.0,0.495,0.495,0.495,0.495
17/08/20,30000.0,0.5,0.5,0.5,0.5
18/08/20,76285.0,0.5,0.5,0.51,0.49
19/08/20,134160.0,0.5,0.51,0.52,0.5
20/08/20,101960.0,0.51,0.52,0.52,0.51
24/08/20,22440.0,0.51,0.51,0.51,0.51
25/08/20,128860.0,0.51,0.5,0.51,0.5
26/08/20,18520.0,0.51,0.52,0.52,0.51
27/08/20,92560.0,0.52,0.52,0.52,0.52
28/08/20,62400.0,0.52,0.52,0.52,0.52
01/09/20,19190.0,0.51,0.52,0.52,0.51
02/09/20,181540.0,0.52,0.52,0.53,0.52
03/09/20,147980.0,0.52,0.52,0.53,0.52
04/09/20,20800.0,0.52,0.52,0.52,0.52
07/09/20,394220.0,0.53,0.55,0.56,0.53
09/09/20,80620.0,0.53,0.54,0.54,0.53
10/09/20,24010.0,0.54,0.55,0.55,0.54
11/09/20,1100.0,0.55,0.55,0.55,0.55
14/09/20,44200.0,0.55,0.55,0.57,0.55
15/09/20,121580.0,0.57,0.55,0.57,0.55
16/09/20,11180.0,0.55,0.56,0.56,0.55
17/09/20,351840.0,0.55,0.54,0.56,0.54
18/09/20,37730.0,0.54,0.56,0.56,0.54
21/09/20,504220.0,0.55,0.56,0.59,0.55
22/09/20,54780.0,0.56,0.58,0.58,0.56
23/09/20,74190.0,0.58,0.58,0.58,0.57
24/09/20,76840.0,0.58,0.58,0.59,0.57
25/09/20,106280.0,0.58,0.57,0.58,0.54
28/09/20,14880.0,0.57,0.54,0.57,0.54
29/09/20,60160.0,0.54,0.55,0.56,0.54
30/09/20,9080.0,0.55,0.57,0.57,0.55
01/10/20,58850.0,0.55,0.55,0.55,0.55
02/10/20,54830.0,0.55,0.55,0.56,0.55
05/10/20,475270.0,0.55,0.53,0.55,0.52
06/10/20,46640.0,0.53,0.53,0.53,0.53
07/10/20,41000.0,0.55,0.54,0.55,0.53
08/10/20,54430.0,0.53,0.55,0.55,0.53
12/10/20,12550.0,0.54,0.55,0.55,0.54
13/10/20,5940.0,0.54,0.54,0.54,0.54
14/10/20,111570.0,0.54,0.56,0.56,0.54
15/10/20,22010.0,0.56,0.55,0.57,0.55
16/10/20,1301310.0,0.56,0.6,0.62,0.56
19/10/20,190050.0,0.62,0.6,0.62,0.6
20/10/20,1310200.0,0.62,0.63,0.63,0.6
21/10/20,821370.0,0.65,0.65,0.65,0.63
22/10/20,70860.0,0.65,0.65,0.66,0.64
23/10/20,399980.0,0.64,0.64,0.64,0.62
26/10/20,10910.0,0.64,0.65,0.65,0.64
27/10/20,262990.0,0.65,0.62,0.65,0.62
28/10/20,369640.0,0.61,0.63,0.63,0.61
29/10/20,56680.0,0.63,0.63,0.63,0.62
03/11/20,77290.0,0.62,0.62,0.62,0.61
04/11/20,142050.0,0.62,0.64,0.64,0.62
05/11/20,100040.0,0.63,0.64,0.64,0.63
06/11/20,61860.0,0.64,0.65,0.65,0.64
09/11/20,81790.0,0.65,0.66,0.66,0.64
10/11/20,143030.0,0.65,0.66,0.66,0.65
11/11/20,188130.0,0.66,0.67,0.68,0.66
13/11/20,26880.0,0.68,0.67,0.68,0.65
16/11/20,360250.0,0.66,0.68,0.69,0.66
17/11/20,27230.0,0.69,0.68,0.69,0.68
18/11/20,11520.0,0.68,0.68,0.68,0.66
19/11/20,192720.0,0.67,0.68,0.69,0.66
20/11/20,845890.0,0.69,0.71,0.72,0.67
23/11/20,469990.0,0.71,0.71,0.72,0.68
24/11/20,269550.0,0.71,0.71,0.71,0.69
25/11/20,597700.0,0.72,0.71,0.73,0.7
26/11/20,290710.0,0.72,0.71,0.72,0.68
27/11/20,830510.0,0.68,0.7,0.72,0.68
01/12/20,248130.0,0.7,0.71,0.73,0.7
02/12/20,48030.0,0.72,0.71,0.72,0.69
03/12/20,876710.0,0.72,0.73,0.73,0.68
04/12/20,188240.0,0.73,0.72,0.73,0.69
07/12/20,4860.0,0.69,0.72,0.72,0.69
09/12/20,672590.0,0.71,0.74,0.74,0.69
10/12/20,1782890.0,0.75,0.77,0.78,0.74
11/12/20,640710.0,0.78,0.76,0.78,0.75
14/12/20,423980.0,0.77,0.77,0.77,0.76
15/12/20,3944320.0,0.77,0.8,0.84,0.76
16/12/20,1724380.0,0.79,0.79,0.82,0.78
17/12/20,4632550.0,0.83,0.83,0.87,0.8
18/12/20,961470.0,0.86,0.83,0.86,0.81
21/12/20,536630.0,0.85,0.83,0.86,0.81
22/12/20,3182250.0,0.81,0.79,0.83,0.75
23/12/20,249810.0,0.75,0.77,0.81,0.75
28/12/20,265920.0,0.77,0.81,0.81,0.76
29/12/20,801200.0,0.77,0.77,0.77,0.75
04/01/21,405580.0,0.77,0.78,0.8,0.75
05/01/21,117110.0,0.8,0.79,0.8,0.75
06/01/21,279140.0,0.8,0.81,0.83,0.76
