Date,Value,Open,Close,High,Low
02/01/20,1159820.0,0.99,1.03,1.03,0.99
03/01/20,2533500.0,1.05,1.07,1.08,1.04
06/01/20,5691550.0,1.1,1.12,1.17,1.08
07/01/20,1956530.0,1.14,1.08,1.14,1.07
08/01/20,2377960.0,1.15,1.13,1.18,1.11
09/01/20,3075790.0,1.12,1.1,1.12,1.04
10/01/20,503790.0,1.08,1.09,1.09,1.06
14/01/20,1872840.0,1.09,1.04,1.09,1.02
15/01/20,762290.0,1.03,1.05,1.06,1.03
16/01/20,1291900.0,1.05,1.03,1.05,1.02
17/01/20,1546940.0,1.03,1.05,1.05,1.03
20/01/20,386120.0,1.05,1.06,1.06,1.03
21/01/20,2285530.0,1.07,1.09,1.1,1.07
22/01/20,1282410.0,1.1,1.09,1.1,1.06
23/01/20,1194830.0,1.08,1.11,1.11,1.06
24/01/20,1733750.0,1.12,1.09,1.12,1.09
27/01/20,1020480.0,1.09,1.08,1.1,1.07
28/01/20,4538660.0,1.08,1.09,1.14,1.08
29/01/20,1360420.0,1.08,1.06,1.08,1.06
30/01/20,2310050.0,1.06,1.02,1.08,1.02
31/01/20,3590140.0,1.02,0.99,1.04,0.95
03/02/20,4030470.0,1.1,1.04,1.1,1.0
04/02/20,864400.0,1.05,1.07,1.08,1.05
05/02/20,764970.0,1.05,1.03,1.05,1.01
06/02/20,522150.0,1.01,1.01,1.04,1.0
07/02/20,670370.0,1.01,1.0,1.01,1.0
10/02/20,376590.0,1.01,1.02,1.02,1.01
11/02/20,1270440.0,1.02,0.99,1.02,0.99
12/02/20,624140.0,0.99,0.99,1.01,0.97
13/02/20,736790.0,0.99,0.96,1.0,0.96
14/02/20,172020.0,0.96,0.97,0.99,0.96
17/02/20,457160.0,0.99,0.99,1.0,0.96
18/02/20,654360.0,0.97,0.97,0.98,0.97
19/02/20,2793460.0,0.99,0.99,1.01,0.97
20/02/20,1112580.0,0.99,1.02,1.02,0.99
21/02/20,5864670.0,1.03,1.09,1.1,1.03
24/02/20,5060630.0,1.1,1.12,1.13,1.08
26/02/20,4358640.0,1.07,1.04,1.1,1.02
