Date,Value,Open,Close,High,Low
02/01/20,305270.0,1.31,1.35,1.35,1.26
03/01/20,61410.0,1.26,1.34,1.34,1.26
06/01/20,110030.0,1.42,1.35,1.42,1.35
07/01/20,57100.0,1.4,1.35,1.4,1.35
08/01/20,5450.0,1.35,1.4,1.4,1.35
09/01/20,7130.0,1.35,1.4,1.46,1.35
14/01/20,81830.0,1.56,1.44,1.56,1.35
15/01/20,8550.0,1.44,1.4,1.44,1.4
17/01/20,125080.0,1.3,1.35,1.37,1.28
20/01/20,10840.0,1.4,1.33,1.4,1.33
21/01/20,78830.0,1.3,1.33,1.33,1.29
22/01/20,408980.0,1.4,1.45,1.45,1.31
23/01/20,246810.0,1.5,1.54,1.55,1.48
24/01/20,41460.0,1.54,1.54,1.54,1.51
27/01/20,10767790.0,1.64,1.92,2.07,1.59
28/01/20,1988610.0,1.96,1.81,1.96,1.73
29/01/20,569030.0,1.8,1.74,1.8,1.66
30/01/20,500970.0,1.7,1.7,1.71,1.66
31/01/20,330050.0,1.69,1.74,1.75,1.69
03/02/20,585530.0,1.71,1.62,1.71,1.6
04/02/20,402060.0,1.65,1.6,1.76,1.6
05/02/20,433300.0,1.65,1.66,1.72,1.65
06/02/20,63660.0,1.66,1.68,1.68,1.66
07/02/20,178470.0,1.66,1.65,1.66,1.63
10/02/20,52800.0,1.65,1.65,1.65,1.65
11/02/20,41500.0,1.66,1.66,1.66,1.66
12/02/20,14580.0,1.62,1.62,1.62,1.62
13/02/20,16050.0,1.61,1.6,1.61,1.6
18/02/20,71550.0,1.59,1.59,1.59,1.59
19/02/20,28620.0,1.59,1.59,1.59,1.59
20/02/20,38160.0,1.59,1.59,1.59,1.59
21/02/20,3160.0,1.58,1.58,1.58,1.58
24/02/20,272640.0,1.65,1.7,1.75,1.65
26/02/20,81670.0,1.6,1.67,1.67,1.6
27/02/20,1520.0,1.52,1.52,1.52,1.52
28/02/20,105400.0,1.55,1.55,1.55,1.55
02/03/20,29850.0,1.5,1.69,1.69,1.5
03/03/20,241520.0,1.34,1.53,1.53,1.33
04/03/20,693700.0,1.39,1.35,1.4,1.26
05/03/20,52720.0,1.35,1.35,1.36,1.35
06/03/20,246570.0,1.35,1.33,1.35,1.32
09/03/20,334950.0,1.32,1.3,1.32,1.25
10/03/20,570170.0,1.25,1.2,1.26,1.2
11/03/20,2580.0,1.29,1.29,1.29,1.29
12/03/20,52600.0,1.34,1.29,1.34,1.29
16/03/20,8960.0,1.28,1.28,1.28,1.28
20/03/20,952420.0,1.05,1.3,1.42,1.03
23/03/20,2800.0,1.44,1.36,1.44,1.36
24/03/20,123240.0,1.04,1.2,1.2,1.04
25/03/20,25200.0,1.2,1.2,1.2,1.2
26/03/20,260860.0,1.1,1.15,1.15,1.02
27/03/20,95840.0,1.05,1.08,1.1,1.04
30/03/20,11440.0,1.04,1.04,1.04,1.04
01/04/20,3060.0,1.02,1.02,1.02,1.02
02/04/20,43600.0,1.09,1.09,1.09,1.09
03/04/20,420820.0,1.1,1.01,1.1,1.01
