Date,Value,Open,Close,High,Low
02/01/20,403220.0,0.81,0.8,0.81,0.79
03/01/20,497610.0,0.8,0.82,0.82,0.79
06/01/20,335650.0,0.81,0.81,0.81,0.79
07/01/20,150170.0,0.78,0.81,0.81,0.78
08/01/20,737660.0,0.79,0.78,0.8,0.78
09/01/20,3295540.0,0.78,0.84,0.85,0.77
10/01/20,1003560.0,0.84,0.82,0.84,0.8
14/01/20,801030.0,0.82,0.84,0.84,0.81
15/01/20,3478140.0,0.84,0.87,0.88,0.84
16/01/20,1731040.0,0.88,0.88,0.9,0.86
17/01/20,1691210.0,0.88,0.86,0.89,0.82
20/01/20,386410.0,0.85,0.84,0.85,0.82
21/01/20,3972110.0,0.84,0.8,0.84,0.8
22/01/20,940720.0,0.8,0.82,0.82,0.8
23/01/20,750210.0,0.81,0.83,0.83,0.8
24/01/20,407280.0,0.82,0.83,0.83,0.81
27/01/20,1091190.0,0.82,0.81,0.82,0.8
28/01/20,397220.0,0.8,0.81,0.81,0.8
29/01/20,686230.0,0.81,0.82,0.84,0.8
30/01/20,453480.0,0.82,0.8,0.82,0.8
31/01/20,3273830.0,0.8,0.79,0.82,0.76
03/02/20,815750.0,0.78,0.79,0.8,0.76
04/02/20,1555220.0,0.79,0.79,0.82,0.77
05/02/20,955060.0,0.79,0.8,0.8,0.78
06/02/20,625480.0,0.8,0.81,0.81,0.79
07/02/20,429430.0,0.79,0.81,0.81,0.79
10/02/20,83840.0,0.78,0.79,0.8,0.78
11/02/20,692850.0,0.8,0.8,0.8,0.78
12/02/20,701390.0,0.78,0.78,0.8,0.78
13/02/20,377990.0,0.8,0.79,0.8,0.78
14/02/20,165500.0,0.78,0.79,0.8,0.78
17/02/20,260640.0,0.78,0.78,0.79,0.78
18/02/20,117270.0,0.79,0.78,0.79,0.78
19/02/20,461100.0,0.78,0.78,0.79,0.78
20/02/20,329940.0,0.78,0.78,0.78,0.78
21/02/20,448680.0,0.78,0.78,0.79,0.78
24/02/20,534960.0,0.79,0.79,0.79,0.77
26/02/20,750690.0,0.78,0.76,0.78,0.75
27/02/20,101080.0,0.76,0.76,0.76,0.76
28/02/20,93020.0,0.78,0.75,0.78,0.75
02/03/20,457500.0,0.75,0.75,0.75,0.75
03/03/20,121100.0,0.74,0.75,0.75,0.74
04/03/20,621710.0,0.73,0.72,0.73,0.68
05/03/20,602440.0,0.72,0.72,0.74,0.71
06/03/20,135820.0,0.71,0.72,0.72,0.71
09/03/20,3029450.0,0.7,0.6,0.7,0.6
10/03/20,461020.0,0.6,0.66,0.66,0.6
11/03/20,193020.0,0.66,0.66,0.67,0.64
12/03/20,751480.0,0.66,0.57,0.66,0.57
13/03/20,251490.0,0.55,0.62,0.65,0.55
16/03/20,345800.0,0.56,0.56,0.6,0.55
19/03/20,309550.0,0.55,0.55,0.58,0.54
20/03/20,1289310.0,0.51,0.47,0.55,0.4
23/03/20,522100.0,0.47,0.5,0.5,0.47
24/03/20,169690.0,0.5,0.54,0.59,0.5
25/03/20,319460.0,0.54,0.55,0.58,0.53
26/03/20,331090.0,0.54,0.58,0.58,0.51
27/03/20,162170.0,0.57,0.56,0.58,0.56
30/03/20,60010.0,0.55,0.57,0.57,0.55
31/03/20,308690.0,0.57,0.61,0.62,0.57
01/04/20,943140.0,0.61,0.6,0.61,0.57
02/04/20,1409720.0,0.62,0.59,0.62,0.58
03/04/20,1033690.0,0.6,0.6,0.6,0.57
06/04/20,1403580.0,0.6,0.58,0.6,0.58
07/04/20,1474570.0,0.59,0.58,0.61,0.58
08/04/20,800730.0,0.58,0.57,0.58,0.56
13/04/20,450920.0,0.56,0.57,0.58,0.53
14/04/20,784320.0,0.57,0.56,0.57,0.55
15/04/20,1357280.0,0.57,0.58,0.6,0.56
16/04/20,763170.0,0.58,0.56,0.58,0.56
17/04/20,897370.0,0.56,0.55,0.56,0.55
20/04/20,409140.0,0.54,0.55,0.55,0.54
21/04/20,631710.0,0.54,0.57,0.57,0.54
22/04/20,400490.0,0.57,0.56,0.58,0.54
23/04/20,407710.0,0.56,0.57,0.57,0.55
24/04/20,855760.0,0.59,0.59,0.59,0.57
27/04/20,2650400.0,0.59,0.59,0.62,0.59
28/04/20,1094240.0,0.6,0.57,0.6,0.55
29/04/20,378970.0,0.57,0.56,0.58,0.56
30/04/20,529940.0,0.56,0.57,0.57,0.55
04/05/20,775750.0,0.56,0.58,0.58,0.56
05/05/20,592410.0,0.58,0.59,0.6,0.57
06/05/20,290540.0,0.59,0.57,0.59,0.56
07/05/20,183310.0,0.57,0.56,0.57,0.56
08/05/20,56380.0,0.57,0.56,0.57,0.56
11/05/20,255340.0,0.56,0.56,0.56,0.55
12/05/20,8830.0,0.55,0.56,0.56,0.55
13/05/20,250780.0,0.55,0.55,0.55,0.54
14/05/20,124120.0,0.55,0.55,0.55,0.54
15/05/20,233280.0,0.54,0.54,0.54,0.54
18/05/20,1251170.0,0.53,0.51,0.53,0.48
19/05/20,91860.0,0.51,0.52,0.52,0.5
20/05/20,6760.0,0.52,0.52,0.52,0.52
21/05/20,61870.0,0.52,0.52,0.52,0.5
22/05/20,87170.0,0.5,0.5,0.51,0.5
26/05/20,122650.0,0.52,0.5,0.52,0.5
27/05/20,54110.0,0.5,0.51,0.51,0.5
28/05/20,83660.0,0.51,0.5,0.51,0.5
29/05/20,120080.0,0.48,0.5,0.5,0.48
01/06/20,171480.0,0.5,0.51,0.51,0.49
02/06/20,296320.0,0.5,0.52,0.52,0.49
03/06/20,205900.0,0.52,0.55,0.55,0.52
04/06/20,117990.0,0.55,0.54,0.55,0.53
05/06/20,542080.0,0.53,0.54,0.55,0.53
08/06/20,899160.0,0.55,0.56,0.56,0.54
09/06/20,469800.0,0.56,0.56,0.57,0.54
10/06/20,3916000.0,0.56,0.59,0.61,0.56
11/06/20,716650.0,0.59,0.58,0.59,0.57
15/06/20,1802050.0,0.56,0.55,0.59,0.54
16/06/20,1787970.0,0.56,0.55,0.56,0.55
17/06/20,1789910.0,0.55,0.55,0.56,0.54
18/06/20,494290.0,0.55,0.57,0.58,0.54
19/06/20,745620.0,0.57,0.56,0.57,0.55
22/06/20,968140.0,0.56,0.55,0.56,0.54
23/06/20,550790.0,0.55,0.55,0.55,0.53
24/06/20,526770.0,0.54,0.54,0.55,0.53
25/06/20,1393200.0,0.54,0.53,0.54,0.52
26/06/20,780520.0,0.52,0.55,0.55,0.52
29/06/20,1058130.0,0.56,0.54,0.56,0.52
30/06/20,599410.0,0.53,0.56,0.57,0.52
01/07/20,672490.0,0.56,0.57,0.57,0.53
02/07/20,308990.0,0.57,0.57,0.57,0.54
03/07/20,346530.0,0.57,0.55,0.57,0.55
06/07/20,225180.0,0.54,0.56,0.57,0.54
07/07/20,47510.0,0.56,0.54,0.56,0.54
08/07/20,124490.0,0.54,0.56,0.56,0.53
09/07/20,356470.0,0.56,0.53,0.56,0.53
10/07/20,61090.0,0.54,0.55,0.55,0.54
13/07/20,23340.0,0.53,0.55,0.55,0.53
14/07/20,319980.0,0.55,0.53,0.55,0.53
15/07/20,290470.0,0.54,0.53,0.55,0.52
16/07/20,778050.0,0.53,0.56,0.57,0.53
17/07/20,354430.0,0.56,0.56,0.56,0.55
20/07/20,142420.0,0.54,0.56,0.56,0.54
21/07/20,23327970.0,0.56,0.54,0.63,0.53
22/07/20,1668180.0,0.54,0.53,0.55,0.53
23/07/20,2435160.0,0.53,0.51,0.53,0.5
24/07/20,317640.0,0.51,0.51,0.52,0.5
27/07/20,209270.0,0.52,0.51,0.52,0.495
28/07/20,507620.0,0.5,0.51,0.51,0.5
29/07/20,288910.0,0.5,0.5,0.51,0.5
30/07/20,241270.0,0.5,0.52,0.52,0.5
03/08/20,392140.0,0.5,0.51,0.51,0.5
04/08/20,177450.0,0.51,0.51,0.51,0.5
05/08/20,261990.0,0.51,0.51,0.51,0.5
06/08/20,897450.0,0.5,0.52,0.52,0.5
07/08/20,597200.0,0.51,0.51,0.51,0.5
10/08/20,258910.0,0.5,0.53,0.53,0.5
11/08/20,147700.0,0.52,0.51,0.53,0.51
12/08/20,380630.0,0.51,0.51,0.51,0.5
13/08/20,59420.0,0.51,0.52,0.52,0.5
14/08/20,143830.0,0.51,0.52,0.52,0.5
17/08/20,1006060.0,0.53,0.52,0.54,0.52
18/08/20,413390.0,0.53,0.53,0.53,0.52
19/08/20,292150.0,0.53,0.53,0.53,0.52
20/08/20,432360.0,0.53,0.52,0.53,0.52
24/08/20,294160.0,0.52,0.52,0.52,0.51
25/08/20,309590.0,0.51,0.52,0.52,0.51
26/08/20,17150.0,0.52,0.52,0.52,0.51
27/08/20,496180.0,0.51,0.52,0.53,0.51
28/08/20,143780.0,0.53,0.52,0.53,0.52
01/09/20,127860.0,0.52,0.53,0.53,0.52
02/09/20,336460.0,0.52,0.52,0.53,0.52
03/09/20,486700.0,0.51,0.52,0.53,0.51
04/09/20,297690.0,0.51,0.5,0.52,0.5
07/09/20,656360.0,0.5,0.51,0.53,0.5
08/09/20,191350.0,0.52,0.52,0.52,0.51
09/09/20,1905010.0,0.52,0.55,0.56,0.52
10/09/20,1307410.0,0.56,0.56,0.58,0.54
11/09/20,545380.0,0.56,0.55,0.56,0.55
14/09/20,468470.0,0.55,0.54,0.56,0.54
15/09/20,184270.0,0.54,0.54,0.54,0.53
16/09/20,307680.0,0.53,0.54,0.54,0.53
17/09/20,146930.0,0.53,0.54,0.54,0.53
18/09/20,268030.0,0.53,0.54,0.54,0.53
21/09/20,182870.0,0.55,0.53,0.55,0.52
22/09/20,552760.0,0.53,0.53,0.53,0.52
23/09/20,36370.0,0.52,0.53,0.53,0.52
24/09/20,258580.0,0.52,0.52,0.53,0.51
25/09/20,639220.0,0.53,0.52,0.53,0.52
28/09/20,103050.0,0.53,0.53,0.53,0.52
29/09/20,190310.0,0.54,0.54,0.54,0.52
30/09/20,151760.0,0.52,0.53,0.54,0.52
01/10/20,466750.0,0.53,0.53,0.53,0.52
02/10/20,1031680.0,0.52,0.52,0.52,0.52
