Date,Value,Open,Close,High,Low
02/01/20,8100.0,54.0,54.0,54.0,54.0
03/01/20,2700.0,54.0,54.0,54.0,54.0
06/01/20,6390.0,53.1,54.0,54.0,53.1
07/01/20,486540.0,54.0,54.0,54.0,54.0
08/01/20,454692.0,53.1,53.1,53.1,53.05
09/01/20,48600.0,54.0,54.0,54.0,54.0
10/01/20,107500.0,53.75,53.75,53.75,53.75
14/01/20,27815.0,53.5,53.5,53.5,53.25
15/01/20,51594.0,53.6,53.9,53.9,53.6
17/01/20,26530.0,53.1,53.0,53.1,53.0
20/01/20,67105.0,53.25,53.5,53.5,53.0
23/01/20,54581.0,54.6,53.5,54.6,53.5
24/01/20,213100.0,53.0,53.5,53.5,53.0
27/01/20,1560000.0,52.0,52.0,52.0,52.0
28/01/20,6258.0,52.15,52.15,52.15,52.15
03/02/20,143965.0,52.15,53.0,53.0,52.15
04/02/20,539.5,53.95,53.95,53.95,53.95
05/02/20,61038.5,52.15,50.1,52.15,50.1
06/02/20,25547.0,53.85,53.25,53.85,50.8
10/02/20,161310.5,51.05,52.5,53.5,51.05
11/02/20,53000.0,53.0,53.0,53.0,53.0
12/02/20,213460.0,53.0,50.5,53.2,50.5
13/02/20,69810.0,53.0,53.0,53.0,52.5
14/02/20,11130.0,53.0,53.0,53.0,53.0
17/02/20,27030.0,53.0,53.0,53.0,53.0
18/02/20,50900.0,53.0,53.1,53.1,53.0
19/02/20,16955.0,50.45,53.0,53.2,50.45
20/02/20,46153.5,52.0,53.1,53.35,52.0
21/02/20,86395.0,51.0,51.25,53.0,51.0
24/02/20,283282.5,52.95,52.95,52.95,52.95
26/02/20,597000.0,50.0,50.0,50.0,50.0
27/02/20,8255.0,51.0,51.5,52.0,51.0
28/02/20,705050.5,51.55,50.0,51.55,49.5
02/03/20,1698275.0,49.5,50.0,50.0,49.5
03/03/20,66275.5,51.0,51.0,51.0,50.0
05/03/20,1020.0,51.0,51.0,51.0,51.0
06/03/20,509.5,50.95,50.95,50.95,50.95
09/03/20,844936.5,49.75,49.9,49.9,43.15
10/03/20,13815.0,46.05,46.05,46.05,46.05
11/03/20,9650.0,48.5,48.0,48.5,48.0
12/03/20,48365.0,43.65,44.0,44.0,43.65
13/03/20,863455.0,43.5,48.0,48.0,41.8
16/03/20,220450.0,41.85,43.8,44.0,40.0
19/03/20,436280.0,40.05,43.5,43.5,40.05
20/03/20,117225.0,41.75,44.0,44.0,41.75
23/03/20,244305.0,41.75,40.0,43.95,40.0
24/03/20,399365.0,43.5,43.0,43.5,40.0
25/03/20,235550.0,43.0,44.0,44.0,43.0
27/03/20,190750.0,44.0,44.5,44.5,44.0
30/03/20,17830.0,44.65,44.5,44.65,44.5
31/03/20,120545.0,44.45,44.9,44.9,44.45
01/04/20,337900.0,44.95,45.5,45.5,44.5
02/04/20,230050.0,45.0,45.5,45.5,45.0
03/04/20,252800.0,46.0,46.0,46.0,45.8
06/04/20,1203530.0,46.0,47.0,47.0,44.05
07/04/20,246850.0,47.5,47.5,47.5,47.4
08/04/20,470000.0,47.0,47.0,47.0,47.0
13/04/20,4770.0,47.7,47.7,47.7,47.7
14/04/20,296560.0,47.8,48.0,48.0,47.7
15/04/20,161700.0,49.0,49.0,49.0,49.0
16/04/20,150350.0,48.5,48.5,48.5,48.5
17/04/20,583900.0,48.8,48.9,48.9,48.5
20/04/20,72915.0,48.9,48.5,48.9,48.5
21/04/20,76030.0,48.7,48.5,48.7,47.0
22/04/20,585720.0,45.25,48.3,48.3,45.0
23/04/20,188860.0,48.2,48.7,48.7,48.1
24/04/20,63000.0,48.5,48.0,48.5,48.0
27/04/20,336000.0,48.0,48.0,48.0,48.0
28/04/20,248650.0,48.0,48.0,48.3,47.5
29/04/20,242500.0,48.5,48.5,48.5,48.5
30/04/20,97400.0,48.7,48.7,48.7,48.7
04/05/20,182800.0,45.55,47.5,47.5,45.55
05/05/20,321850.0,48.0,48.25,48.25,48.0
06/05/20,244800.0,48.0,48.0,48.0,48.0
07/05/20,48250.0,48.25,48.25,48.25,48.25
08/05/20,4800.0,48.0,48.0,48.0,48.0
