Date,Value,Open,Close,High,Low
02/01/20,330243.0,10.44,10.06,10.44,9.94
03/01/20,223417.0,10.2,10.06,10.2,9.92
06/01/20,51608.0,10.18,10.08,10.18,10.0
07/01/20,217868.0,10.14,10.08,10.46,10.04
08/01/20,88634.0,10.24,10.06,10.24,10.06
09/01/20,979992.0,10.2,11.0,11.48,10.18
10/01/20,1018626.0,11.48,11.8,12.52,11.38
14/01/20,391898.0,11.8,11.82,12.32,11.5
15/01/20,322386.0,12.04,11.2,12.06,11.2
16/01/20,220666.0,11.2,11.7,11.92,11.12
17/01/20,261918.0,11.02,11.6,11.86,11.02
20/01/20,207120.0,11.78,11.08,11.78,11.08
21/01/20,117548.0,11.08,10.82,11.08,10.6
22/01/20,166524.0,10.88,10.8,10.88,10.56
23/01/20,1535652.0,10.8,11.3,12.4,10.8
24/01/20,277516.0,11.3,11.36,11.8,11.2
27/01/20,394904.0,11.62,10.84,11.62,10.8
28/01/20,106372.0,10.8,10.64,10.8,10.32
29/01/20,80450.0,10.64,10.66,11.2,10.34
30/01/20,528892.0,10.96,10.72,10.96,10.36
31/01/20,203270.0,10.8,10.54,10.8,10.22
03/02/20,295970.0,10.58,10.46,10.58,10.1
04/02/20,318409.0,10.48,10.3,10.48,9.99
05/02/20,61382.0,10.48,10.3,10.48,10.0
06/02/20,167174.0,10.38,10.24,10.4,10.0
07/02/20,97794.0,10.26,10.1,10.48,10.1
10/02/20,132606.0,10.1,10.18,10.32,10.0
11/02/20,103334.0,10.28,10.18,10.28,9.84
12/02/20,11018.0,10.18,10.0,10.18,10.0
13/02/20,44819.0,9.9,9.9,10.18,9.9
14/02/20,15015.0,10.14,9.98,10.16,9.98
17/02/20,77426.0,10.16,9.95,10.16,9.95
18/02/20,43017.0,10.18,9.99,10.18,9.99
19/02/20,62051.0,10.22,9.99,10.22,9.99
20/02/20,68977.0,10.22,9.99,10.22,9.99
21/02/20,62056.0,10.22,10.02,10.3,9.99
24/02/20,263666.0,10.28,10.02,10.28,10.0
26/02/20,44865.0,10.28,9.95,10.28,9.89
27/02/20,428964.0,9.99,9.7,9.99,9.53
28/02/20,61616.0,9.99,9.7,10.0,9.69
02/03/20,20479.0,9.99,9.7,9.99,9.7
03/03/20,36054.0,9.94,9.71,10.1,9.71
04/03/20,78416.0,9.71,9.66,9.71,9.66
05/03/20,122546.0,9.66,9.62,9.75,9.62
06/03/20,215590.0,9.75,9.69,9.75,9.0
09/03/20,324111.0,9.65,8.99,9.69,8.0
10/03/20,1839091.0,8.96,8.93,8.96,8.0
11/03/20,32410.0,8.2,8.35,8.93,8.2
12/03/20,100872.0,8.3,7.75,8.5,7.6
13/03/20,239381.0,7.4,6.7,7.9,6.32
16/03/20,371775.0,6.7,6.3,6.7,6.21
19/03/20,125565.0,5.9,5.5,5.9,5.05
20/03/20,31495.0,5.99,5.5,5.99,5.11
23/03/20,25406.0,5.6,5.5,5.96,5.2
24/03/20,70060.0,5.16,5.9,5.9,5.16
25/03/20,143733.0,5.78,5.5,5.9,5.5
26/03/20,539874.0,5.9,6.28,6.5,5.5
27/03/20,382100.0,6.44,5.71,6.44,5.71
30/03/20,117685.0,5.93,5.5,5.93,5.5
31/03/20,282595.0,5.71,5.51,5.71,5.51
01/04/20,314292.0,5.52,5.51,5.69,5.51
02/04/20,455884.0,5.56,5.52,5.85,5.5
03/04/20,382014.0,5.5,5.7,5.7,5.41
06/04/20,123094.0,5.75,5.82,5.83,5.46
07/04/20,92444.0,5.82,5.71,5.82,5.55
08/04/20,20148.0,5.55,5.61,5.82,5.55
13/04/20,18507.0,5.85,5.85,5.85,5.53
14/04/20,362823.0,5.98,6.78,7.0,5.65
15/04/20,348731.0,7.0,7.15,9.0,6.82
16/04/20,104898.0,7.99,7.6,8.3,7.17
17/04/20,73670.0,7.6,7.6,8.0,7.23
20/04/20,128367.0,7.58,7.77,7.93,7.26
21/04/20,169175.0,7.85,7.37,7.86,7.31
22/04/20,172612.0,7.36,7.1,7.58,7.01
23/04/20,48477.0,7.1,7.12,7.29,7.06
24/04/20,68943.0,7.15,7.01,7.15,6.55
27/04/20,59031.0,7.11,7.08,7.36,7.04
28/04/20,53747.0,7.46,7.16,7.46,7.09
29/04/20,167538.0,7.29,7.59,7.78,7.2
30/04/20,205503.0,7.8,7.7,7.98,7.63
04/05/20,103932.0,7.9,7.58,7.9,7.3
05/05/20,43336.0,7.58,7.8,7.95,7.21
06/05/20,60519.0,7.95,7.89,7.95,7.34
07/05/20,295011.0,6.89,7.75,7.79,6.89
08/05/20,86992.0,7.78,7.81,7.94,7.5
11/05/20,264507.0,8.0,7.92,8.59,7.81
12/05/20,135139.0,8.0,8.02,8.47,8.0
13/05/20,117113.0,8.3,8.08,8.3,8.01
14/05/20,463634.0,8.06,8.09,8.2,8.06
15/05/20,252300.0,8.1,8.08,8.2,8.0
18/05/20,55497.0,8.37,8.07,8.37,8.07
19/05/20,931911.0,8.07,7.92,8.3,7.9
20/05/20,201560.0,7.92,8.23,8.43,7.92
21/05/20,28570.0,8.22,8.19,8.23,7.96
22/05/20,29205.0,8.22,8.16,8.22,7.95
26/05/20,28740.0,7.96,8.11,8.15,7.95
27/05/20,86208.0,8.11,8.08,8.11,8.0
28/05/20,11973.0,8.1,8.07,8.1,7.94
29/05/20,275590.0,8.0,8.06,8.06,7.85
01/06/20,38559.0,7.66,8.01,8.17,7.66
02/06/20,219355.0,8.0,8.01,8.17,8.0
03/06/20,49813.0,8.17,8.01,8.17,7.79
04/06/20,557322.0,8.01,7.85,8.01,7.84
05/06/20,52072.0,8.15,7.93,8.15,7.91
