Date,Value,Open,Close,High,Low
02/01/20,3427400.0,18.0,18.5,18.5,18.0
03/01/20,20350.0,18.5,18.5,18.5,18.5
06/01/20,1850.0,18.5,18.5,18.5,18.5
07/01/20,12950.0,18.5,18.5,18.5,18.5
08/01/20,7830570.0,18.3,18.3,18.3,18.3
09/01/20,9150.0,18.3,18.3,18.3,18.3
10/01/20,195580.0,18.3,18.5,18.5,18.3
14/01/20,3689280.0,18.3,18.3,18.3,18.3
16/01/20,5490.0,18.3,18.3,18.3,18.3
17/01/20,2745000.0,18.3,18.3,18.3,18.3
20/01/20,2836500.0,18.3,18.3,18.3,18.3
21/01/20,1850.0,18.5,18.5,18.5,18.5
22/01/20,207030.0,18.3,18.6,18.6,18.3
24/01/20,5560.0,18.5,18.6,18.6,18.5
30/01/20,53560.0,16.28,17.5,17.5,16.28
05/02/20,3500.0,17.5,17.5,17.5,17.5
06/02/20,38500.0,17.5,17.5,17.5,17.5
07/02/20,17500.0,17.5,17.5,17.5,17.5
10/02/20,3550.0,17.5,18.0,18.0,17.5
19/02/20,45500.0,17.5,17.5,17.5,17.5
24/02/20,9000.0,18.0,18.0,18.0,18.0
26/02/20,840000.0,17.5,17.5,17.5,17.5
27/02/20,124706.0,17.5,18.5,18.58,17.5
28/02/20,262500.0,17.5,17.5,17.5,17.5
02/03/20,3776500.0,17.5,17.5,17.5,17.5
03/03/20,210000.0,17.5,17.5,17.5,17.5
04/03/20,350000.0,17.5,17.5,17.5,17.5
05/03/20,175000.0,17.5,17.5,17.5,17.5
11/03/20,17930.0,16.3,16.3,16.3,16.3
12/03/20,8150.0,16.3,16.3,16.3,16.3
13/03/20,162746.0,16.28,16.28,16.28,16.1
16/03/20,4800.0,16.0,16.0,16.0,16.0
19/03/20,158400.0,16.0,16.0,16.0,16.0
20/03/20,259126.0,12.22,15.98,15.98,12.22
25/03/20,1588.0,15.88,15.88,15.88,15.88
27/03/20,9468.0,15.78,15.78,15.78,15.78
31/03/20,63160.0,15.78,15.8,15.8,15.78
01/04/20,1590.0,15.9,15.9,15.9,15.9
03/04/20,32468.0,15.0,17.48,17.48,15.0
13/04/20,17304.0,17.38,17.0,17.38,17.0
14/04/20,8490.0,16.98,16.98,16.98,16.98
15/04/20,21964.0,16.88,16.98,16.98,16.88
16/04/20,1688.0,16.88,16.88,16.88,16.88
17/04/20,73254.0,15.88,15.92,16.0,15.88
20/04/20,12720.0,15.9,15.9,15.9,15.9
21/04/20,28656.0,15.92,15.92,15.92,15.92
23/04/20,16124.0,15.22,15.5,16.86,15.22
24/04/20,134516.0,16.88,16.0,16.88,15.4
27/04/20,861698.0,16.86,15.58,16.86,15.56
29/04/20,4944.0,16.48,16.48,16.48,16.48
04/05/20,24820.0,16.44,17.94,18.8,16.44
05/05/20,5346.0,17.82,17.82,17.82,17.82
07/05/20,56100.0,17.0,17.0,17.0,17.0
08/05/20,1738.0,17.38,17.38,17.38,17.38
11/05/20,1031980.0,16.98,17.0,17.36,16.98
12/05/20,1020000.0,17.0,17.0,17.0,17.0
13/05/20,341700.0,17.0,17.0,17.0,17.0
14/05/20,170000.0,17.0,17.0,17.0,17.0
18/05/20,17602.0,16.0,16.02,16.02,16.0
21/05/20,16884.0,16.98,16.02,16.98,16.02
22/05/20,224162.0,15.62,15.52,15.62,15.22
26/05/20,3220.0,15.7,16.5,16.5,15.7
27/05/20,169800.0,16.98,16.98,16.98,16.98
28/05/20,155200.0,16.0,16.0,16.0,16.0
29/05/20,244854.0,16.18,16.0,16.18,16.0
01/06/20,368000.0,16.0,16.0,16.0,16.0
02/06/20,194140.0,16.36,16.0,16.36,16.0
03/06/20,664048.0,16.0,16.0,16.34,15.74
04/06/20,72040.0,16.4,16.0,16.4,16.0
05/06/20,43700.0,16.5,16.9,16.9,16.5
09/06/20,23590.0,16.9,16.8,16.9,16.8
16/06/20,1690.0,16.9,16.9,16.9,16.9
23/06/20,1690.0,16.9,16.9,16.9,16.9
29/06/20,5040.0,16.8,16.8,16.8,16.8
30/06/20,8400.0,16.8,16.8,16.8,16.8
01/07/20,5040.0,16.8,16.8,16.8,16.8
03/07/20,1680.0,16.8,16.8,16.8,16.8
08/07/20,1680.0,16.8,16.8,16.8,16.8
13/07/20,4800.0,16.0,16.0,16.0,16.0
15/07/20,23130.0,15.42,15.42,15.42,15.42
20/07/20,6712.0,16.78,16.78,16.78,16.78
21/07/20,4572.0,15.24,15.24,15.24,15.24
23/07/20,4849566.0,16.74,16.72,16.74,16.72
27/07/20,4974.0,16.58,16.58,16.58,16.58
29/07/20,1524.0,15.24,15.24,15.24,15.24
30/07/20,9914.0,16.76,15.34,16.76,15.34
04/08/20,1534.0,15.34,15.34,15.34,15.34
06/08/20,4626.0,15.42,15.42,15.42,15.42
11/08/20,4626.0,15.42,15.42,15.42,15.42
12/08/20,698400.0,15.52,15.52,15.52,15.52
17/08/20,1572000.0,15.72,15.72,15.72,15.72
18/08/20,18864.0,15.72,15.72,15.72,15.72
20/08/20,58240.0,15.82,15.72,15.82,15.72
24/08/20,113980.0,16.76,16.76,16.78,16.76
26/08/20,29868.0,15.72,15.72,15.72,15.72
27/08/20,1572.0,15.72,15.72,15.72,15.72
09/09/20,55032.0,15.84,15.72,15.84,15.72
10/09/20,1572.0,15.72,15.72,15.72,15.72
15/09/20,19890.0,16.5,16.68,16.68,16.5
22/09/20,40112.0,15.76,15.28,15.76,15.28
25/09/20,9180.0,15.3,15.3,15.3,15.3
05/10/20,3911636.0,16.44,15.32,16.44,15.32
06/10/20,1532.0,15.32,15.32,15.32,15.32
07/10/20,1542.0,15.42,15.42,15.42,15.42
12/10/20,21728.0,15.52,15.52,15.52,15.52
14/10/20,8100.0,16.2,16.2,16.2,16.2
15/10/20,3228.0,16.14,16.14,16.14,16.14
16/10/20,7984.0,16.0,15.96,16.0,15.96
19/10/20,1592.0,15.92,15.92,15.92,15.92
20/10/20,24800.0,15.5,15.5,15.5,15.5
22/10/20,4999666.0,16.66,16.66,16.66,16.66
23/10/20,1722646.0,16.34,15.68,16.34,15.0
26/10/20,183540.0,15.68,15.7,15.7,15.68
27/10/20,20410.0,15.7,15.7,15.7,15.7
28/10/20,62720.0,15.68,15.68,15.68,15.68
30/10/20,64060.0,15.66,15.6,15.66,15.4
03/11/20,158002.0,15.34,15.34,15.34,15.34
04/11/20,23243384.0,15.34,15.38,15.38,15.34
05/11/20,43788.0,15.62,15.64,15.64,15.62
06/11/20,8083228.0,16.18,16.1,16.18,16.1
09/11/20,16000.0,16.0,16.0,16.0,16.0
10/11/20,36482.0,15.94,15.34,15.94,15.34
11/11/20,23126.0,15.38,15.42,15.42,15.38
13/11/20,1542.0,15.42,15.42,15.42,15.42
16/11/20,15980.0,15.98,15.98,15.98,15.98
17/11/20,20828316.0,15.9,15.98,15.98,15.9
18/11/20,1598.0,15.98,15.98,15.98,15.98
19/11/20,3738860.0,15.52,15.98,15.98,15.52
20/11/20,256132.0,15.98,15.56,15.98,15.56
23/11/20,0.0,0.0,0.0,0.0,0.0
24/11/20,23430.0,15.62,15.62,15.62,15.62
25/11/20,258744.0,15.6,15.58,15.6,15.58
02/12/20,84132.0,15.58,15.58,15.58,15.58
03/12/20,12780.0,16.0,15.9,16.0,15.9
04/12/20,49290.0,15.9,15.9,15.9,15.9
07/12/20,167576.0,15.64,15.8,15.88,15.64
09/12/20,3591240.0,15.6,15.5,15.6,15.5
11/12/20,600600.0,15.6,15.6,15.6,15.6
14/12/20,1600080.0,15.4,15.6,15.6,15.4
15/12/20,574842.0,15.42,15.6,15.6,15.4
16/12/20,6249300.0,15.4,15.6,15.6,15.4
17/12/20,28050.0,15.6,15.5,15.6,15.5
21/12/20,12400.0,15.5,15.5,15.5,15.5
22/12/20,96100.0,15.5,15.5,15.5,15.5
23/12/20,1550.0,15.5,15.5,15.5,15.5
29/12/20,176498.0,15.42,15.58,15.58,15.4
04/01/21,15140.0,15.14,15.14,15.14,15.14
05/01/21,125828.0,15.16,15.16,15.16,15.16
06/01/21,315068.0,15.18,15.06,15.18,15.06
07/01/21,588368.0,15.16,15.0,15.16,15.0
08/01/21,1035268.0,14.96,14.96,14.98,14.96
11/01/21,298600.0,14.96,14.9,14.96,14.9
