Date,Value,Open,Close,High,Low
02/01/20,2500.0,2.5,2.5,2.5,2.5
03/01/20,4533690.0,2.41,2.5,2.52,2.41
06/01/20,1213950.0,2.5,2.5,2.55,2.5
07/01/20,216670.0,2.42,2.5,2.5,2.36
08/01/20,9960.0,2.49,2.49,2.49,2.49
09/01/20,716460.0,2.48,2.5,2.5,2.48
10/01/20,1116280.0,2.5,2.5,2.5,2.46
14/01/20,1211670.0,2.49,2.51,2.55,2.49
15/01/20,640000.0,2.5,2.5,2.5,2.5
16/01/20,1827560.0,2.5,2.55,2.65,2.5
17/01/20,574440.0,2.55,2.53,2.57,2.53
20/01/20,1917550.0,2.53,2.52,2.53,2.52
21/01/20,296950.0,2.5,2.49,2.5,2.49
22/01/20,149950.0,2.49,2.5,2.5,2.49
23/01/20,161800.0,2.49,2.48,2.49,2.48
24/01/20,374850.0,2.49,2.5,2.5,2.49
27/01/20,10220.0,2.54,2.6,2.6,2.54
28/01/20,1853540.0,2.6,2.55,2.6,2.5
29/01/20,1385000.0,2.5,2.5,2.5,2.5
30/01/20,10000.0,2.5,2.5,2.5,2.5
31/01/20,2051340.0,2.5,2.4,2.5,2.36
03/02/20,1950550.0,2.4,2.31,2.4,2.31
04/02/20,16380.0,2.34,2.34,2.34,2.34
05/02/20,367270.0,2.4,2.24,2.4,2.23
06/02/20,94650.0,2.34,2.35,2.4,2.3
07/02/20,28780.0,2.4,2.38,2.4,2.38
10/02/20,23800.0,2.38,2.38,2.38,2.38
11/02/20,251570.0,2.38,2.23,2.38,2.23
12/02/20,33750.0,2.25,2.25,2.25,2.25
14/02/20,2183940.0,2.23,2.21,2.23,2.2
17/02/20,37980.0,2.23,2.24,2.24,2.23
18/02/20,1481070.0,2.22,2.24,2.3,2.22
19/02/20,6720.0,2.24,2.24,2.24,2.24
21/02/20,12000.0,2.4,2.4,2.4,2.4
24/02/20,229480.0,2.24,2.25,2.25,2.24
26/02/20,239530.0,2.4,2.19,2.4,2.18
27/02/20,4780.0,2.39,2.39,2.39,2.39
02/03/20,46000.0,2.3,2.3,2.3,2.3
03/03/20,232390.0,2.39,2.3,2.39,2.3
04/03/20,6570.0,2.19,2.19,2.19,2.19
05/03/20,236900.0,2.3,2.3,2.3,2.3
09/03/20,196750.0,2.29,2.1,2.3,2.1
11/03/20,160400.0,2.0,2.0,2.02,2.0
12/03/20,650310.0,2.02,2.0,2.02,2.0
13/03/20,45500.0,1.9,1.8,1.9,1.8
16/03/20,54200.0,1.8,1.81,1.81,1.8
19/03/20,22510.0,1.8,1.75,1.8,1.5
23/03/20,89260.0,1.75,1.75,1.76,1.75
25/03/20,96240.0,1.9,1.81,1.9,1.8
27/03/20,145600.0,1.82,1.82,1.82,1.82
30/03/20,50460.0,1.8,1.86,1.86,1.8
31/03/20,1890.0,1.89,1.89,1.89,1.89
01/04/20,115900.0,1.9,1.9,1.9,1.9
02/04/20,9500.0,1.9,1.9,1.9,1.9
06/04/20,93840.0,1.85,1.7,1.85,1.7
07/04/20,100890.0,1.71,1.71,1.71,1.71
08/04/20,153350.0,1.71,1.7,1.71,1.7
13/04/20,14120.0,1.75,1.87,1.87,1.75
14/04/20,20900.0,1.9,1.9,1.9,1.9
15/04/20,1980.0,1.98,1.98,1.98,1.98
16/04/20,39600.0,1.98,1.98,1.98,1.98
17/04/20,364910.0,1.99,1.99,2.01,1.99
20/04/20,9500.0,1.9,1.9,1.9,1.9
21/04/20,1940.0,1.94,1.94,1.94,1.94
22/04/20,39350.0,1.85,1.9,1.9,1.85
23/04/20,15200.0,1.9,1.9,1.9,1.9
24/04/20,5700.0,1.9,1.9,1.9,1.9
27/04/20,19000.0,1.9,1.9,1.9,1.9
28/04/20,1074190.0,1.79,1.85,1.85,1.72
29/04/20,64750.0,1.85,1.85,1.85,1.85
30/04/20,3800.0,1.9,1.9,1.9,1.9
04/05/20,66620.0,1.8,1.8,1.81,1.8
05/05/20,22900.0,1.8,1.75,1.8,1.75
06/05/20,34960.0,1.85,1.8,1.85,1.8
07/05/20,3780.0,1.89,1.89,1.89,1.89
08/05/20,7500.0,1.9,1.88,1.9,1.85
