Date,Value,Open,Close,High,Low
02/01/20,240749680.0,790.0,770.0,790.0,759.0
03/01/20,370806250.0,776.5,776.0,797.0,764.0
06/01/20,111207335.0,776.0,785.0,787.5,760.0
07/01/20,178039565.0,784.0,800.0,800.0,780.5
08/01/20,163087130.0,780.0,790.0,796.0,775.0
09/01/20,260311275.0,790.0,794.5,795.0,780.0
10/01/20,111573225.0,791.5,795.0,795.0,785.5
14/01/20,1247722455.0,794.5,794.5,795.0,775.0
15/01/20,274897550.0,790.0,790.0,792.0,777.5
16/01/20,139957215.0,790.0,794.5,794.5,778.0
17/01/20,154971615.0,794.0,803.0,803.0,781.0
20/01/20,216579265.0,796.0,750.0,796.0,750.0
21/01/20,467772495.0,752.0,715.0,755.5,695.5
22/01/20,262775170.0,715.0,717.0,728.5,713.0
23/01/20,230888855.0,720.0,730.0,739.0,720.0
24/01/20,146905800.0,730.0,740.0,745.0,730.0
27/01/20,116773990.0,748.0,738.0,748.0,738.0
28/01/20,165047380.0,738.0,727.5,739.5,721.0
29/01/20,208957955.0,728.0,717.0,728.5,710.0
30/01/20,136696740.0,719.0,721.0,735.0,717.5
31/01/20,270848900.0,721.5,726.5,742.0,708.0
03/02/20,220479850.0,727.0,716.0,742.5,711.0
04/02/20,285193815.0,734.0,740.5,745.0,733.0
05/02/20,218639530.0,747.0,744.0,748.0,733.5
06/02/20,361620955.0,748.5,760.0,761.0,745.5
07/02/20,152759795.0,760.0,750.0,765.0,750.0
10/02/20,144850980.0,762.0,761.0,762.0,751.5
11/02/20,192811425.0,761.0,755.5,761.0,747.5
12/02/20,224340225.0,755.5,753.0,755.5,749.5
13/02/20,315684880.0,750.0,755.0,755.0,748.0
14/02/20,189931425.0,752.0,745.0,754.5,745.0
17/02/20,471989875.0,750.0,750.0,755.0,746.5
18/02/20,158979665.0,750.0,752.0,755.0,750.0
19/02/20,152467230.0,750.5,754.0,756.5,750.0
20/02/20,191502100.0,767.0,753.0,767.0,753.0
21/02/20,147650530.0,753.0,750.0,760.0,748.0
24/02/20,140054405.0,740.0,720.0,740.0,720.0
26/02/20,312847395.0,712.0,690.0,712.0,679.0
27/02/20,307198895.0,693.0,697.0,705.0,693.0
28/02/20,408886375.0,690.0,662.5,690.0,662.0
02/03/20,647461655.0,662.5,649.5,678.0,642.0
03/03/20,464190955.0,670.0,652.0,678.0,652.0
04/03/20,212689020.0,657.0,665.5,671.5,651.5
05/03/20,150509875.0,676.0,677.0,684.5,670.5
06/03/20,199817160.0,677.0,645.5,678.5,645.5
09/03/20,491354310.0,630.0,604.0,635.0,590.0
10/03/20,328794420.0,598.5,610.0,620.0,590.0
11/03/20,367004215.0,620.0,640.5,648.0,619.0
12/03/20,505785435.0,622.0,600.0,625.0,581.0
13/03/20,551356260.0,550.0,570.0,594.0,519.0
16/03/20,279096045.0,555.0,510.0,559.0,510.0
19/03/20,567069926.0,475.0,394.0,475.0,360.0
20/03/20,370440570.0,430.0,410.0,460.0,402.0
23/03/20,219797538.0,400.0,415.0,420.0,390.0
24/03/20,297505094.0,431.0,439.6,444.8,421.2
25/03/20,343555236.0,470.0,460.0,497.8,460.0
26/03/20,467900326.0,467.0,482.0,485.8,461.0
27/03/20,728759337.0,505.0,493.0,510.0,480.0
30/03/20,399347774.0,484.8,469.0,484.8,459.8
31/03/20,1116191018.0,480.0,467.4,492.4,467.4
01/04/20,453336258.0,468.0,463.0,474.8,459.6
02/04/20,437339628.0,451.0,450.0,470.0,446.0
03/04/20,437600126.0,463.0,451.0,463.0,451.0
06/04/20,260135426.0,460.0,480.0,480.0,458.0
07/04/20,304393172.0,493.0,493.4,503.0,489.4
08/04/20,253310122.0,494.8,498.0,498.0,483.0
13/04/20,308595550.0,502.0,508.0,524.0,502.0
