Date,Value,Open,Close,High,Low
02/01/20,382323420.0,45.2,44.9,45.3,43.5
03/01/20,414862890.0,44.05,44.75,45.2,44.05
06/01/20,574019440.0,44.5,44.15,44.5,43.65
07/01/20,555954515.0,44.15,44.2,44.55,44.15
08/01/20,388187500.0,43.2,44.05,44.35,42.6
09/01/20,900078660.0,44.05,45.0,45.05,44.05
10/01/20,390873035.0,45.0,44.35,45.05,44.1
14/01/20,766005535.0,44.0,43.9,44.0,43.5
15/01/20,270442585.0,43.85,43.2,44.0,43.2
16/01/20,810094325.0,43.9,42.9,43.9,42.5
17/01/20,550032610.0,43.45,43.55,43.8,42.75
20/01/20,820883780.0,43.4,40.5,43.4,40.5
21/01/20,1748619515.0,41.0,39.5,41.1,38.5
22/01/20,1355986395.0,38.7,39.4,40.15,38.25
23/01/20,943785445.0,39.4,40.8,41.25,39.4
24/01/20,1255608370.0,41.35,41.4,41.7,41.0
27/01/20,1194475990.0,41.4,41.6,42.0,41.35
28/01/20,599061755.0,41.1,41.5,41.75,40.75
29/01/20,277274815.0,41.6,42.0,42.0,41.2
30/01/20,393243110.0,41.75,41.9,42.05,41.6
31/01/20,706636715.0,42.0,41.6,42.0,41.3
03/02/20,391370195.0,41.45,40.95,41.45,40.0
04/02/20,484825460.0,41.0,40.95,41.1,40.6
05/02/20,323787255.0,41.4,41.95,41.95,41.25
06/02/20,416599530.0,42.0,43.35,43.35,42.0
07/02/20,342509400.0,43.45,43.35,43.45,42.6
10/02/20,1275460090.0,43.35,43.7,44.05,43.15
11/02/20,492622505.0,44.0,43.65,44.0,43.5
12/02/20,521373050.0,44.0,43.6,44.15,43.6
13/02/20,201535225.0,43.6,42.9,44.0,42.3
14/02/20,360287305.0,42.95,41.1,43.05,41.1
17/02/20,428461705.0,41.65,41.0,41.9,41.0
18/02/20,564212570.0,41.0,41.1,41.3,40.55
19/02/20,790235970.0,41.45,42.2,43.5,41.3
20/02/20,644891750.0,42.25,42.45,42.6,42.25
21/02/20,635224265.0,42.6,42.25,42.75,42.15
24/02/20,442159690.0,41.4,41.4,41.55,40.7
26/02/20,1358977525.0,40.0,38.65,40.1,38.15
27/02/20,1901627710.0,38.5,40.4,40.4,38.5
28/02/20,1328369060.0,39.3,39.0,39.5,38.65
02/03/20,434633975.0,38.9,39.8,40.1,38.5
03/03/20,459023815.0,40.2,39.6,40.4,39.55
04/03/20,441361150.0,39.4,40.75,40.75,39.25
05/03/20,228590430.0,40.75,40.4,40.85,40.25
06/03/20,491372315.0,40.0,39.6,40.75,39.25
09/03/20,513670370.0,38.0,37.75,38.85,37.3
10/03/20,706596725.0,36.8,37.1,38.2,36.4
11/03/20,795729205.0,37.55,38.2,38.4,37.25
12/03/20,792106225.0,37.3,33.9,37.45,32.25
13/03/20,1047734280.0,31.1,33.0,33.8,30.0
16/03/20,734040005.0,31.5,28.8,32.9,28.8
19/03/20,883164105.0,24.0,22.95,25.2,19.44
20/03/20,709888590.0,23.6,26.3,26.5,23.6
