Date,Value,Open,Close,High,Low
02/01/20,48000.0,1.85,1.85,1.85,1.83
03/01/20,122290.0,1.85,1.86,1.86,1.83
06/01/20,73860.0,1.97,1.92,1.97,1.92
07/01/20,103120.0,1.86,1.9,1.9,1.85
08/01/20,189850.0,1.94,2.05,2.05,1.94
09/01/20,93840.0,2.0,2.1,2.1,2.0
10/01/20,76710.0,2.05,2.11,2.11,2.0
14/01/20,1199320.0,2.12,2.25,2.4,2.12
15/01/20,524410.0,2.34,2.43,2.43,2.24
16/01/20,12469860.0,2.3,3.15,3.48,2.3
17/01/20,1622650.0,3.12,2.8,3.14,2.75
20/01/20,805200.0,2.89,2.84,3.17,2.8
21/01/20,1605150.0,3.0,3.1,3.24,2.9
22/01/20,1491360.0,3.1,2.9,3.14,2.87
23/01/20,8721590.0,2.9,2.93,3.44,2.84
24/01/20,6135070.0,3.04,3.16,3.35,3.0
