Date,Value,Open,Close,High,Low
02/01/20,254829721.0,153.8,154.0,154.0,152.1
03/01/20,381438443.0,154.0,155.0,158.3,154.0
06/01/20,144476566.0,155.0,155.0,155.8,152.0
07/01/20,290192203.0,155.9,155.0,158.6,154.0
08/01/20,379870650.0,153.0,152.0,153.7,151.5
09/01/20,434855868.0,153.5,152.0,154.2,152.0
10/01/20,284486903.0,152.8,153.0,154.5,151.0
14/01/20,655706575.0,153.5,154.7,155.0,153.0
15/01/20,513125491.0,155.0,153.2,155.1,153.2
16/01/20,401252633.0,153.4,155.1,156.5,153.4
17/01/20,241323167.0,156.0,157.5,157.5,155.1
20/01/20,200364905.0,157.5,154.0,157.5,153.3
21/01/20,191229897.0,154.0,153.2,154.3,153.1
22/01/20,465820588.0,153.2,153.5,154.0,151.9
23/01/20,204593719.0,153.5,157.0,157.0,152.5
24/01/20,93101406.0,155.5,156.0,156.9,155.4
27/01/20,40114799.0,155.8,156.0,156.0,153.2
28/01/20,229740791.0,155.0,153.5,155.0,152.5
29/01/20,272360304.0,153.5,154.0,156.0,152.6
30/01/20,288543789.0,154.0,154.0,156.5,153.0
31/01/20,646414972.0,153.9,148.0,153.9,145.6
03/02/20,208843884.0,148.0,144.5,148.0,142.5
04/02/20,474213858.0,145.0,150.7,151.9,144.7
05/02/20,188471286.0,152.5,150.6,152.6,149.2
06/02/20,263236446.0,152.5,153.0,153.0,150.6
07/02/20,94991986.0,150.5,155.4,155.4,150.0
10/02/20,178471590.0,155.0,150.0,155.0,150.0
11/02/20,61340730.0,150.2,152.0,152.0,150.2
12/02/20,110690929.0,152.0,151.0,152.3,150.7
13/02/20,151359685.0,151.0,151.5,154.0,150.5
14/02/20,369840409.0,152.5,148.5,152.5,148.5
17/02/20,143766005.0,148.6,149.9,150.9,148.5
18/02/20,216671613.0,149.0,148.0,150.0,148.0
19/02/20,186493098.0,148.2,147.7,148.9,147.1
20/02/20,353848675.0,148.0,148.5,149.3,147.8
21/02/20,165624007.0,148.0,147.5,148.7,147.5
24/02/20,298734835.0,146.0,143.3,146.0,143.0
26/02/20,910684280.0,142.9,137.0,142.9,136.3
27/02/20,616652545.0,137.0,143.0,144.6,136.4
28/02/20,458466081.0,138.0,139.0,142.0,138.0
02/03/20,592639803.0,138.0,132.1,138.4,132.1
03/03/20,319861699.0,137.0,137.2,138.1,136.1
04/03/20,324994874.0,136.7,136.8,137.9,135.1
05/03/20,206405159.0,137.8,141.0,142.2,137.0
06/03/20,211571470.0,140.9,141.5,141.5,138.2
09/03/20,358373263.0,136.5,131.0,137.7,131.0
10/03/20,520782744.0,126.1,139.0,139.0,125.0
11/03/20,545057653.0,139.0,136.0,141.8,133.3
12/03/20,537339057.0,132.1,120.0,132.1,120.0
13/03/20,604011766.5,112.8,127.0,129.6,99.0
16/03/20,396970118.0,117.0,110.0,120.0,110.0
19/03/20,974410349.5,92.1,85.0,99.8,75.0
20/03/20,470636099.0,91.0,97.0,97.0,88.2
23/03/20,368471799.5,90.0,94.7,95.3,88.0
24/03/20,411011062.5,94.7,94.0,96.0,92.35
25/03/20,322367856.0,98.3,100.0,100.5,96.8
26/03/20,515572562.0,101.8,115.7,115.7,101.4
27/03/20,428807807.0,110.0,102.1,115.7,102.1
30/03/20,256171382.5,102.1,99.2,102.3,97.05
31/03/20,383650219.0,103.5,103.5,106.0,102.5
01/04/20,378147144.0,103.5,105.2,107.2,99.6
02/04/20,318512053.0,100.0,100.0,101.8,99.6
03/04/20,232086617.5,101.7,99.3,101.7,98.3
06/04/20,223829474.0,100.0,102.5,102.6,99.6
07/04/20,347976610.0,105.3,101.5,106.0,100.0
08/04/20,548979329.0,101.6,98.5,101.8,97.5
13/04/20,724364321.0,100.8,98.5,103.5,98.4
14/04/20,576585845.0,100.0,102.5,102.5,97.85
15/04/20,622094094.0,103.5,108.5,109.0,103.3
16/04/20,552345642.0,107.0,103.0,107.0,103.0
17/04/20,411909575.0,106.9,105.0,108.3,103.8
20/04/20,218149811.0,105.0,102.5,107.0,102.5
21/04/20,284565074.0,102.5,100.6,102.5,100.4
22/04/20,278088657.0,100.0,100.5,102.0,99.65
23/04/20,232922096.0,101.5,100.0,104.9,100.0
24/04/20,209750110.5,101.9,100.0,101.9,99.6
27/04/20,332861505.5,100.0,97.0,100.1,97.0
28/04/20,187141119.0,97.8,98.9,99.9,97.6
29/04/20,201859496.0,98.9,98.7,99.5,98.5
30/04/20,271723034.5,100.1,101.0,101.0,98.6
04/05/20,246138284.5,100.0,98.9,100.7,98.0
05/05/20,564577390.5,99.9,98.3,100.7,98.3
06/05/20,444930258.5,99.5,96.1,99.5,96.1
07/05/20,275902871.0,96.7,97.4,97.75,96.2
08/05/20,125853801.0,98.0,97.0,98.75,97.0
11/05/20,473651212.0,98.0,98.0,98.45,97.9
12/05/20,276269508.0,98.4,98.75,99.95,98.0
13/05/20,57012273.5,99.0,99.0,99.0,97.1
14/05/20,244530285.5,98.85,96.8,98.85,96.3
15/05/20,516026961.0,97.1,93.0,97.85,93.0
18/05/20,324189449.0,93.0,90.0,93.0,90.0
19/05/20,164613127.5,92.0,93.0,93.95,92.0
20/05/20,92944927.5,93.2,93.0,93.75,92.0
21/05/20,267893253.5,93.1,92.0,93.2,92.0
22/05/20,513962809.5,92.25,89.6,92.4,89.3
26/05/20,504689927.0,89.0,85.9,89.4,85.6
27/05/20,307998406.0,86.1,87.0,87.5,86.1
28/05/20,204828696.0,87.35,90.35,91.0,87.25
29/05/20,1702089067.5,92.0,100.4,100.4,92.0
