Date,Value,Open,Close,High,Low
02/01/20,68422713.5,86.1,88.0,88.0,85.95
03/01/20,163315684.5,88.0,89.0,89.9,87.0
06/01/20,145487808.0,88.95,88.5,88.95,86.85
07/01/20,75597266.0,87.55,86.55,88.45,86.55
08/01/20,178185706.5,86.5,85.4,86.5,84.15
09/01/20,130208103.5,85.4,85.0,86.7,85.0
10/01/20,118622089.5,85.0,86.5,87.0,85.0
14/01/20,269814427.5,85.0,86.8,86.8,84.05
15/01/20,271983643.5,86.45,83.7,86.45,83.65
16/01/20,170827411.0,83.85,85.2,85.5,83.85
17/01/20,165924595.0,84.5,87.5,87.5,84.5
20/01/20,74500975.5,87.05,87.5,87.5,84.55
21/01/20,103830306.0,86.65,83.8,86.65,83.8
22/01/20,445282751.5,83.8,81.75,83.8,81.05
23/01/20,109886272.5,82.0,81.95,82.9,81.9
24/01/20,248803391.0,82.15,82.25,82.55,82.15
27/01/20,82851702.5,82.3,82.7,83.0,82.3
28/01/20,61654078.5,82.7,83.0,83.25,81.85
29/01/20,137671092.0,83.0,83.0,83.3,82.05
30/01/20,211445958.0,83.0,84.5,84.5,82.75
31/01/20,290760613.0,84.5,82.5,84.5,82.1
03/02/20,71624262.5,82.5,81.75,82.7,81.3
04/02/20,111619321.5,81.75,82.3,83.9,81.5
05/02/20,206609188.5,83.3,85.0,85.65,83.3
06/02/20,133297028.5,85.0,85.5,85.95,84.55
07/02/20,101992714.5,85.9,86.0,86.1,84.85
10/02/20,100784697.0,86.1,86.0,86.1,84.7
11/02/20,113120935.5,86.0,85.8,86.0,85.0
12/02/20,128080432.5,85.55,86.2,86.65,85.5
13/02/20,342602040.0,86.5,87.0,87.95,86.3
14/02/20,153366110.5,87.0,86.0,87.1,85.55
17/02/20,283840653.5,86.0,84.6,86.0,83.9
18/02/20,110780968.5,84.2,83.5,85.0,83.5
19/02/20,102091110.0,84.0,85.2,85.85,84.0
20/02/20,516829212.0,85.5,85.0,86.1,85.0
21/02/20,388057323.5,86.0,84.0,86.0,83.5
24/02/20,177055802.5,82.05,81.6,82.45,81.6
26/02/20,332472655.5,81.5,81.0,81.65,80.0
27/02/20,233651300.5,80.0,80.0,81.0,80.0
28/02/20,304392027.0,79.95,74.1,79.95,74.1
02/03/20,284762537.5,75.5,75.5,76.25,74.1
03/03/20,190572563.5,76.5,77.95,78.5,76.5
04/03/20,140200244.0,78.0,77.75,78.3,76.45
05/03/20,132346235.5,78.45,77.0,78.95,75.75
06/03/20,136340558.5,77.0,74.5,77.0,74.1
09/03/20,177543506.5,72.0,67.0,72.0,67.0
10/03/20,214028002.5,66.0,71.5,74.0,64.0
11/03/20,194733026.5,72.1,72.8,73.45,71.5
12/03/20,196707344.5,71.0,65.5,71.1,65.1
13/03/20,218573856.5,61.6,68.0,68.0,59.0
16/03/20,118737965.5,65.0,62.3,66.0,60.15
19/03/20,226637079.0,58.0,55.5,58.25,48.0
20/03/20,214445825.0,56.5,55.0,59.0,52.0
23/03/20,215175638.0,50.0,51.4,54.2,49.7
24/03/20,198377027.5,52.1,52.0,54.0,51.55
25/03/20,252717414.5,55.8,55.4,56.9,54.6
26/03/20,210488793.5,56.5,60.5,61.9,56.5
27/03/20,497157303.5,62.9,63.95,64.95,60.9
30/03/20,214139792.0,63.9,60.1,63.9,59.15
31/03/20,230418157.0,62.8,61.8,63.9,60.7
01/04/20,190170708.5,61.5,62.05,62.45,61.0
02/04/20,189618895.5,60.5,60.55,62.0,60.0
03/04/20,97749159.0,61.0,60.6,61.1,60.1
06/04/20,236301832.0,61.4,62.0,62.15,60.5
07/04/20,197443250.5,62.95,61.0,63.4,59.7
08/04/20,380909892.5,61.85,57.05,61.85,57.0
13/04/20,113935893.0,58.1,58.0,58.85,57.7
14/04/20,173361807.5,58.7,61.0,61.0,58.45
15/04/20,232212762.5,62.85,63.1,64.15,62.5
16/04/20,250130948.0,63.0,57.5,63.0,57.5
17/04/20,207434114.5,59.4,60.9,61.85,59.4
20/04/20,96301102.5,61.6,60.75,61.8,60.05
21/04/20,123494007.5,60.75,60.0,61.45,59.8
22/04/20,193446203.0,59.8,60.0,60.15,59.2
23/04/20,99929926.0,60.4,60.0,60.85,59.85
24/04/20,75838087.0,60.0,59.5,61.5,59.2
27/04/20,211055131.5,59.5,58.95,59.6,58.35
28/04/20,288275972.0,58.95,58.4,59.15,58.0
29/04/20,108054930.5,58.4,58.5,59.05,58.3
30/04/20,155180668.5,59.0,58.5,59.15,58.5
04/05/20,198354607.5,58.5,58.0,58.5,57.8
05/05/20,126484277.5,58.7,58.7,58.95,58.2
06/05/20,256125917.0,59.0,58.85,59.5,58.5
07/05/20,64284971.0,58.95,58.8,59.0,58.75
08/05/20,357256374.0,59.65,57.0,59.65,56.75
11/05/20,31309902.5,58.0,58.6,58.75,57.75
12/05/20,210634121.0,58.8,61.0,61.0,58.75
13/05/20,76245871.5,61.0,60.8,61.0,60.45
14/05/20,99418978.5,60.7,61.0,61.0,58.55
15/05/20,357703394.5,61.0,60.85,61.0,60.5
18/05/20,79730170.0,60.95,61.0,61.0,59.45
19/05/20,95924407.0,61.15,62.0,62.0,61.05
20/05/20,204872598.0,62.0,63.95,63.95,61.25
21/05/20,138077274.5,64.0,62.7,64.05,62.5
22/05/20,84531586.5,63.0,62.3,63.0,61.3
26/05/20,161817672.0,61.9,63.0,63.0,60.0
27/05/20,93639587.5,62.45,63.0,63.0,60.6
28/05/20,97010967.5,63.05,63.95,63.95,62.55
29/05/20,649420715.0,63.95,66.3,66.3,63.05
01/06/20,105782705.5,66.3,67.4,68.45,65.55
02/06/20,134832991.5,67.5,67.75,68.9,67.2
03/06/20,192674808.5,68.85,72.0,72.0,67.95
04/06/20,691777761.0,69.8,77.0,78.0,69.8
05/06/20,591614892.0,76.9,78.0,78.8,75.05
08/06/20,402287229.0,78.0,77.0,78.0,75.05
09/06/20,118261233.5,77.0,77.3,77.4,76.5
10/06/20,160795503.5,76.95,75.7,76.95,74.2
11/06/20,165893282.0,75.0,73.5,75.0,73.0
15/06/20,213594821.0,72.0,68.1,72.45,68.1
16/06/20,166792604.0,69.5,71.0,72.45,69.5
17/06/20,132173835.5,72.6,73.0,73.1,72.4
18/06/20,43568766.0,73.0,73.95,73.95,70.95
19/06/20,381656576.5,73.85,72.6,73.85,72.0
22/06/20,152231714.5,72.3,73.0,73.0,70.5
23/06/20,84436759.5,72.3,72.5,72.95,70.8
24/06/20,107035516.0,72.5,72.0,72.6,71.15
25/06/20,76167665.0,71.75,70.55,71.8,70.2
26/06/20,120501597.0,71.9,70.85,71.9,70.5
29/06/20,159781382.0,70.0,69.5,70.1,69.2
30/06/20,408076116.5,69.95,72.0,72.0,69.2
01/07/20,87735846.5,71.9,71.5,71.9,69.6
02/07/20,240672287.0,71.5,75.0,75.0,70.6
03/07/20,126066471.5,74.9,73.4,74.95,72.35
06/07/20,188861569.5,73.4,72.0,73.4,71.55
07/07/20,237516285.5,72.0,72.0,72.45,71.0
08/07/20,209228107.0,72.0,74.5,74.5,71.65
09/07/20,51868824.5,74.4,72.2,74.4,72.05
10/07/20,114076981.0,72.5,73.2,73.95,71.5
13/07/20,48059786.5,72.1,74.5,74.5,72.0
14/07/20,118376307.0,73.5,71.3,73.5,71.0
15/07/20,226724853.5,71.25,70.0,71.45,69.2
16/07/20,102948394.0,70.0,70.85,71.5,69.5
17/07/20,64575601.0,71.0,70.35,71.05,69.8
20/07/20,59960638.5,70.45,71.0,71.05,70.2
21/07/20,556545194.0,71.1,70.7,72.0,70.5
22/07/20,161122778.5,70.7,69.7,70.7,69.6
23/07/20,118947052.0,69.7,69.45,70.45,69.2
24/07/20,64829092.0,69.5,69.5,70.6,69.25
27/07/20,171407632.5,69.45,65.0,69.5,65.0
28/07/20,147753852.5,65.55,68.2,68.2,64.55
29/07/20,35609844.0,68.1,69.0,69.0,67.8
30/07/20,246440494.5,68.5,68.2,68.6,68.0
03/08/20,217998789.0,67.0,64.7,67.0,64.1
04/08/20,169184122.0,64.75,64.5,65.25,64.3
05/08/20,195161429.0,65.5,65.5,66.5,64.95
06/08/20,363762819.5,65.6,65.5,66.5,64.05
07/08/20,214690766.0,65.4,62.55,65.7,62.0
10/08/20,212184352.0,62.7,62.05,63.15,62.0
11/08/20,297731885.0,62.15,61.0,63.45,61.0
12/08/20,172739866.5,61.2,62.5,62.5,61.2
13/08/20,190773513.5,62.8,64.85,65.25,62.8
14/08/20,175297602.5,65.0,65.5,65.5,64.25
17/08/20,54570910.5,65.5,65.15,65.5,64.2
18/08/20,167592769.5,65.2,65.7,65.95,65.2
19/08/20,167376286.5,65.8,62.5,65.8,62.5
20/08/20,112938874.0,63.5,63.5,63.85,62.55
24/08/20,93959087.5,63.5,64.0,64.0,62.3
25/08/20,143623061.5,63.95,63.0,63.95,62.45
26/08/20,57221045.0,63.0,63.0,63.6,62.6
27/08/20,180604533.5,63.0,65.7,65.7,63.0
28/08/20,157437839.0,65.4,67.0,67.0,65.4
01/09/20,178400849.5,66.95,67.3,67.3,65.55
02/09/20,55428050.0,67.3,65.95,67.3,65.5
03/09/20,134325828.0,66.0,67.6,67.6,65.25
04/09/20,128947997.0,67.35,65.0,67.35,65.0
07/09/20,68660250.0,65.05,65.8,65.9,65.05
08/09/20,68804654.0,65.8,66.4,66.55,65.55
09/09/20,105051260.0,66.0,65.25,66.0,65.05
10/09/20,303134533.0,65.15,65.0,65.7,65.0
11/09/20,104192773.0,65.0,64.9,65.3,64.9
14/09/20,82833021.0,65.5,64.6,65.5,64.55
15/09/20,41669780.0,64.5,64.25,65.75,64.25
16/09/20,92437395.5,64.35,64.2,65.0,64.1
17/09/20,53396366.5,64.25,65.55,65.55,63.8
18/09/20,169507060.5,65.45,65.5,65.55,64.2
21/09/20,113183650.0,65.5,64.2,65.6,64.1
22/09/20,55449520.0,64.2,64.4,64.45,64.0
23/09/20,111303739.0,64.4,64.05,64.4,64.0
