Date,Value,Open,Close,High,Low
02/01/20,16850.0,0.232,0.243,0.243,0.232
03/01/20,139680.0,0.238,0.232,0.238,0.232
06/01/20,80490.0,0.232,0.237,0.238,0.232
07/01/20,903410.0,0.237,0.244,0.244,0.235
08/01/20,1888660.0,0.239,0.245,0.245,0.235
09/01/20,121650.0,0.241,0.245,0.245,0.241
10/01/20,41280.0,0.245,0.245,0.245,0.241
14/01/20,384080.0,0.241,0.236,0.241,0.231
15/01/20,114960.0,0.234,0.236,0.236,0.233
16/01/20,67940.0,0.236,0.235,0.236,0.234
17/01/20,242890.0,0.235,0.235,0.236,0.232
20/01/20,672710.0,0.235,0.235,0.236,0.226
21/01/20,244700.0,0.23,0.229,0.233,0.227
22/01/20,468340.0,0.227,0.23,0.232,0.225
23/01/20,16060.0,0.226,0.232,0.232,0.226
24/01/20,122870.0,0.231,0.232,0.232,0.227
27/01/20,210040.0,0.229,0.232,0.233,0.229
28/01/20,1076740.0,0.233,0.243,0.244,0.232
29/01/20,3493990.0,0.244,0.24,0.255,0.234
30/01/20,821690.0,0.235,0.235,0.244,0.233
31/01/20,1418090.0,0.235,0.22,0.235,0.22
03/02/20,161320.0,0.205,0.229,0.229,0.204
04/02/20,36100.0,0.21,0.227,0.228,0.21
05/02/20,27730.0,0.21,0.223,0.227,0.21
06/02/20,160790.0,0.21,0.22,0.222,0.21
07/02/20,62930.0,0.22,0.22,0.227,0.22
10/02/20,44930.0,0.213,0.223,0.225,0.212
11/02/20,4460.0,0.223,0.223,0.223,0.223
12/02/20,270020.0,0.222,0.226,0.226,0.218
13/02/20,15500.0,0.225,0.225,0.225,0.22
14/02/20,184370.0,0.22,0.225,0.225,0.216
17/02/20,2250.0,0.225,0.225,0.225,0.225
18/02/20,33460.0,0.224,0.224,0.224,0.217
20/02/20,30810.0,0.22,0.224,0.224,0.218
21/02/20,13400.0,0.223,0.224,0.224,0.223
24/02/20,72480.0,0.225,0.227,0.227,0.225
26/02/20,213890.0,0.223,0.216,0.223,0.214
27/02/20,84770.0,0.212,0.214,0.216,0.209
02/03/20,31010.0,0.208,0.213,0.213,0.206
03/03/20,556880.0,0.207,0.209,0.213,0.201
04/03/20,515480.0,0.202,0.208,0.209,0.2
05/03/20,36670.0,0.2,0.208,0.208,0.2
06/03/20,123210.0,0.209,0.209,0.209,0.201
09/03/20,173680.0,0.201,0.2,0.207,0.19
10/03/20,269000.0,0.2,0.2,0.2,0.19
11/03/20,152550.0,0.2,0.199,0.21,0.19
12/03/20,321900.0,0.122,0.185,0.19,0.122
13/03/20,2492540.0,0.17,0.169,0.17,0.152
16/03/20,24980.0,0.169,0.16,0.169,0.152
19/03/20,35370.0,0.168,0.168,0.177,0.168
20/03/20,52250.0,0.165,0.16,0.165,0.16
23/03/20,450280.0,0.16,0.171,0.171,0.15
24/03/20,190640.0,0.165,0.169,0.169,0.138
25/03/20,359750.0,0.169,0.172,0.174,0.169
26/03/20,179810.0,0.156,0.17,0.17,0.156
27/03/20,19600.0,0.157,0.169,0.17,0.156
30/03/20,98600.0,0.166,0.164,0.166,0.156
31/03/20,176450.0,0.164,0.162,0.164,0.155
02/04/20,19830.0,0.163,0.166,0.166,0.163
03/04/20,37560.0,0.14,0.164,0.165,0.14
06/04/20,323290.0,0.16,0.169,0.169,0.16
07/04/20,117260.0,0.165,0.179,0.179,0.165
08/04/20,37680.0,0.179,0.172,0.179,0.169
13/04/20,10010.0,0.166,0.171,0.171,0.166
14/04/20,201970.0,0.166,0.188,0.189,0.166
15/04/20,1790.0,0.179,0.179,0.179,0.179
16/04/20,1810.0,0.181,0.181,0.181,0.181
17/04/20,12720.0,0.181,0.185,0.185,0.181
20/04/20,248620.0,0.185,0.185,0.188,0.172
23/04/20,9080.0,0.185,0.18,0.185,0.18
24/04/20,8700.0,0.17,0.18,0.18,0.17
27/04/20,18000.0,0.18,0.18,0.18,0.18
28/04/20,3580.0,0.179,0.179,0.179,0.179
29/04/20,33510.0,0.169,0.179,0.179,0.169
30/04/20,8720.0,0.18,0.179,0.18,0.171
05/05/20,15300.0,0.171,0.17,0.171,0.169
06/05/20,159550.0,0.166,0.175,0.179,0.16
07/05/20,124070.0,0.161,0.171,0.171,0.161
08/05/20,75170.0,0.17,0.169,0.17,0.161
11/05/20,24330.0,0.161,0.167,0.167,0.161
12/05/20,1690.0,0.169,0.169,0.169,0.169
13/05/20,5070.0,0.169,0.169,0.169,0.169
14/05/20,128930.0,0.161,0.167,0.168,0.161
18/05/20,48590.0,0.166,0.165,0.166,0.16
19/05/20,9910.0,0.165,0.165,0.166,0.165
20/05/20,1660.0,0.166,0.166,0.166,0.166
22/05/20,9680.0,0.161,0.163,0.163,0.161
26/05/20,8100.0,0.162,0.162,0.162,0.162
27/05/20,67230.0,0.161,0.162,0.162,0.16
29/05/20,3270.0,0.161,0.166,0.166,0.161
01/06/20,83010.0,0.16,0.165,0.165,0.158
02/06/20,20990.0,0.161,0.164,0.164,0.161
03/06/20,117680.0,0.161,0.164,0.166,0.16
04/06/20,197760.0,0.164,0.166,0.167,0.159
05/06/20,183150.0,0.166,0.16,0.167,0.16
08/06/20,442270.0,0.16,0.164,0.167,0.16
09/06/20,433410.0,0.166,0.168,0.168,0.159
10/06/20,299310.0,0.168,0.169,0.174,0.165
11/06/20,140530.0,0.169,0.165,0.17,0.165
15/06/20,220590.0,0.162,0.166,0.169,0.16
16/06/20,220220.0,0.16,0.164,0.165,0.158
17/06/20,589690.0,0.16,0.164,0.165,0.159
18/06/20,532980.0,0.16,0.158,0.16,0.142
19/06/20,21760.0,0.159,0.159,0.159,0.152
22/06/20,265540.0,0.158,0.162,0.162,0.158
23/06/20,22380.0,0.162,0.162,0.162,0.159
25/06/20,77900.0,0.158,0.16,0.16,0.151
26/06/20,24340.0,0.152,0.16,0.16,0.151
29/06/20,34810.0,0.151,0.159,0.159,0.151
30/06/20,1590.0,0.159,0.159,0.159,0.159
01/07/20,35160.0,0.151,0.155,0.156,0.151
02/07/20,15500.0,0.155,0.155,0.155,0.155
03/07/20,13760.0,0.155,0.156,0.156,0.151
06/07/20,9400.0,0.155,0.159,0.159,0.155
08/07/20,68490.0,0.159,0.157,0.159,0.151
09/07/20,9430.0,0.158,0.157,0.158,0.157
10/07/20,1580.0,0.158,0.158,0.158,0.158
13/07/20,51760.0,0.152,0.158,0.158,0.151
14/07/20,149080.0,0.159,0.162,0.162,0.158
15/07/20,1204670.0,0.165,0.159,0.188,0.151
16/07/20,85790.0,0.164,0.163,0.164,0.153
17/07/20,232630.0,0.165,0.159,0.165,0.151
20/07/20,1630.0,0.163,0.163,0.163,0.163
21/07/20,22210.0,0.163,0.158,0.167,0.157
22/07/20,334550.0,0.158,0.157,0.166,0.157
23/07/20,6400.0,0.16,0.16,0.16,0.16
24/07/20,71510.0,0.152,0.158,0.16,0.152
27/07/20,103220.0,0.16,0.16,0.168,0.154
28/07/20,2087630.0,0.163,0.16,0.163,0.151
29/07/20,1640.0,0.164,0.164,0.164,0.164
30/07/20,24030.0,0.16,0.163,0.163,0.16
03/08/20,67420.0,0.163,0.165,0.165,0.162
04/08/20,1640.0,0.164,0.164,0.164,0.164
05/08/20,391820.0,0.163,0.173,0.173,0.163
06/08/20,452160.0,0.172,0.168,0.172,0.153
07/08/20,82850.0,0.169,0.17,0.17,0.157
10/08/20,20657630.0,0.17,0.169,0.171,0.161
11/08/20,146240.0,0.17,0.172,0.172,0.17
12/08/20,628010.0,0.172,0.16,0.172,0.16
13/08/20,311340.0,0.165,0.16,0.165,0.159
14/08/20,316040.0,0.164,0.16,0.165,0.157
17/08/20,66980.0,0.16,0.16,0.16,0.157
18/08/20,332990.0,0.16,0.162,0.165,0.16
19/08/20,307880.0,0.162,0.162,0.163,0.16
20/08/20,187290.0,0.16,0.16,0.163,0.16
24/08/20,55060.0,0.16,0.16,0.16,0.156
25/08/20,54650.0,0.157,0.16,0.16,0.155
26/08/20,613590.0,0.155,0.165,0.165,0.151
27/08/20,281270.0,0.163,0.166,0.166,0.162
28/08/20,2111950.0,0.166,0.178,0.179,0.165
01/09/20,1412630.0,0.178,0.182,0.182,0.172
02/09/20,78560.0,0.183,0.181,0.183,0.175
03/09/20,1177340.0,0.178,0.186,0.188,0.178
04/09/20,161230.0,0.187,0.182,0.187,0.179
07/09/20,1957990.0,0.177,0.18,0.183,0.177
08/09/20,464400.0,0.182,0.182,0.182,0.178
09/09/20,8990.0,0.181,0.181,0.182,0.177
10/09/20,23220.0,0.182,0.18,0.182,0.178
11/09/20,52240.0,0.18,0.18,0.182,0.177
14/09/20,43350.0,0.18,0.178,0.18,0.17
15/09/20,401490.0,0.179,0.173,0.18,0.168
16/09/20,275220.0,0.171,0.172,0.173,0.169
17/09/20,47210.0,0.172,0.172,0.172,0.168
18/09/20,682550.0,0.168,0.164,0.172,0.16
21/09/20,673510.0,0.162,0.157,0.169,0.157
22/09/20,189350.0,0.161,0.162,0.165,0.156
23/09/20,58270.0,0.162,0.162,0.163,0.16
24/09/20,420080.0,0.162,0.159,0.162,0.154
25/09/20,14410.0,0.161,0.16,0.161,0.16
28/09/20,223110.0,0.161,0.165,0.165,0.16
29/09/20,103230.0,0.164,0.163,0.164,0.16
30/09/20,714590.0,0.163,0.16,0.164,0.157
01/10/20,154620.0,0.161,0.161,0.163,0.158
02/10/20,98120.0,0.161,0.158,0.161,0.158
05/10/20,63880.0,0.158,0.16,0.162,0.157
06/10/20,268060.0,0.16,0.16,0.16,0.151
07/10/20,8010.0,0.161,0.16,0.161,0.16
08/10/20,1620.0,0.162,0.162,0.162,0.162
09/10/20,50000.0,0.162,0.163,0.163,0.16
12/10/20,53520.0,0.162,0.163,0.163,0.162
13/10/20,21090.0,0.163,0.162,0.164,0.162
14/10/20,30480.0,0.163,0.162,0.163,0.159
15/10/20,42040.0,0.162,0.162,0.162,0.16
16/10/20,1668830.0,0.169,0.173,0.178,0.169
19/10/20,1810490.0,0.174,0.179,0.187,0.173
20/10/20,6184160.0,0.187,0.196,0.23,0.18
21/10/20,480990.0,0.2,0.198,0.203,0.196
22/10/20,509510.0,0.197,0.195,0.199,0.189
23/10/20,1990150.0,0.194,0.21,0.215,0.194
26/10/20,3206570.0,0.23,0.218,0.23,0.216
27/10/20,933840.0,0.226,0.22,0.226,0.214
28/10/20,4133260.0,0.232,0.239,0.248,0.223
29/10/20,1272650.0,0.238,0.23,0.238,0.225
30/10/20,642120.0,0.229,0.229,0.23,0.22
03/11/20,556960.0,0.23,0.228,0.236,0.228
04/11/20,2293750.0,0.228,0.218,0.228,0.215
05/11/20,1564650.0,0.218,0.23,0.232,0.213
06/11/20,1769210.0,0.227,0.22,0.24,0.218
09/11/20,889750.0,0.225,0.222,0.229,0.216
10/11/20,545420.0,0.214,0.216,0.226,0.214
11/11/20,620390.0,0.216,0.22,0.22,0.215
13/11/20,261050.0,0.22,0.22,0.22,0.216
16/11/20,574370.0,0.216,0.216,0.22,0.214
