Date,Value,Open,Close,High,Low
02/01/20,59510.0,1.98,1.98,1.99,1.98
03/01/20,437800.0,1.99,1.99,1.99,1.99
06/01/20,150960.0,1.98,1.99,1.99,1.97
07/01/20,684620.0,2.0,2.0,2.02,1.99
08/01/20,177180.0,2.0,1.99,2.0,1.99
09/01/20,431810.0,1.98,1.99,1.99,1.98
10/01/20,213530.0,2.0,1.99,2.0,1.99
14/01/20,4576060.0,1.97,1.9,1.97,1.84
15/01/20,731100.0,1.9,1.88,1.9,1.88
16/01/20,432280.0,1.9,1.88,1.9,1.87
17/01/20,945240.0,1.86,1.86,1.9,1.86
20/01/20,1540760.0,1.86,1.79,1.86,1.75
21/01/20,2806550.0,1.79,1.73,1.79,1.7
22/01/20,4279530.0,1.71,1.64,1.71,1.6
23/01/20,907190.0,1.65,1.64,1.68,1.61
24/01/20,3993290.0,1.64,1.7,1.73,1.61
27/01/20,3868060.0,1.72,1.69,1.75,1.68
28/01/20,1357200.0,1.7,1.67,1.7,1.66
29/01/20,1209150.0,1.67,1.63,1.67,1.62
30/01/20,583580.0,1.7,1.63,1.7,1.63
31/01/20,3115100.0,1.65,1.57,1.65,1.5
03/02/20,628480.0,1.52,1.54,1.55,1.52
04/02/20,667460.0,1.53,1.53,1.55,1.52
05/02/20,1217890.0,1.52,1.58,1.6,1.52
06/02/20,1625210.0,1.57,1.59,1.61,1.57
07/02/20,1315350.0,1.57,1.53,1.57,1.51
10/02/20,334760.0,1.53,1.52,1.53,1.51
11/02/20,484610.0,1.52,1.52,1.59,1.51
12/02/20,570260.0,1.55,1.57,1.6,1.55
13/02/20,4289090.0,1.58,1.61,1.7,1.58
14/02/20,1983200.0,1.63,1.62,1.63,1.59
17/02/20,1077410.0,1.61,1.61,1.64,1.6
18/02/20,580800.0,1.62,1.62,1.65,1.61
19/02/20,3928560.0,1.62,1.6,1.63,1.57
20/02/20,587430.0,1.6,1.6,1.61,1.58
21/02/20,822000.0,1.6,1.58,1.6,1.57
24/02/20,4434470.0,1.58,1.51,1.58,1.5
26/02/20,1694360.0,1.5,1.5,1.51,1.48
27/02/20,5475010.0,1.49,1.52,1.61,1.49
28/02/20,6296880.0,1.52,1.54,1.54,1.48
02/03/20,3640870.0,1.54,1.56,1.57,1.5
03/03/20,1342440.0,1.57,1.59,1.6,1.57
04/03/20,1180770.0,1.58,1.59,1.6,1.58
05/03/20,1711360.0,1.6,1.6,1.61,1.59
06/03/20,485320.0,1.62,1.6,1.62,1.6
09/03/20,5244730.0,1.6,1.58,1.6,1.53
