Date,Value,Open,Close,High,Low
02/01/20,4520.0,1.13,1.13,1.13,1.13
03/01/20,11300.0,1.13,1.13,1.13,1.13
06/01/20,147630.0,0.97,1.18,1.3,0.97
10/01/20,11600.0,1.16,1.16,1.16,1.16
23/01/20,1150.0,1.15,1.15,1.15,1.15
27/01/20,2300.0,1.15,1.15,1.15,1.15
30/01/20,33350.0,1.15,1.15,1.15,1.15
31/01/20,5500.0,1.1,1.1,1.1,1.1
04/02/20,19800.0,1.1,1.1,1.1,1.1
07/02/20,1050.0,1.05,1.05,1.05,1.05
12/02/20,7350.0,1.05,1.05,1.05,1.05
13/02/20,3150.0,1.05,1.05,1.05,1.05
21/02/20,1150.0,1.15,1.15,1.15,1.15
26/02/20,1120.0,1.12,1.12,1.12,1.12
02/03/20,33350.0,1.15,1.15,1.15,1.15
05/03/20,115000.0,1.15,1.15,1.15,1.15
09/03/20,58500.0,1.17,1.17,1.17,1.17
10/03/20,195900.0,1.14,1.17,1.17,1.14
13/03/20,4800.0,0.96,0.96,0.96,0.96
26/03/20,7350.0,1.05,1.05,1.05,1.05
06/04/20,14040.0,0.78,0.78,0.78,0.78
13/04/20,3900.0,0.78,0.78,0.78,0.78
14/04/20,68440.0,1.1,1.14,1.17,1.0
15/04/20,75260.0,1.16,1.14,1.16,1.14
16/04/20,1160.0,1.16,1.16,1.16,1.16
17/04/20,1150.0,1.15,1.15,1.15,1.15
20/04/20,52610.0,0.95,1.1,1.12,0.95
22/04/20,950.0,0.95,0.95,0.95,0.95
24/04/20,10300.0,1.03,1.03,1.03,1.03
27/04/20,1100.0,1.1,1.1,1.1,1.1
29/04/20,3140.0,1.02,1.1,1.1,1.02
30/04/20,40800.0,1.02,1.02,1.02,1.02
04/05/20,4900.0,0.98,0.98,0.98,0.98
11/05/20,12530.0,0.98,0.98,0.98,0.91
14/05/20,7000.0,0.7,0.7,0.7,0.7
15/05/20,21430.0,0.96,1.05,1.05,0.96
18/05/20,5250.0,1.05,1.05,1.05,1.05
19/05/20,9040.0,1.14,1.12,1.14,1.12
20/05/20,1120.0,1.12,1.12,1.12,1.12
21/05/20,2260.0,1.14,1.12,1.14,1.12
22/05/20,1120.0,1.12,1.12,1.12,1.12
28/05/20,8960.0,1.12,1.12,1.12,1.12
29/05/20,105950.0,1.09,1.24,1.24,0.92
01/06/20,61500.0,1.23,1.23,1.23,1.23
03/06/20,666200.0,1.22,1.41,1.46,1.19
04/06/20,172360.0,1.4,1.44,1.44,1.22
05/06/20,208710.0,1.42,1.45,1.46,1.42
08/06/20,10500.0,1.26,1.4,1.4,1.26
09/06/20,42650.0,1.37,1.4,1.44,1.37
11/06/20,810610.0,1.27,1.18,1.4,1.1
15/06/20,29330.0,1.18,1.05,1.19,1.05
16/06/20,276280.0,1.16,1.16,1.21,1.16
17/06/20,96380.0,1.2,1.2,1.21,1.2
19/06/20,25520.0,1.16,1.16,1.16,1.16
22/06/20,24400.0,1.16,1.16,1.2,1.16
24/06/20,27190.0,1.16,1.01,1.17,1.01
25/06/20,1030.0,1.03,1.03,1.03,1.03
26/06/20,3090.0,1.03,1.03,1.03,1.03
29/06/20,11250.0,1.03,1.12,1.12,1.01
30/06/20,20060.0,1.18,1.18,1.18,1.18
01/07/20,76290.0,1.12,1.18,1.18,1.09
02/07/20,1190.0,1.19,1.19,1.19,1.19
03/07/20,1632230.0,1.19,1.4,1.57,1.19
06/07/20,299390.0,1.4,1.34,1.4,1.31
07/07/20,532370.0,1.35,1.45,1.58,1.35
08/07/20,5292320.0,1.57,1.88,2.05,1.57
09/07/20,5704250.0,1.88,2.05,2.26,1.88
10/07/20,2030980.0,2.06,1.84,2.1,1.75
13/07/20,901830.0,1.75,1.6,1.79,1.52
14/07/20,506560.0,1.72,1.63,1.72,1.54
15/07/20,397120.0,1.62,1.52,1.62,1.5
16/07/20,85190.0,1.52,1.56,1.57,1.5
17/07/20,256090.0,1.53,1.54,1.56,1.48
20/07/20,165970.0,1.47,1.55,1.59,1.46
21/07/20,802960.0,1.58,1.72,1.88,1.56
22/07/20,1701220.0,1.87,1.88,1.98,1.75
23/07/20,379130.0,1.9,1.89,1.98,1.81
24/07/20,1208020.0,1.93,1.97,2.05,1.89
27/07/20,1022040.0,2.05,1.97,2.05,1.84
28/07/20,539400.0,2.0,1.98,2.0,1.91
29/07/20,236290.0,2.04,1.97,2.04,1.8
30/07/20,213310.0,1.95,1.99,2.0,1.85
03/08/20,68610.0,2.0,1.97,2.0,1.82
04/08/20,49300.0,1.97,1.99,2.0,1.97
05/08/20,3121660.0,2.0,2.21,2.32,1.99
06/08/20,1189590.0,2.21,2.1,2.35,2.05
07/08/20,332120.0,2.1,2.2,2.24,2.05
10/08/20,635850.0,2.14,2.3,2.35,2.12
11/08/20,183080.0,2.3,2.27,2.33,2.16
12/08/20,573890.0,2.06,2.09,2.1,1.99
13/08/20,68890.0,2.0,2.1,2.16,1.95
14/08/20,44100.0,2.13,2.1,2.13,1.95
17/08/20,253210.0,2.1,1.95,2.1,1.95
18/08/20,395490.0,2.08,2.17,2.25,2.03
19/08/20,340010.0,2.19,2.2,2.26,2.08
20/08/20,634330.0,2.2,2.26,2.3,2.12
24/08/20,941820.0,2.26,2.34,2.35,2.16
25/08/20,1591070.0,2.34,2.49,2.49,2.32
26/08/20,3222520.0,2.49,2.78,2.87,2.49
27/08/20,1993210.0,2.84,2.9,2.95,2.7
28/08/20,1283850.0,2.9,2.7,2.9,2.65
01/09/20,854320.0,2.7,2.83,2.85,2.7
02/09/20,1404690.0,2.9,2.88,3.02,2.8
03/09/20,632850.0,2.87,2.89,2.9,2.5
04/09/20,167620.0,2.6,2.79,2.89,2.6
07/09/20,1584420.0,2.89,3.06,3.09,2.83
08/09/20,1166670.0,3.06,3.1,3.1,3.0
