Date,Value,Open,Close,High,Low
02/01/20,7212514.0,5.0,4.35,5.0,4.01
03/01/20,8714910.0,4.12,3.6,4.2,3.6
06/01/20,7855660.0,3.6,3.68,3.8,3.35
07/01/20,8628500.0,3.76,3.32,3.83,3.3
08/01/20,4435220.0,3.3,3.41,3.49,3.21
09/01/20,4674310.0,3.5,3.26,3.52,3.25
10/01/20,1926410.0,3.26,3.26,3.37,3.26
14/01/20,5595130.0,3.3,3.57,3.59,3.26
15/01/20,11005540.0,3.65,3.56,3.9,3.56
16/01/20,6659970.0,3.54,3.3,3.54,3.27
17/01/20,3542120.0,3.3,3.32,3.48,3.3
20/01/20,9387220.0,3.32,2.97,3.32,2.92
21/01/20,4611300.0,2.97,2.94,3.16,2.9
22/01/20,1515950.0,2.94,2.9,3.06,2.9
23/01/20,1193210.0,2.91,3.03,3.09,2.91
24/01/20,7298190.0,3.05,3.2,3.34,3.05
27/01/20,3666460.0,3.27,3.04,3.29,2.99
28/01/20,2519930.0,3.0,2.88,3.0,2.85
29/01/20,834080.0,2.86,2.89,3.0,2.86
30/01/20,2171730.0,2.98,2.75,2.98,2.74
31/01/20,1477850.0,2.76,2.55,2.76,2.55
03/02/20,579940.0,2.56,2.61,2.7,2.55
04/02/20,1699160.0,2.62,2.73,2.83,2.62
05/02/20,432200.0,2.65,2.69,2.7,2.6
06/02/20,500430.0,2.63,2.63,2.65,2.61
07/02/20,579020.0,2.63,2.65,2.7,2.61
10/02/20,547400.0,2.7,2.67,2.7,2.61
11/02/20,836420.0,2.63,2.69,2.75,2.63
12/02/20,21507770.0,2.7,3.32,3.47,2.7
13/02/20,9729990.0,3.29,2.8,3.3,2.75
14/02/20,3624970.0,2.78,2.67,2.8,2.64
17/02/20,1246890.0,2.75,2.65,2.75,2.63
18/02/20,418690.0,2.68,2.68,2.71,2.66
19/02/20,945810.0,2.68,2.72,2.78,2.65
20/02/20,1308690.0,2.72,2.81,2.85,2.66
21/02/20,620480.0,2.87,2.79,2.87,2.71
24/02/20,378490.0,2.72,2.77,2.85,2.7
26/02/20,1150610.0,2.7,2.7,2.74,2.64
27/02/20,603160.0,2.67,2.65,2.7,2.64
28/02/20,1946620.0,2.55,2.5,2.56,2.21
02/03/20,478340.0,2.49,2.5,2.5,2.48
03/03/20,350140.0,2.52,2.48,2.52,2.48
04/03/20,289160.0,2.48,2.44,2.48,2.44
05/03/20,177830.0,2.45,2.47,2.5,2.44
06/03/20,95760.0,2.47,2.46,2.47,2.45
09/03/20,493570.0,2.45,2.3,2.45,2.21
10/03/20,561090.0,2.21,2.19,2.21,2.0
11/03/20,73910.0,2.2,2.2,2.38,2.2
12/03/20,450500.0,2.2,2.29,2.4,1.99
13/03/20,154070.0,1.8,2.2,2.35,1.5
19/03/20,147790.0,2.1,2.1,2.2,1.9
20/03/20,85700.0,1.9,2.1,2.1,1.9
23/03/20,107400.0,1.8,2.0,2.0,1.8
24/03/20,10360.0,2.08,2.07,2.08,2.07
25/03/20,55560.0,2.04,2.1,2.1,2.04
26/03/20,108840.0,2.1,2.3,2.33,2.07
27/03/20,136600.0,2.3,2.3,2.3,2.1
30/03/20,31160.0,2.0,2.28,2.28,2.0
31/03/20,4380.0,2.1,2.28,2.28,2.1
01/04/20,8880.0,2.2,2.28,2.28,2.2
02/04/20,339640.0,2.06,2.14,2.2,2.02
03/04/20,95340.0,2.14,2.25,2.28,2.1
06/04/20,66200.0,2.1,2.27,2.28,2.1
07/04/20,138040.0,2.24,2.24,2.24,2.1
08/04/20,450420.0,2.11,2.26,2.29,2.1
13/04/20,238180.0,2.29,2.41,2.48,2.29
14/04/20,300980.0,2.4,2.35,2.45,2.25
15/04/20,75680.0,2.4,2.35,2.4,2.19
16/04/20,176610.0,2.19,2.39,2.39,2.19
17/04/20,16210.0,2.21,2.37,2.37,2.21
20/04/20,108960.0,2.21,2.37,2.38,2.21
