Date,Value,Open,Close,High,Low
02/01/20,30297882.0,11.32,10.84,11.32,10.74
03/01/20,41929684.0,10.84,10.56,10.92,10.56
06/01/20,119969992.0,10.56,10.22,10.56,10.18
07/01/20,172473670.0,10.28,10.46,10.6,10.26
08/01/20,44621890.0,10.58,10.58,10.58,10.26
09/01/20,86114218.0,10.58,10.46,10.6,10.34
10/01/20,36786384.0,10.4,10.6,10.78,10.4
14/01/20,81783104.0,10.6,10.88,11.14,10.6
15/01/20,16258910.0,10.9,10.84,11.0,10.74
16/01/20,41362486.0,10.84,10.98,11.0,10.5
17/01/20,20188664.0,11.0,10.9,11.0,10.64
20/01/20,9057964.0,10.74,10.8,10.8,10.52
21/01/20,50056085.0,10.8,9.99,10.8,9.96
22/01/20,137779572.0,9.99,10.4,10.4,9.96
23/01/20,28821614.0,10.44,10.32,10.44,10.14
24/01/20,17013270.0,10.2,10.32,10.32,10.2
27/01/20,87016808.0,10.32,9.87,10.4,9.87
28/01/20,60927312.0,9.87,9.85,10.12,9.81
29/01/20,206428861.0,9.9,9.99,10.1,9.86
30/01/20,52655947.0,9.99,9.35,10.08,9.35
31/01/20,108816274.0,9.35,9.0,9.35,8.91
03/02/20,30811220.0,9.0,9.0,9.05,8.88
04/02/20,54326428.0,9.0,8.85,9.1,8.85
05/02/20,37986692.0,8.84,9.1,9.17,8.84
06/02/20,95281558.0,9.0,9.02,9.1,8.94
07/02/20,16166764.0,9.01,9.06,9.1,9.0
10/02/20,64561651.0,9.06,9.0,9.18,8.95
11/02/20,23949609.0,9.0,9.0,9.11,8.8
12/02/20,55256354.0,9.0,8.8,9.1,8.75
13/02/20,18958728.0,8.95,8.57,8.95,8.56
14/02/20,34865528.0,8.93,8.66,8.93,8.6
17/02/20,18935132.0,8.66,8.71,8.91,8.6
18/02/20,30308045.0,8.72,8.88,9.0,8.72
19/02/20,21830944.0,8.95,8.96,9.01,8.92
20/02/20,45752441.0,8.99,9.1,9.18,8.95
21/02/20,22762133.0,9.19,9.0,9.2,8.95
24/02/20,6075115.0,8.97,8.83,8.97,8.78
26/02/20,17932440.0,8.75,8.69,8.75,8.0
27/02/20,16724500.0,8.33,8.6,8.6,8.3
28/02/20,31480340.0,8.31,8.15,8.31,8.03
02/03/20,16070351.0,8.1,8.02,8.1,7.91
03/03/20,46325698.0,8.03,8.0,8.17,7.65
04/03/20,58746998.0,8.0,7.63,8.0,7.52
05/03/20,76845953.0,7.89,7.32,8.0,7.15
06/03/20,57579712.0,7.34,7.54,7.66,7.23
09/03/20,37998614.0,7.34,7.11,7.46,6.87
10/03/20,42194829.0,6.95,6.55,7.15,6.55
11/03/20,34022264.0,6.7,7.01,7.2,6.7
12/03/20,56681933.0,6.9,6.35,6.9,6.35
13/03/20,88194161.0,5.97,6.2,6.3,5.7
16/03/20,41032176.0,5.8,5.6,6.0,5.6
19/03/20,80037707.0,4.9,4.36,4.9,4.03
20/03/20,19657580.0,4.5,4.59,5.3,4.4
23/03/20,25478110.0,4.4,4.3,4.59,4.26
24/03/20,27881670.0,4.31,4.47,4.55,4.31
25/03/20,46446920.0,4.89,4.67,4.89,4.5
26/03/20,85462440.0,5.09,5.3,5.65,5.09
27/03/20,46402340.0,5.75,5.7,6.48,5.31
30/03/20,13245478.0,5.86,5.87,5.87,5.1
31/03/20,13596174.0,5.8,6.0,6.0,5.8
01/04/20,10751388.0,5.9,6.0,6.05,5.78
02/04/20,23072255.0,5.92,6.0,6.04,5.87
03/04/20,12358090.0,6.0,5.98,6.0,5.68
06/04/20,17646133.0,5.84,5.89,5.9,5.76
07/04/20,54275733.0,5.94,5.9,6.02,5.78
08/04/20,12275618.0,5.98,5.68,5.98,5.65
13/04/20,31310802.0,5.84,5.78,5.84,5.69
14/04/20,53264746.0,5.84,6.0,6.2,5.84
15/04/20,73769686.0,6.0,5.92,6.1,5.91
16/04/20,34547001.0,5.95,5.77,5.97,5.7
17/04/20,24872816.0,5.92,5.92,6.02,5.8
20/04/20,104182444.0,6.0,5.99,6.08,5.94
21/04/20,26460965.0,5.99,5.8,6.0,5.76
22/04/20,43884369.0,5.79,5.66,5.8,5.4
23/04/20,51298101.0,5.76,5.7,5.85,5.69
24/04/20,25917961.0,5.71,5.5,5.71,5.46
27/04/20,20920639.0,5.48,5.35,5.55,5.28
28/04/20,70373669.0,5.35,5.64,5.74,5.34
29/04/20,37383361.0,5.73,5.53,5.73,5.53
30/04/20,28717231.0,5.6,5.6,5.65,5.36
04/05/20,53269166.0,5.52,5.41,5.53,5.38
05/05/20,23463378.0,5.42,5.37,5.43,5.36
06/05/20,34958025.0,5.45,5.17,5.48,5.17
07/05/20,47579606.0,5.37,5.18,5.39,5.16
08/05/20,78654098.0,5.18,5.28,5.34,5.17
11/05/20,48984565.0,5.28,5.5,5.54,5.22
12/05/20,9652760.0,5.51,5.48,5.56,5.39
13/05/20,42642208.0,5.48,5.35,5.48,5.32
14/05/20,9442091.0,5.35,5.5,5.5,5.2
15/05/20,13677289.0,5.4,5.36,5.45,5.3
18/05/20,14260994.0,5.33,5.2,5.34,5.17
19/05/20,105278285.0,5.2,5.25,5.45,5.19
20/05/20,32972881.0,5.4,5.21,5.43,5.21
21/05/20,46411728.0,5.39,5.33,5.39,5.23
22/05/20,171331589.0,5.26,5.34,5.37,5.26
26/05/20,15443769.0,5.34,5.31,5.35,5.27
27/05/20,27743349.0,5.4,5.44,5.47,5.36
28/05/20,50396594.0,5.5,5.8,5.87,5.45
29/05/20,126013296.0,5.9,6.2,6.32,5.88
01/06/20,47497601.0,6.2,6.5,6.54,6.05
02/06/20,53643572.0,6.47,6.49,6.51,6.25
03/06/20,87866698.0,6.52,6.6,6.76,6.52
04/06/20,41196108.0,6.59,6.75,6.9,6.52
05/06/20,72462910.0,6.75,7.11,7.44,6.75
08/06/20,75513581.0,7.3,7.55,7.59,7.3
09/06/20,155694906.0,7.56,8.0,8.0,7.4
10/06/20,78583000.0,7.95,7.88,8.0,7.6
11/06/20,71248492.0,7.8,7.72,7.8,7.28
15/06/20,49237318.0,7.3,7.32,7.48,7.21
16/06/20,55218761.0,7.32,7.6,7.64,7.32
17/06/20,28031762.0,7.7,7.5,7.7,7.2
18/06/20,38033128.0,7.49,7.3,7.5,7.12
19/06/20,47550450.0,7.47,7.66,7.66,7.25
22/06/20,10651966.0,7.71,7.6,7.75,7.31
23/06/20,52566567.0,7.47,7.39,7.5,7.33
24/06/20,14084613.0,7.39,7.4,7.5,7.25
25/06/20,89103970.0,7.32,7.6,7.66,7.25
26/06/20,23742621.0,7.6,7.58,7.6,7.32
29/06/20,64572931.0,7.3,7.0,7.3,6.9
30/06/20,63301168.0,7.05,7.43,7.43,7.05
01/07/20,52087231.0,7.43,7.41,7.45,7.28
02/07/20,95684126.0,7.41,7.7,7.81,7.41
03/07/20,53786845.0,7.78,7.88,7.91,7.7
