Date,Value,Open,Close,High,Low
03/01/20,1036.0,103.6,103.6,103.6,103.6
06/01/20,24016.5,88.4,103.2,103.2,88.4
20/01/20,9090.0,101.0,101.0,101.0,101.0
23/01/20,11395.5,95.0,101.2,101.2,88.35
30/01/20,9844.0,88.35,100.9,100.9,88.35
10/02/20,7945.5,88.3,88.25,88.3,88.25
11/02/20,999.5,99.95,99.95,99.95,99.95
17/02/20,8825.0,88.25,88.25,88.25,88.25
18/02/20,8850.0,88.5,88.5,88.5,88.5
26/02/20,39697.5,88.25,88.2,88.25,88.2
28/02/20,1979.5,99.0,98.95,99.0,98.95
10/03/20,43500.0,87.0,87.0,87.0,87.0
12/03/20,46990.0,87.0,92.0,92.0,85.0
31/03/20,4250.0,85.0,85.0,85.0,85.0
01/04/20,24492.5,73.0,89.45,89.45,73.0
02/04/20,990.0,99.0,99.0,99.0,99.0
03/04/20,19514.0,94.0,97.7,99.0,85.0
06/04/20,12091.5,74.1,97.65,97.65,74.1
07/04/20,19248.0,84.95,88.0,97.45,84.95
08/04/20,51310.0,87.0,86.0,87.0,86.0
13/04/20,5217.0,86.95,86.95,86.95,86.95
14/04/20,16990.0,84.95,84.95,84.95,84.95
15/04/20,23200.0,80.0,80.0,80.0,80.0
16/04/20,1641.0,82.05,82.05,82.05,82.05
17/04/20,840.0,84.0,84.0,84.0,84.0
21/04/20,16308.5,75.05,86.3,86.5,75.05
22/04/20,2936.0,73.4,73.4,73.4,73.4
23/04/20,26407.5,75.45,75.45,75.45,75.45
28/04/20,9564.5,86.95,86.95,86.95,86.95
29/04/20,26082.5,86.95,86.95,86.95,86.9
30/04/20,3480.0,87.0,87.0,87.0,87.0
04/05/20,3478.0,86.95,86.95,86.95,86.95
05/05/20,2448.5,73.05,85.9,85.9,73.05
06/05/20,75999.0,74.1,75.0,86.0,74.0
07/05/20,14820.0,78.0,78.0,78.0,78.0
08/05/20,6008.0,75.1,75.1,75.1,75.1
13/05/20,6601.5,73.35,73.35,73.35,73.35
14/05/20,733.5,73.35,73.35,73.35,73.35
26/05/20,29234.0,73.15,73.0,73.15,73.0
29/05/20,12410.0,73.0,73.0,73.0,73.0
03/06/20,86547.0,84.85,84.85,84.85,84.85
04/06/20,5844.0,73.05,73.05,73.05,73.05
09/06/20,8424.5,84.85,83.95,84.85,83.95
11/06/20,756.5,75.65,75.65,75.65,75.65
15/06/20,756.5,75.65,75.65,75.65,75.65
17/06/20,28740.5,75.65,75.6,75.65,75.6
29/06/20,26267.5,75.05,75.05,75.05,75.05
08/07/20,75307.0,80.0,76.0,84.8,76.0
10/07/20,7605.0,76.05,76.05,76.05,76.05
15/07/20,1521.0,76.05,76.05,76.05,76.05
27/07/20,19050.5,83.0,76.05,83.0,76.05
28/07/20,16753.0,76.15,76.15,76.15,76.15
17/08/20,762.0,76.2,76.2,76.2,76.2
25/08/20,3046.0,76.15,76.15,76.15,76.15
26/08/20,14633.5,97.95,95.0,97.95,95.0
02/09/20,2307.0,76.9,76.9,76.9,76.9
08/09/20,23823.5,76.85,76.85,76.85,76.85
15/09/20,9984.0,76.8,76.8,76.8,76.8
16/09/20,1522.0,76.1,76.1,76.1,76.1
21/09/20,1520.0,76.0,76.0,76.0,76.0
24/09/20,12160.0,76.0,76.0,76.0,76.0
02/10/20,37320.0,75.0,73.0,75.0,73.0
06/10/20,21900.0,73.0,73.0,73.0,73.0
07/10/20,13300.0,70.0,70.0,70.0,70.0
13/10/20,9100.0,70.0,70.0,70.0,70.0
26/10/20,4200.0,70.0,70.0,70.0,70.0
27/10/20,175975.0,71.0,80.0,89.0,71.0
28/10/20,16932.0,70.55,70.55,70.55,70.55
30/10/20,9270.0,72.0,71.0,72.0,71.0
03/11/20,41300.0,70.0,77.0,77.0,70.0
10/11/20,2806.0,70.15,70.15,70.15,70.15
13/11/20,3520.5,70.35,70.45,70.45,70.35
18/11/20,41654.0,70.6,85.0,86.95,70.6
19/11/20,880.0,88.0,88.0,88.0,88.0
23/11/20,871.0,87.1,87.1,87.1,87.1
24/11/20,59006.0,76.0,76.0,87.1,76.0
26/11/20,6100.0,76.25,76.25,76.25,76.25
27/11/20,2289.0,76.3,76.3,76.3,76.3
07/12/20,14851.5,84.3,71.35,84.3,71.35
11/12/20,41394.0,73.0,75.0,75.0,72.1
15/12/20,180276.0,72.55,70.4,75.9,70.2
16/12/20,96548.0,75.9,79.0,79.0,75.9
05/01/21,2293.0,73.4,77.95,77.95,73.4
08/01/21,9031.0,77.9,73.75,77.9,73.75
