Date,Value,Open,Close,High,Low
10/02/20,5461050.0,0.053,0.054,0.061,0.053
11/02/20,2871400.0,0.054,0.049,0.056,0.048
12/02/20,760100.0,0.046,0.047,0.05,0.046
13/02/20,674800.0,0.046,0.046,0.048,0.046
14/02/20,612900.0,0.048,0.045,0.049,0.045
17/02/20,1604000.0,0.045,0.046,0.052,0.045
18/02/20,452900.0,0.046,0.047,0.047,0.046
19/02/20,334900.0,0.047,0.045,0.047,0.045
20/02/20,280400.0,0.044,0.046,0.046,0.044
21/02/20,265400.0,0.045,0.045,0.045,0.044
24/02/20,115000.0,0.044,0.044,0.045,0.044
26/02/20,723800.0,0.044,0.042,0.044,0.042
27/02/20,998700.0,0.042,0.04,0.042,0.039
28/02/20,399200.0,0.04,0.039,0.04,0.038
02/03/20,552700.0,0.038,0.037,0.038,0.036
03/03/20,757700.0,0.036,0.037,0.04,0.036
04/03/20,303700.0,0.036,0.037,0.039,0.036
05/03/20,217700.0,0.037,0.037,0.039,0.037
06/03/20,584600.0,0.038,0.034,0.038,0.034
09/03/20,189700.0,0.034,0.031,0.034,0.03
10/03/20,253000.0,0.031,0.032,0.032,0.03
11/03/20,211300.0,0.033,0.033,0.035,0.033
12/03/20,378800.0,0.031,0.028,0.031,0.027
13/03/20,438900.0,0.028,0.03,0.031,0.027
16/03/20,108000.0,0.029,0.032,0.032,0.026
19/03/20,135500.0,0.026,0.027,0.027,0.026
20/03/20,173000.0,0.025,0.025,0.026,0.025
23/03/20,88100.0,0.024,0.026,0.026,0.024
24/03/20,54000.0,0.028,0.025,0.028,0.025
25/03/20,127300.0,0.026,0.025,0.026,0.025
26/03/20,290500.0,0.026,0.027,0.029,0.026
27/03/20,214800.0,0.028,0.027,0.028,0.027
30/03/20,101800.0,0.028,0.027,0.028,0.027
31/03/20,237600.0,0.027,0.027,0.027,0.027
01/04/20,79500.0,0.027,0.026,0.027,0.026
02/04/20,850200.0,0.025,0.025,0.026,0.024
03/04/20,359800.0,0.025,0.028,0.029,0.025
06/04/20,1864700.0,0.028,0.027,0.028,0.026
07/04/20,45700.0,0.027,0.03,0.03,0.027
08/04/20,366900.0,0.03,0.028,0.032,0.028
13/04/20,19400.0,0.028,0.028,0.028,0.027
14/04/20,240100.0,0.029,0.029,0.03,0.029
15/04/20,194400.0,0.029,0.029,0.03,0.028
16/04/20,527900.0,0.029,0.03,0.03,0.029
17/04/20,295400.0,0.03,0.032,0.033,0.029
20/04/20,222500.0,0.032,0.034,0.035,0.032
21/04/20,374500.0,0.032,0.031,0.033,0.031
22/04/20,230700.0,0.031,0.031,0.031,0.029
23/04/20,434800.0,0.032,0.029,0.032,0.029
24/04/20,227800.0,0.03,0.03,0.03,0.029
27/04/20,140500.0,0.03,0.03,0.03,0.029
28/04/20,562700.0,0.03,0.028,0.03,0.028
29/04/20,128800.0,0.028,0.029,0.029,0.028
30/04/20,354700.0,0.029,0.029,0.029,0.028
04/05/20,422000.0,0.029,0.027,0.029,0.027
05/05/20,646600.0,0.026,0.028,0.028,0.026
06/05/20,295400.0,0.027,0.026,0.027,0.026
07/05/20,271300.0,0.026,0.027,0.027,0.026
08/05/20,18600.0,0.027,0.027,0.027,0.026
11/05/20,338500.0,0.026,0.025,0.026,0.025
12/05/20,850500.0,0.025,0.026,0.026,0.025
13/05/20,297500.0,0.026,0.026,0.026,0.025
14/05/20,5200.0,0.026,0.026,0.026,0.026
15/05/20,415300.0,0.025,0.026,0.026,0.025
18/05/20,558800.0,0.026,0.024,0.026,0.024
