Date,Value,Open,Close,High,Low
02/01/20,1112650.0,1.0,1.01,1.01,0.85
03/01/20,58040.0,1.07,1.0,1.07,0.99
07/01/20,167240.0,0.92,0.9,0.92,0.9
08/01/20,24420.0,0.9,0.9,0.92,0.9
09/01/20,12490.0,0.89,0.92,0.92,0.89
14/01/20,920.0,0.92,0.92,0.92,0.92
15/01/20,13310.0,0.88,0.89,0.89,0.88
20/01/20,21360.0,0.89,0.89,0.89,0.89
22/01/20,17800.0,0.89,0.89,0.89,0.89
23/01/20,880.0,0.88,0.88,0.88,0.88
27/01/20,61690.0,0.89,0.88,0.89,0.88
29/01/20,58080.0,0.88,0.88,0.88,0.88
30/01/20,8800.0,0.88,0.88,0.88,0.88
31/01/20,107430.0,0.88,0.87,0.88,0.87
03/02/20,15480.0,0.86,0.86,0.86,0.86
04/02/20,84300.0,0.85,0.85,0.85,0.8
05/02/20,8500.0,0.85,0.85,0.85,0.85
06/02/20,34290.0,0.85,0.81,0.85,0.81
07/02/20,8100.0,0.81,0.81,0.81,0.81
11/02/20,306500.0,0.81,0.8,0.81,0.8
17/02/20,80000.0,0.8,0.8,0.8,0.8
18/02/20,32400.0,0.81,0.81,0.81,0.81
19/02/20,8700.0,0.87,0.87,0.87,0.87
27/02/20,15670.0,0.81,0.85,0.85,0.81
02/03/20,82800.0,0.84,0.8,0.84,0.8
04/03/20,39500.0,0.79,0.79,0.79,0.79
06/03/20,7800.0,0.78,0.78,0.78,0.78
12/03/20,71660.0,0.7,0.76,0.76,0.59
13/03/20,12820.0,0.75,0.76,0.76,0.75
23/03/20,28290.0,0.51,0.66,0.66,0.51
26/03/20,89720.0,0.87,0.6,0.87,0.54
27/03/20,40130.0,0.61,0.6,0.61,0.56
31/03/20,5400.0,0.6,0.6,0.6,0.6
01/04/20,8260.0,0.59,0.59,0.59,0.59
02/04/20,43480.0,0.59,0.52,0.59,0.52
06/04/20,5510.0,0.56,0.55,0.56,0.55
07/04/20,31010.0,0.56,0.61,0.61,0.56
08/04/20,1200.0,0.6,0.6,0.6,0.6
14/04/20,6000.0,0.6,0.6,0.6,0.6
17/04/20,208690.0,0.55,0.78,0.78,0.55
20/04/20,232870.0,0.78,0.88,0.88,0.77
21/04/20,527340.0,0.9,0.89,0.9,0.89
23/04/20,880.0,0.88,0.88,0.88,0.88
