Date,Value,Open,Close,High,Low
02/01/20,6020149.5,89.5,88.0,90.45,88.0
03/01/20,40766068.5,88.0,87.95,91.0,87.0
06/01/20,27295524.0,88.0,87.0,88.0,86.4
07/01/20,41733471.0,87.0,87.2,88.0,87.0
08/01/20,36439638.5,87.0,86.65,87.0,86.55
09/01/20,37903719.5,86.65,87.2,88.15,86.65
10/01/20,18631341.0,87.3,86.55,87.5,86.55
14/01/20,14497659.0,87.15,88.85,89.0,87.15
15/01/20,4646453.0,88.5,88.7,88.85,88.45
16/01/20,4844709.5,88.7,87.0,88.8,87.0
17/01/20,7786068.0,86.9,87.0,88.7,86.9
20/01/20,39992529.5,87.5,86.5,87.8,86.45
21/01/20,7138510.0,86.4,86.0,86.5,86.0
22/01/20,15377202.0,86.0,86.0,86.0,84.95
23/01/20,17978121.0,85.75,83.0,86.0,82.6
24/01/20,1487352.5,83.0,83.8,84.95,83.0
27/01/20,11547952.5,83.8,83.05,83.8,82.8
28/01/20,5830034.5,83.4,83.0,83.5,82.6
29/01/20,79185392.0,83.0,79.7,83.0,79.45
30/01/20,13387999.0,79.7,77.8,79.8,77.8
31/01/20,52587949.5,77.5,75.0,77.55,71.5
03/02/20,42356745.5,75.0,74.0,75.0,73.9
04/02/20,48543159.5,74.0,74.8,75.95,74.0
05/02/20,6029298.5,75.0,79.0,79.95,75.0
06/02/20,5684787.0,80.0,82.3,84.0,80.0
07/02/20,7392617.0,84.0,79.5,84.0,78.5
10/02/20,2715558.5,79.65,80.0,82.45,79.6
11/02/20,9842359.0,80.6,82.95,82.95,79.0
12/02/20,15507558.5,82.8,80.2,82.8,79.3
13/02/20,13861407.5,80.2,78.0,80.2,77.05
14/02/20,4406932.0,79.0,78.5,80.0,78.0
17/02/20,2717982.0,79.1,80.3,81.0,79.05
18/02/20,7851476.0,80.5,80.3,80.6,79.5
19/02/20,30052798.5,80.3,80.0,80.6,79.5
20/02/20,5726683.0,80.0,80.75,81.0,79.65
21/02/20,8767588.0,81.0,79.8,82.0,79.65
24/02/20,10854407.0,79.6,76.25,79.75,76.25
26/02/20,8685203.5,76.2,76.8,76.95,74.0
27/02/20,22565752.5,76.8,76.9,76.9,76.2
28/02/20,13411239.0,76.9,73.55,78.05,73.0
02/03/20,10214146.0,73.0,73.2,76.45,72.65
03/03/20,11130374.5,73.25,77.1,78.0,73.25
04/03/20,9735889.0,77.1,74.75,77.2,73.5
05/03/20,1326958.5,74.75,74.95,75.65,74.75
06/03/20,12870436.5,74.95,71.3,74.95,71.25
09/03/20,19259729.0,71.3,66.4,71.3,66.3
10/03/20,9517964.5,66.4,64.25,66.4,64.0
11/03/20,20633136.5,64.25,64.4,64.7,64.15
12/03/20,9351438.5,66.0,58.0,66.0,56.05
13/03/20,27874401.0,45.0,48.0,52.85,45.0
16/03/20,10470060.0,48.0,47.6,48.75,46.0
19/03/20,37119435.0,46.0,38.7,46.0,38.6
20/03/20,13850670.0,40.0,39.9,41.5,39.15
23/03/20,10100895.0,39.95,36.7,40.0,35.0
24/03/20,10030815.0,38.0,36.1,38.95,36.0
25/03/20,26289860.0,37.0,38.5,42.5,37.0
26/03/20,31606040.0,38.8,41.0,41.8,38.8
27/03/20,25536335.0,41.9,43.45,44.5,41.5
30/03/20,13020165.0,43.45,46.5,46.5,41.0
31/03/20,13023645.0,47.0,45.3,47.5,45.0
01/04/20,11964960.0,46.5,45.55,46.9,44.0
