Date,Value,Open,Close,High,Low
02/01/20,250635.0,6.8,6.5,6.8,6.5
03/01/20,1153736.0,6.9,6.7,6.9,6.69
06/01/20,196249.0,6.9,6.5,6.9,6.5
07/01/20,713607.0,6.6,6.7,6.8,6.6
08/01/20,7370.0,6.7,6.7,6.7,6.7
09/01/20,3350.0,6.7,6.7,6.7,6.7
10/01/20,384635.0,6.8,6.7,6.8,6.2
14/01/20,690.0,6.9,6.9,6.9,6.9
15/01/20,625911.0,6.5,6.88,6.89,6.5
16/01/20,565290.0,6.5,6.7,6.7,6.5
17/01/20,615506.0,6.7,6.7,6.7,6.5
20/01/20,47817.0,6.5,6.4,6.69,6.4
21/01/20,39700.0,6.4,6.5,6.5,6.4
22/01/20,6002.0,6.69,6.69,6.69,6.5
23/01/20,8028.0,6.69,6.69,6.69,6.69
27/01/20,1320.0,6.6,6.6,6.6,6.6
28/01/20,8990.0,6.4,6.55,6.55,6.4
29/01/20,1338.0,6.69,6.69,6.69,6.69
30/01/20,110128.0,6.4,6.64,6.64,6.4
31/01/20,8006.0,6.68,6.67,6.68,6.67
03/02/20,98939.0,6.42,6.66,6.66,6.41
04/02/20,680038.0,6.4,6.2,6.66,6.16
05/02/20,641505.0,6.21,6.2,6.21,6.16
06/02/20,641889.0,6.66,6.2,6.66,6.2
07/02/20,34255.0,6.65,6.3,6.65,6.2
10/02/20,21171.0,6.65,6.5,6.65,6.3
12/02/20,5277.0,6.65,6.58,6.65,6.58
13/02/20,31843.0,6.58,6.58,6.58,6.23
14/02/20,1986.0,6.62,6.62,6.62,6.62
17/02/20,15150.0,6.58,6.65,6.65,6.58
19/02/20,630044.0,6.2,6.49,6.59,6.01
26/02/20,728389.0,6.48,6.4,6.6,6.1
28/02/20,1979.0,6.6,6.59,6.6,6.59
02/03/20,3200.0,6.4,6.4,6.4,6.4
03/03/20,26240.0,6.4,6.4,6.4,6.4
04/03/20,335605.0,6.1,6.35,6.35,6.02
06/03/20,914672.0,6.08,6.4,6.4,6.08
09/03/20,639.0,6.39,6.39,6.39,6.39
10/03/20,738779.0,6.38,6.1,6.4,5.9
11/03/20,173836.0,5.92,6.1,6.1,5.92
12/03/20,115404.0,5.74,6.04,6.04,5.74
13/03/20,855977.0,5.72,6.0,6.0,5.23
23/03/20,91690.0,5.02,5.8,5.8,5.02
24/03/20,580.0,5.8,5.8,5.8,5.8
25/03/20,79560.0,5.9,6.1,6.1,5.5
26/03/20,522100.0,6.08,6.1,6.1,6.08
30/03/20,417240.0,6.1,6.1,6.1,6.1
01/04/20,1328771.0,6.06,6.0,6.1,5.99
06/04/20,8272.0,5.9,6.04,6.04,5.6
08/04/20,14496.0,6.04,6.04,6.04,6.04
14/04/20,58588.0,6.04,6.04,6.04,6.04
16/04/20,603.0,6.03,6.03,6.03,6.03
17/04/20,1812.0,6.04,6.04,6.04,6.04
21/04/20,4720.0,5.9,5.9,5.9,5.9
22/04/20,43660.0,5.9,5.9,5.9,5.9
23/04/20,390563.0,5.9,5.99,6.0,5.9
24/04/20,17709.0,5.9,5.9,5.99,5.9
29/04/20,590.0,5.9,5.9,5.9,5.9
30/04/20,11800.0,5.9,5.9,5.9,5.9
05/05/20,41840.0,5.9,5.5,5.9,5.5
06/05/20,21124.0,5.98,5.98,5.98,5.42
07/05/20,18290.0,5.9,5.9,5.9,5.9
08/05/20,1770.0,5.9,5.9,5.9,5.9
12/05/20,4120.0,5.8,5.9,5.9,5.8
13/05/20,17100.0,5.7,5.7,5.7,5.7
14/05/20,3864.0,5.52,5.52,5.52,5.52
15/05/20,65706.0,5.52,5.7,5.7,5.52
21/05/20,52800.0,5.5,5.5,5.5,5.5
22/05/20,276100.0,5.5,5.5,5.5,5.5
27/05/20,9900.0,5.5,5.5,5.5,5.5
01/06/20,741403.0,5.5,6.07,6.08,5.5
04/06/20,1294784.0,6.05,6.38,6.38,6.05
05/06/20,219766.0,6.38,6.37,6.38,6.37
08/06/20,10008.0,5.56,5.56,5.56,5.56
09/06/20,380116.0,6.38,6.37,6.39,6.2
10/06/20,88270.0,6.38,6.38,6.38,6.02
11/06/20,10124.0,6.1,6.36,6.36,6.1
15/06/20,3112.0,6.38,6.37,6.38,6.0
22/06/20,193190.0,6.0,6.2,6.2,6.0
23/06/20,49220.0,6.2,6.0,6.2,6.0
24/06/20,391200.0,6.0,6.0,6.0,6.0
25/06/20,131166.0,5.61,6.0,6.0,5.61
26/06/20,60060.0,6.01,6.18,6.18,5.92
02/07/20,3690.0,6.15,6.15,6.15,6.15
06/07/20,30350.0,6.16,6.16,6.16,5.9
07/07/20,599479.0,6.16,6.2,6.2,6.16
10/07/20,43190.0,5.61,6.2,6.2,5.61
13/07/20,59085.0,5.6,6.17,6.17,5.6
