Date,Value,Open,Close,High,Low
06/01/20,295078.0,16.54,18.0,18.0,16.52
07/01/20,18800.0,18.8,18.8,18.8,18.8
09/01/20,19858.0,18.0,18.58,18.58,18.0
15/01/20,123458.0,16.7,18.78,18.78,16.6
23/01/20,10108.0,16.62,17.98,17.98,16.62
29/01/20,23430.0,16.62,17.84,17.84,16.62
30/01/20,30034.0,16.62,17.8,17.8,16.62
31/01/20,16748.0,16.64,17.72,17.72,16.64
04/02/20,1149952.0,16.62,17.18,17.18,16.08
05/02/20,74150.0,15.64,16.02,16.02,15.6
07/02/20,8010.0,16.02,16.02,16.02,16.02
13/02/20,9508.0,16.58,15.7,16.58,15.7
17/02/20,1650.0,16.5,16.5,16.5,16.5
18/02/20,7800.0,15.6,15.6,15.6,15.6
19/02/20,15620.0,15.62,15.62,15.62,15.62
20/02/20,15612.0,15.62,15.6,15.62,15.6
21/02/20,62060.0,15.6,15.12,15.6,15.12
24/02/20,48540.0,14.32,15.4,15.4,14.0
26/02/20,66800.0,16.4,16.0,16.4,16.0
02/03/20,19940.0,15.0,15.88,15.88,15.0
03/03/20,10094.0,14.22,15.62,15.62,14.22
04/03/20,3000.0,14.4,15.6,15.6,14.4
05/03/20,31660.0,15.8,15.9,15.9,15.8
09/03/20,12992.0,14.4,14.22,15.44,14.22
10/03/20,50532.0,14.22,14.0,14.22,14.0
11/03/20,2734.0,13.04,14.3,14.3,13.04
13/03/20,8125774.0,13.22,14.52,14.52,13.04
16/03/20,7230.0,14.46,14.46,14.46,14.46
06/04/20,2760.0,13.8,13.8,13.8,13.8
07/04/20,45140.0,13.7,13.12,13.8,13.12
08/04/20,26400.0,13.2,13.2,13.2,13.2
14/04/20,7920.0,13.2,13.2,13.2,13.2
15/04/20,45340.0,13.2,14.0,14.0,13.2
16/04/20,18892.0,13.98,13.98,13.98,12.64
17/04/20,27200.0,13.6,13.6,13.6,13.6
20/04/20,3792.0,12.64,12.64,12.64,12.64
21/04/20,21856.0,12.68,13.28,13.28,12.68
22/04/20,14130.0,12.8,13.3,13.3,12.8
23/04/20,131394.0,12.66,13.28,13.28,12.64
24/04/20,1396.0,13.96,13.96,13.96,13.96
27/04/20,13800.0,13.8,13.8,13.8,13.8
30/04/20,41894.0,11.0,13.0,13.48,11.0
08/05/20,15742.0,11.16,13.0,13.0,11.16
21/05/20,1344.0,13.44,13.44,13.44,13.44
26/05/20,35358.0,12.14,12.94,12.96,12.12
28/05/20,3882.0,12.94,12.94,12.94,12.94
02/06/20,5240.0,13.4,13.0,13.4,13.0
03/06/20,38104.0,13.1,12.98,13.1,12.5
04/06/20,25180.0,12.98,12.98,12.98,12.5
05/06/20,11528.0,11.26,13.0,13.0,11.26
08/06/20,3908.0,13.08,13.0,13.08,13.0
09/06/20,98672.0,12.0,13.38,13.38,12.0
10/06/20,50998.0,13.0,13.36,13.36,13.0
11/06/20,16394.0,12.6,12.5,13.2,12.5
15/06/20,3688.0,12.04,12.8,12.8,12.04
16/06/20,22516.0,12.5,12.52,12.52,12.5
17/06/20,6724.0,13.0,13.5,13.58,13.0
18/06/20,17128.0,12.06,12.5,12.88,12.06
19/06/20,26260.0,12.5,12.6,12.6,12.5
22/06/20,24974.0,12.24,12.5,12.5,12.24
23/06/20,48042.0,13.48,12.16,13.48,12.14
24/06/20,54654.0,12.5,12.14,12.5,12.12
25/06/20,48516.0,12.14,12.2,12.2,12.1
26/06/20,3608.0,12.04,12.02,12.04,12.02
30/06/20,12020.0,12.02,12.02,12.02,12.02
02/07/20,16798.0,13.44,12.3,13.44,12.3
06/07/20,33630.0,12.1,12.0,12.1,12.0
07/07/20,5000.0,12.5,12.5,12.5,12.5
09/07/20,366800.0,11.6,12.0,12.0,11.6
10/07/20,2396.0,11.98,11.98,11.98,11.98
13/07/20,53638.0,11.02,11.98,11.98,11.02
14/07/20,22194.0,11.5,11.12,11.5,11.02
15/07/20,31050.0,11.5,11.5,11.5,11.5
16/07/20,22352.0,11.5,11.14,11.5,11.14
17/07/20,23378.0,11.12,11.14,11.14,11.12
20/07/20,25556.0,11.12,11.12,11.12,11.1
21/07/20,22100.0,11.1,11.0,11.1,11.0
23/07/20,14396.0,11.12,11.02,11.12,11.02
24/07/20,63800.0,11.0,11.0,11.0,11.0
27/07/20,173010.0,11.0,11.5,11.5,11.0
28/07/20,2296.0,11.48,11.48,11.48,11.48
07/08/20,28600.0,11.0,11.0,11.0,11.0
10/08/20,183620.0,10.9,11.0,11.0,10.9
14/08/20,11000.0,11.0,11.0,11.0,11.0
17/08/20,119660.0,10.84,11.2,11.2,10.84
18/08/20,881078.0,11.1,12.0,13.46,11.1
19/08/20,16438.0,11.96,12.98,13.0,11.12
20/08/20,335624.0,12.98,11.4,12.98,11.1
24/08/20,47780.0,11.4,11.3,11.4,11.3
25/08/20,55906.0,11.9,11.3,11.92,11.3
26/08/20,44062.0,12.36,12.18,12.36,11.32
27/08/20,47398.0,12.16,12.0,12.16,12.0
28/08/20,1200.0,12.0,12.0,12.0,12.0
01/09/20,22800.0,12.0,12.0,12.0,12.0
02/09/20,63544.0,12.0,11.44,12.0,11.44
03/09/20,60000.0,12.0,12.0,12.0,12.0
