Date,Value,Open,Close,High,Low
02/01/20,708.0,7.08,7.08,7.08,7.08
03/01/20,1416.0,7.08,7.08,7.08,7.08
14/01/20,7050.0,7.05,7.05,7.05,7.05
24/01/20,705.0,7.05,7.05,7.05,7.05
28/01/20,1408.0,7.04,7.04,7.04,7.04
30/01/20,69941.0,6.58,7.03,7.03,6.5
31/01/20,56859.0,6.58,6.51,6.58,6.51
06/02/20,32579.0,6.52,6.51,6.52,6.51
11/02/20,7172.0,6.52,6.52,6.52,6.52
17/02/20,2019.0,6.73,6.73,6.73,6.73
19/02/20,54116.0,6.52,6.52,6.52,6.52
24/02/20,91932.0,6.52,6.52,6.52,6.52
28/02/20,1956.0,6.52,6.52,6.52,6.52
03/03/20,652.0,6.52,6.52,6.52,6.52
10/03/20,78030.0,6.5,6.51,6.51,6.5
11/03/20,85191.0,6.71,6.5,6.71,6.5
12/03/20,45782.0,6.1,6.1,6.12,6.1
13/03/20,102051.0,6.02,6.0,6.02,6.0
16/03/20,12400.0,6.2,6.2,6.2,6.2
19/03/20,38750.0,6.0,5.5,6.0,5.5
20/03/20,4798.0,6.66,5.6,6.66,5.6
23/03/20,1340.0,6.9,6.5,6.9,6.5
27/03/20,1206.0,6.03,6.03,6.03,6.03
30/03/20,36240.0,6.04,6.04,6.04,6.04
31/03/20,8826.0,6.78,6.79,6.8,6.78
02/04/20,6070.0,6.07,6.07,6.07,6.07
07/04/20,5931.0,6.59,6.59,6.59,6.59
13/04/20,9750.0,6.5,6.5,6.5,6.5
14/04/20,1348.0,6.74,6.74,6.74,6.74
15/04/20,669.0,6.69,6.69,6.69,6.69
16/04/20,6470.0,6.47,6.47,6.47,6.47
17/04/20,7155.0,6.55,6.5,6.55,6.5
20/04/20,3005.0,6.01,6.01,6.01,6.01
22/04/20,5417.0,6.01,6.02,6.02,6.01
23/04/20,65625.0,6.25,6.25,6.25,6.25
27/04/20,3894.0,6.49,6.49,6.49,6.49
29/04/20,16570.0,6.1,6.2,6.2,6.1
30/04/20,12510.0,6.25,6.26,6.26,6.25
04/05/20,6886.0,6.26,6.26,6.26,6.26
05/05/20,6765.0,6.01,6.16,6.17,6.01
06/05/20,6060.0,6.06,6.06,6.06,6.06
08/05/20,2416.0,6.04,6.04,6.04,6.04
11/05/20,6040.0,6.04,6.04,6.04,6.04
12/05/20,8482.0,6.29,6.02,6.29,6.02
15/05/20,5666.0,6.3,6.29,6.3,6.29
18/05/20,19246.0,6.29,6.0,6.29,6.0
19/05/20,1800.0,6.0,6.0,6.0,6.0
20/05/20,12000.0,6.0,6.0,6.0,6.0
22/05/20,1258.0,6.29,6.29,6.29,6.29
28/05/20,5510.0,5.51,5.51,5.51,5.51
29/05/20,4464.0,5.56,5.6,5.6,5.56
02/06/20,627.0,6.27,6.27,6.27,6.27
03/06/20,140687.0,6.24,6.3,6.3,6.24
05/06/20,6010.0,6.01,6.01,6.01,6.01
08/06/20,4498.0,6.1,6.48,6.48,6.1
10/06/20,39751.0,6.11,6.11,6.12,6.11
11/06/20,10637.0,6.1,6.48,6.49,6.1
15/06/20,8379.0,6.48,6.46,6.48,6.19
17/06/20,25262.0,6.47,6.3,6.47,6.3
18/06/20,2520.0,6.3,6.3,6.3,6.3
19/06/20,1890.0,6.3,6.3,6.3,6.3
22/06/20,4452.0,6.36,6.36,6.36,6.36
23/06/20,15900.0,6.36,6.36,6.36,6.36
24/06/20,10710.0,6.3,6.3,6.3,6.3
25/06/20,1290.0,6.45,6.45,6.45,6.45
29/06/20,10080.0,6.3,6.3,6.3,6.3
30/06/20,630.0,6.3,6.3,6.3,6.3
01/07/20,5670.0,6.3,6.3,6.3,6.3
08/07/20,1288.0,6.48,6.4,6.48,6.4
10/07/20,32130.0,6.3,6.3,6.3,6.3
13/07/20,22050.0,6.3,6.3,6.3,6.3
14/07/20,1296.0,6.48,6.48,6.48,6.48
17/07/20,630.0,6.3,6.3,6.3,6.3
20/07/20,1944.0,6.48,6.48,6.48,6.48
21/07/20,631.0,6.31,6.31,6.31,6.31
22/07/20,2592.0,6.48,6.48,6.48,6.48
03/08/20,3245.0,6.49,6.49,6.49,6.49
04/08/20,19939.0,6.49,6.31,6.49,6.31
18/08/20,1260.0,6.3,6.3,6.3,6.3
19/08/20,5120.0,6.4,6.4,6.4,6.4
24/08/20,5059.0,6.3,6.49,6.49,6.3
03/09/20,6490.0,6.49,6.49,6.49,6.49
04/09/20,13200.0,6.6,6.6,6.6,6.6
07/09/20,12600.0,6.3,6.3,6.3,6.3
10/09/20,6320.0,6.32,6.32,6.32,6.32
22/09/20,1947.0,6.49,6.49,6.49,6.49
29/09/20,6490.0,6.49,6.49,6.49,6.49
30/09/20,1298.0,6.49,6.49,6.49,6.49
01/10/20,650.0,6.5,6.5,6.5,6.5
07/10/20,22750.0,6.5,6.5,6.5,6.5
09/10/20,1298.0,6.49,6.49,6.49,6.49
12/10/20,7150.0,6.5,6.5,6.5,6.5
13/10/20,12350.0,6.5,6.5,6.5,6.5
19/10/20,650.0,6.5,6.5,6.5,6.5
21/10/20,650.0,6.5,6.5,6.5,6.5
22/10/20,520000.0,6.5,6.5,6.5,6.5
23/10/20,649.0,6.49,6.49,6.49,6.49
29/10/20,649.0,6.49,6.49,6.49,6.49
03/11/20,649.0,6.49,6.49,6.49,6.49
04/11/20,1398.0,6.99,6.99,6.99,6.99
05/11/20,1398.0,6.99,6.99,6.99,6.99
06/11/20,16092.0,6.99,7.0,7.0,6.99
10/11/20,6990.0,6.99,6.99,6.99,6.99
11/11/20,700.0,7.0,7.0,7.0,7.0
16/11/20,5502.0,7.0,6.51,7.0,6.51
17/11/20,1400.0,7.0,7.0,7.0,7.0
18/11/20,12600.0,7.0,7.0,7.0,7.0
23/11/20,0.0,0.0,0.0,0.0,0.0
24/11/20,39980.0,6.85,6.9,6.9,6.85
01/12/20,14000.0,7.0,7.0,7.0,7.0
02/12/20,700.0,7.0,7.0,7.0,7.0
03/12/20,9100.0,7.0,7.0,7.0,7.0
09/12/20,18900.0,7.0,7.0,7.0,7.0
15/12/20,22080.0,6.9,6.9,6.9,6.9
17/12/20,2076.0,6.92,6.92,6.92,6.92
29/12/20,13838.0,6.92,6.9,6.92,6.9
04/01/21,256942.0,7.0,6.99,7.0,6.65
05/01/21,1020674.0,7.0,7.5,7.5,6.75
06/01/21,12750.0,7.5,7.5,7.5,7.5
