Date,Value,Open,Close,High,Low
02/01/20,322414.0,15.26,15.16,15.26,15.06
03/01/20,9227338.0,15.18,15.5,15.5,15.18
06/01/20,2375780.0,15.26,15.3,15.4,15.24
07/01/20,9646234.0,15.2,15.26,15.4,15.08
08/01/20,8087152.0,15.24,15.2,15.24,15.1
09/01/20,4861196.0,15.2,15.24,15.24,15.1
10/01/20,1795140.0,15.48,15.24,15.48,15.1
14/01/20,28951084.0,15.18,15.2,15.24,15.16
15/01/20,349030.0,15.14,15.02,15.14,15.0
16/01/20,7005908.0,14.94,14.8,15.0,14.8
17/01/20,7752970.0,14.8,14.86,14.9,14.74
20/01/20,272480.0,14.86,14.96,14.96,14.86
21/01/20,7195784.0,14.82,14.92,14.92,14.8
22/01/20,24670016.0,14.86,15.0,15.0,14.86
23/01/20,7066414.0,15.0,15.0,15.0,14.94
24/01/20,29366.0,15.48,15.36,15.48,15.36
27/01/20,6896066.0,15.0,14.98,15.0,14.86
28/01/20,2515792.0,15.0,15.02,15.02,15.0
29/01/20,6994544.0,15.04,15.02,15.04,15.0
30/01/20,24883640.0,15.04,15.04,15.04,15.0
31/01/20,2585890.0,15.1,15.0,15.1,14.94
03/02/20,7024828.0,15.0,15.0,15.0,14.96
04/02/20,9662752.0,15.04,14.98,15.18,14.9
05/02/20,36068.0,15.1,15.02,15.1,15.0
06/02/20,14116336.0,15.0,15.0,15.1,15.0
07/02/20,1020594.0,15.0,15.1,15.4,15.0
10/02/20,889906.0,15.0,15.02,15.08,14.92
11/02/20,6905778.0,15.02,15.02,15.04,14.98
12/02/20,24243826.0,15.02,15.04,15.04,15.02
13/02/20,4176196.0,15.04,15.02,15.04,15.0
14/02/20,1885724.0,15.02,15.02,15.02,15.0
17/02/20,7919488.0,15.0,15.1,15.3,15.0
18/02/20,1611022.0,15.04,15.1,15.1,15.04
19/02/20,1421588.0,15.1,15.1,15.1,15.0
20/02/20,7011516.0,15.1,15.18,15.3,15.04
21/02/20,6200060.0,15.14,15.1,15.3,15.08
24/02/20,11838042.0,15.0,15.0,15.1,14.9
26/02/20,3946640.0,14.86,14.76,14.86,14.5
27/02/20,6846660.0,14.8,14.86,14.86,14.8
28/02/20,11171240.0,14.8,14.72,14.8,14.68
02/03/20,2090956.0,14.5,14.24,14.5,14.12
03/03/20,6812986.0,14.24,14.24,14.3,14.14
04/03/20,39055152.0,14.22,14.2,14.24,14.2
05/03/20,6548614.0,14.22,14.3,14.34,14.22
06/03/20,3976108.0,14.2,14.4,14.4,14.1
