Date,Value,Open,Close,High,Low
02/01/20,1738300.0,2.9,2.89,2.9,2.86
03/01/20,1171980.0,2.9,2.9,2.9,2.89
06/01/20,1965760.0,2.89,2.87,2.9,2.84
07/01/20,12833260.0,2.87,3.07,3.1,2.84
08/01/20,9645480.0,3.07,3.04,3.18,3.0
09/01/20,4819070.0,3.06,3.0,3.06,2.91
10/01/20,3102510.0,3.0,3.0,3.02,2.95
14/01/20,3219810.0,3.03,2.96,3.03,2.95
15/01/20,6025620.0,2.9,2.86,2.95,2.84
16/01/20,1175980.0,2.84,2.87,2.87,2.84
17/01/20,14360660.0,2.85,2.96,2.97,2.83
20/01/20,22664530.0,2.98,3.15,3.15,2.96
21/01/20,33245730.0,3.15,3.25,3.26,3.15
22/01/20,11644380.0,3.25,3.18,3.25,3.02
23/01/20,9563100.0,3.22,3.22,3.25,3.07
24/01/20,2369810.0,3.24,3.11,3.24,3.11
27/01/20,2844850.0,3.1,3.1,3.18,3.06
28/01/20,7685960.0,3.06,3.15,3.2,3.06
29/01/20,2730780.0,3.15,3.08,3.15,3.08
30/01/20,3960710.0,3.12,3.05,3.12,3.05
31/01/20,9274100.0,3.06,3.07,3.09,2.85
03/02/20,5455400.0,3.07,2.99,3.07,2.99
04/02/20,2556160.0,2.98,3.05,3.08,2.98
05/02/20,2318940.0,3.05,3.0,3.05,2.98
06/02/20,1328250.0,2.99,3.02,3.04,2.99
07/02/20,3206350.0,3.05,2.99,3.05,2.98
10/02/20,2172820.0,2.99,3.0,3.04,2.98
11/02/20,2764150.0,3.0,2.98,3.03,2.98
12/02/20,1182500.0,2.97,2.98,2.99,2.97
13/02/20,3867400.0,2.98,2.96,3.0,2.92
14/02/20,1664010.0,2.95,3.0,3.0,2.94
17/02/20,680230.0,2.96,3.0,3.03,2.96
18/02/20,512240.0,3.0,3.01,3.02,3.0
19/02/20,2151680.0,3.02,3.03,3.03,3.0
20/02/20,408910.0,3.0,3.03,3.03,3.0
21/02/20,1047340.0,3.04,2.98,3.04,2.95
24/02/20,3623180.0,2.95,2.94,3.03,2.94
26/02/20,9735380.0,2.93,2.82,2.93,2.78
27/02/20,1760430.0,2.82,2.8,2.94,2.79
28/02/20,2061000.0,2.78,2.76,2.78,2.76
02/03/20,5348360.0,2.76,2.69,2.76,2.69
03/03/20,76310.0,2.69,2.93,2.93,2.69
04/03/20,1243540.0,2.7,2.8,2.8,2.68
05/03/20,584140.0,2.69,2.84,2.84,2.69
06/03/20,1285150.0,2.7,2.7,2.86,2.69
09/03/20,10571020.0,2.68,2.6,2.68,2.4
10/03/20,2588100.0,2.59,2.69,2.7,2.5
11/03/20,3824870.0,2.68,2.75,2.76,2.68
12/03/20,8675620.0,2.74,2.6,2.74,2.52
13/03/20,319100.0,2.5,2.6,2.6,2.5
16/03/20,587180.0,2.7,2.6,2.7,2.48
19/03/20,1343380.0,2.48,2.47,2.48,2.43
20/03/20,510240.0,2.46,2.43,2.48,2.43
23/03/20,839510.0,2.43,2.46,2.46,2.41
24/03/20,222800.0,2.47,2.48,2.48,2.47
25/03/20,76800.0,2.48,2.48,2.48,2.46
26/03/20,426070.0,2.48,2.53,2.53,2.47
30/03/20,128000.0,2.56,2.56,2.56,2.56
31/03/20,1293930.0,2.57,2.6,2.6,2.57
01/04/20,260440.0,2.6,2.61,2.61,2.6
02/04/20,835110.0,2.55,2.61,2.61,2.55
03/04/20,676000.0,2.6,2.6,2.6,2.6
06/04/20,1873200.0,2.58,2.63,2.63,2.58
07/04/20,257600.0,2.55,2.6,2.6,2.55
08/04/20,523000.0,2.61,2.62,2.62,2.61
13/04/20,1005700.0,2.62,2.55,2.63,2.55
14/04/20,2008870.0,2.6,2.7,2.7,2.6
15/04/20,1248700.0,2.63,2.7,2.7,2.63
