Date,Value,Open,Close,High,Low
02/01/20,653660.0,0.55,0.54,0.55,0.53
03/01/20,273690.0,0.54,0.54,0.54,0.53
06/01/20,2214600.0,0.53,0.54,0.54,0.52
07/01/20,1199640.0,0.53,0.54,0.54,0.52
08/01/20,1203310.0,0.53,0.54,0.54,0.52
09/01/20,1686450.0,0.52,0.54,0.54,0.52
10/01/20,17375680.0,0.53,0.56,0.56,0.53
14/01/20,1664950.0,0.55,0.56,0.57,0.55
15/01/20,594830.0,0.55,0.55,0.55,0.54
16/01/20,8739510.0,0.55,0.55,0.56,0.54
17/01/20,1315900.0,0.54,0.55,0.55,0.53
20/01/20,6035120.0,0.54,0.53,0.55,0.52
21/01/20,6721180.0,0.53,0.53,0.54,0.51
22/01/20,3720330.0,0.52,0.53,0.53,0.51
23/01/20,4002910.0,0.51,0.53,0.53,0.51
24/01/20,1756920.0,0.52,0.53,0.53,0.51
27/01/20,1140480.0,0.52,0.52,0.53,0.51
28/01/20,2378460.0,0.53,0.53,0.53,0.51
29/01/20,1378610.0,0.52,0.52,0.53,0.51
30/01/20,4092020.0,0.51,0.52,0.52,0.5
31/01/20,8502145.0,0.52,0.49,0.52,0.48
03/02/20,1173250.0,0.48,0.48,0.48,0.47
04/02/20,2469400.0,0.48,0.5,0.5,0.48
05/02/20,2954420.0,0.5,0.5,0.51,0.495
06/02/20,954350.0,0.5,0.5,0.51,0.495
07/02/20,4956235.0,0.5,0.5,0.5,0.485
10/02/20,3013775.0,0.495,0.495,0.5,0.495
11/02/20,1138550.0,0.49,0.49,0.495,0.485
12/02/20,1121450.0,0.48,0.485,0.49,0.48
13/02/20,2892450.0,0.475,0.47,0.49,0.465
14/02/20,3847350.0,0.475,0.47,0.48,0.47
17/02/20,4012450.0,0.475,0.475,0.48,0.47
18/02/20,4181050.0,0.475,0.48,0.485,0.475
19/02/20,1994200.0,0.485,0.49,0.49,0.485
20/02/20,2820800.0,0.495,0.5,0.5,0.49
21/02/20,3492710.0,0.5,0.51,0.51,0.5
24/02/20,7159355.0,0.5,0.51,0.51,0.495
26/02/20,3598880.0,0.49,0.485,0.495,0.48
27/02/20,2331250.0,0.48,0.48,0.495,0.47
28/02/20,1572150.0,0.48,0.485,0.49,0.475
02/03/20,605500.0,0.475,0.485,0.485,0.47
