Date,Value,Open,Close,High,Low
02/01/20,149989.0,174.0,163.3,174.0,163.3
06/01/20,49780.0,171.8,170.0,172.0,170.0
07/01/20,25500.0,170.0,170.0,170.0,170.0
08/01/20,17000.0,170.0,170.0,170.0,170.0
09/01/20,37840.0,170.0,173.0,173.0,170.0
10/01/20,16550.0,165.5,165.5,165.5,165.5
16/01/20,29833.0,165.8,165.7,165.8,165.7
17/01/20,70570.0,179.3,169.0,179.3,169.0
21/01/20,33800.0,169.0,169.0,169.0,169.0
27/01/20,6600.0,165.0,165.0,165.0,165.0
03/02/20,140443.0,163.4,163.3,163.4,163.3
05/02/20,41080.0,163.3,165.0,165.0,163.3
07/02/20,72074.0,165.0,174.0,174.0,165.0
13/02/20,65099.0,207.6,189.9,207.6,185.0
14/02/20,11970.0,171.0,171.0,171.0,171.0
17/02/20,3844.0,194.4,190.0,194.4,190.0
18/02/20,30575.0,193.9,178.0,193.9,175.1
19/02/20,21739.0,180.0,193.9,193.9,180.0
20/02/20,234258.0,193.8,198.0,207.4,193.8
21/02/20,269712.0,199.8,228.0,228.0,198.0
24/02/20,66160.0,228.0,228.0,228.8,228.0
26/02/20,4556.0,227.8,227.8,227.8,227.8
27/02/20,4538.0,227.0,226.8,227.0,226.8
02/03/20,2248.0,224.8,224.8,224.8,224.8
03/03/20,28876.0,224.6,220.0,224.6,220.0
05/03/20,45780.0,218.0,218.0,218.0,218.0
06/03/20,10770.0,171.0,188.0,188.0,171.0
09/03/20,8250.0,160.0,180.0,180.0,160.0
10/03/20,44940.0,200.0,190.0,200.0,190.0
12/03/20,43606.0,150.1,140.0,150.1,140.0
13/03/20,31500.0,140.0,140.0,140.0,125.0
16/03/20,2800.0,140.0,140.0,140.0,140.0
19/03/20,40600.0,140.0,140.0,140.0,140.0
17/04/20,12480.0,104.0,104.0,104.0,104.0
20/04/20,122566.0,129.8,156.0,156.0,129.8
21/04/20,6250.0,157.0,156.0,157.0,156.0
23/04/20,28958.0,120.6,140.3,140.3,120.6
24/04/20,7015.0,140.3,140.3,140.3,140.3
29/04/20,78650.0,188.6,183.9,188.6,180.0
30/04/20,48600.0,180.0,180.0,180.0,180.0
05/05/20,11665.0,141.1,170.9,170.9,141.1
06/05/20,3418.0,170.9,170.9,170.9,170.9
12/05/20,7065.0,141.3,141.3,141.3,141.3
13/05/20,2841.0,142.0,142.1,142.1,142.0
14/05/20,177766.0,142.3,141.5,142.3,140.0
18/05/20,13800.0,138.0,138.0,138.0,138.0
20/05/20,27600.0,138.0,138.0,138.0,138.0
21/05/20,13800.0,138.0,138.0,138.0,138.0
22/05/20,13000.0,130.0,130.0,130.0,130.0
01/06/20,1303.0,130.3,130.3,130.3,130.3
08/06/20,2620.0,131.0,131.0,131.0,131.0
18/06/20,27510.0,131.0,131.0,131.0,131.0
22/06/20,6856.0,110.6,115.0,115.0,110.6
23/06/20,49619.0,146.9,135.0,146.9,130.0
24/06/20,15980.0,135.0,125.0,135.0,125.0
26/06/20,2401.0,120.0,120.1,120.1,120.0
29/06/20,27646.0,120.2,120.2,120.2,120.2
30/06/20,5901.0,110.7,129.0,129.0,110.7
07/07/20,1290.0,129.0,129.0,129.0,129.0
08/07/20,26946.0,115.3,129.0,129.0,115.3
27/07/20,1469.0,146.9,146.9,146.9,146.9
30/07/20,2580.0,118.0,140.0,140.0,118.0
11/08/20,4604.0,112.2,116.0,116.1,112.2
13/08/20,1170.0,117.0,117.0,117.0,117.0
14/08/20,17550.0,117.0,117.0,117.0,117.0
24/08/20,38070.0,115.0,115.0,116.0,115.0
26/08/20,5800.0,116.0,116.0,116.0,116.0
01/09/20,34571.0,110.9,112.1,112.1,110.9
04/09/20,2216.0,110.8,110.8,110.8,110.8
07/09/20,11080.0,110.8,110.8,110.8,110.8
08/09/20,1109.0,110.9,110.9,110.9,110.9
10/09/20,4436.0,110.9,110.9,110.9,110.9
14/09/20,1108.0,110.8,110.8,110.8,110.8
16/09/20,28822.0,111.0,110.8,111.0,110.8
17/09/20,3324.0,110.8,110.8,110.8,110.8
22/09/20,1108.0,110.8,110.8,110.8,110.8
23/09/20,121747.0,114.9,130.0,130.0,110.6
25/09/20,2322.0,112.2,120.0,120.0,112.2
28/09/20,8064.0,118.0,113.1,118.0,113.1
01/10/20,2264.0,113.2,113.2,113.2,113.2
02/10/20,5660.0,113.2,113.2,113.2,113.2
05/10/20,22602.0,113.2,113.0,113.2,113.0
08/10/20,16621672.0,120.0,115.0,165.0,110.7
12/10/20,6862.0,115.1,110.7,115.1,110.7
13/10/20,16635.0,111.0,111.0,111.0,110.7
19/10/20,22140.0,110.7,110.7,110.7,110.7
20/10/20,5530.0,110.6,110.6,110.6,110.6
22/10/20,6666.0,111.1,111.1,111.1,111.1
26/10/20,68250.0,127.0,128.0,147.0,126.9
27/10/20,1280.0,128.0,128.0,128.0,128.0
28/10/20,1208.0,120.8,120.8,120.8,120.8
29/10/20,2416.0,120.8,120.8,120.8,120.8
05/11/20,19511.0,121.1,122.0,122.0,121.1
06/11/20,4880.0,122.0,122.0,122.0,122.0
11/11/20,3663.0,122.1,122.1,122.1,122.1
17/11/20,9776.0,122.2,122.2,122.2,122.2
23/11/20,1222.0,122.2,122.2,122.2,122.2
24/11/20,36660.0,122.2,122.2,122.2,122.2
02/12/20,2444.0,122.2,122.2,122.2,122.2
03/12/20,7960.0,159.5,158.0,159.5,158.0
04/12/20,3140.0,159.0,155.0,159.0,155.0
21/12/20,3732.0,122.9,125.2,125.2,122.9
22/12/20,123137.0,125.4,144.9,149.9,125.4
23/12/20,38659.0,140.0,137.5,140.0,137.5
28/12/20,13930.0,130.0,126.3,130.0,126.3
29/12/20,38040.0,126.8,126.8,126.8,126.8
04/01/21,6390.0,127.8,127.8,127.8,127.8
07/01/21,6396.0,128.0,128.0,128.0,127.8
