Date,Value,Open,Close,High,Low
02/01/20,16589430.0,4.15,3.75,4.15,3.74
03/01/20,32300210.0,3.86,4.96,4.97,3.86
06/01/20,38561140.0,4.9,4.51,4.96,4.42
07/01/20,47139510.0,4.7,5.4,5.7,4.54
08/01/20,63712779.0,5.59,5.99,6.34,5.05
09/01/20,134839879.0,6.2,7.2,7.3,6.2
10/01/20,109971596.0,7.5,7.49,7.9,7.32
14/01/20,27571885.0,7.52,7.07,7.75,6.98
15/01/20,31778482.0,7.15,6.6,7.25,6.53
16/01/20,151267357.0,6.56,8.94,9.14,6.22
17/01/20,365970631.0,9.5,9.64,10.72,8.84
20/01/20,182936775.0,9.65,11.08,11.3,9.25
21/01/20,358925958.0,11.48,11.84,13.38,11.4
22/01/20,156144196.0,12.02,11.7,12.72,11.2
23/01/20,91558584.0,11.82,11.42,12.2,11.0
24/01/20,70202872.0,11.52,11.48,12.06,11.2
27/01/20,53629730.0,11.86,11.58,12.1,11.02
28/01/20,73623044.0,11.44,9.8,11.5,9.67
29/01/20,47009951.0,9.72,9.8,10.8,9.5
30/01/20,32202626.0,10.16,9.05,10.22,9.01
31/01/20,39447840.0,9.07,8.9,9.46,7.83
03/02/20,210839371.0,8.87,11.0,11.0,8.22
04/02/20,137721792.0,11.1,10.1,11.5,10.0
05/02/20,59310224.0,10.1,10.04,10.54,9.8
06/02/20,57876273.0,10.06,10.7,11.0,9.87
07/02/20,39297340.0,10.82,10.1,11.16,10.06
10/02/20,43645859.0,10.44,10.16,10.64,9.8
11/02/20,22108024.0,10.2,10.4,10.42,9.84
12/02/20,79455307.0,10.6,9.92,11.08,9.85
13/02/20,45412141.0,9.92,8.86,10.14,8.65
14/02/20,25135655.0,8.86,9.15,9.28,8.65
17/02/20,16527752.0,9.19,8.39,9.19,8.36
18/02/20,7842075.0,8.45,8.14,8.59,8.0
19/02/20,31431052.0,8.12,8.92,9.18,7.95
20/02/20,9795271.0,9.0,8.62,9.05,8.54
21/02/20,11720576.0,8.43,8.22,8.6,8.1
24/02/20,8746732.0,8.39,7.72,8.39,7.72
26/02/20,10497331.0,7.49,6.71,7.49,6.01
27/02/20,7355180.0,6.71,7.01,7.3,6.69
28/02/20,9047235.0,6.55,6.5,6.86,6.45
02/03/20,6492502.0,6.7,6.82,6.9,6.27
03/03/20,15321473.0,7.0,7.2,7.45,7.0
04/03/20,6753612.0,7.21,6.81,7.21,6.75
05/03/20,7394656.0,7.0,7.08,7.42,6.82
06/03/20,5158296.0,6.83,6.5,7.0,6.5
09/03/20,11688445.0,6.13,6.0,6.24,5.5
10/03/20,8005757.0,5.7,5.21,5.7,5.06
11/03/20,4475619.0,5.36,5.2,5.55,5.2
12/03/20,5711249.0,5.1,4.34,5.1,4.13
13/03/20,3290780.0,3.95,4.95,5.0,3.6
16/03/20,1016840.0,4.95,4.43,4.95,4.3
19/03/20,2073260.0,4.0,3.8,4.0,3.62
20/03/20,1524170.0,4.2,3.85,4.2,3.71
23/03/20,810810.0,3.82,3.8,3.82,3.65
24/03/20,2619390.0,3.95,4.1,4.26,3.85
25/03/20,14476170.0,4.34,5.7,5.7,4.32
26/03/20,46861647.0,6.26,6.94,7.2,6.1
27/03/20,29914640.0,7.04,6.3,7.2,6.1
30/03/20,14246084.0,6.24,6.4,6.55,5.8
31/03/20,22133397.0,6.55,6.65,6.94,6.5
01/04/20,7106431.0,6.69,6.4,6.69,6.31
02/04/20,4661580.0,6.3,6.16,6.3,6.0
03/04/20,6443916.0,6.23,6.3,6.55,6.23
06/04/20,5327260.0,6.45,6.55,6.59,6.29
07/04/20,13234550.0,6.75,6.2,6.9,6.17
08/04/20,36803845.0,6.2,5.97,6.27,5.94
13/04/20,7937868.0,5.99,5.86,6.1,5.83
14/04/20,5861313.0,5.87,6.08,6.09,5.81
15/04/20,27803666.0,6.46,6.86,6.86,6.35
16/04/20,127494627.0,7.1,8.85,9.05,7.1
17/04/20,169555708.0,9.5,8.72,9.99,8.45
20/04/20,104830096.0,8.8,9.61,9.64,8.1
21/04/20,60939204.0,9.64,9.0,9.7,8.78
22/04/20,104214039.0,8.78,8.9,9.3,8.6
23/04/20,44431497.0,9.15,8.71,9.25,8.64
24/04/20,100745375.0,8.68,8.4,9.1,8.32
27/04/20,23800626.0,8.3,8.3,8.8,8.15
28/04/20,45511155.0,8.6,9.1,9.1,8.2
29/04/20,39306834.0,9.2,8.81,9.4,8.61
30/04/20,30548473.0,8.9,9.0,9.15,8.5
04/05/20,30709504.0,8.98,8.59,8.98,8.55
