Date,Value,Open,Close,High,Low
02/01/20,5960.0,0.72,0.77,0.77,0.72
07/01/20,1510.0,0.74,0.77,0.77,0.74
08/01/20,3730.0,0.74,0.77,0.77,0.74
09/01/20,1510.0,0.74,0.77,0.77,0.74
14/01/20,760.0,0.76,0.76,0.76,0.76
16/01/20,52990.0,0.73,0.77,0.77,0.73
17/01/20,54840.0,0.74,0.77,0.77,0.74
21/01/20,12850.0,0.77,0.75,0.77,0.75
22/01/20,27000.0,0.75,0.75,0.75,0.75
23/01/20,18270.0,0.73,0.75,0.75,0.73
24/01/20,2250.0,0.75,0.75,0.75,0.75
27/01/20,750.0,0.75,0.75,0.75,0.75
31/01/20,5390.0,0.77,0.77,0.77,0.77
04/02/20,10010.0,0.77,0.77,0.77,0.77
05/02/20,6140.0,0.77,0.77,0.77,0.76
06/02/20,3850.0,0.77,0.77,0.77,0.77
07/02/20,15830.0,0.77,0.76,0.77,0.74
10/02/20,8320.0,0.76,0.76,0.76,0.75
12/02/20,31700.0,0.74,0.76,0.76,0.73
13/02/20,1490.0,0.73,0.76,0.76,0.73
14/02/20,1490.0,0.73,0.76,0.76,0.73
17/02/20,82180.0,0.77,0.78,0.79,0.77
18/02/20,17940.0,0.78,0.78,0.78,0.78
19/02/20,770.0,0.77,0.77,0.77,0.77
24/02/20,77820.0,0.73,0.73,0.73,0.7
26/02/20,1470.0,0.7,0.77,0.77,0.7
27/02/20,6930.0,0.77,0.77,0.77,0.77
28/02/20,10520.0,0.75,0.77,0.77,0.75
02/03/20,1540.0,0.77,0.77,0.77,0.77
04/03/20,760.0,0.76,0.76,0.76,0.76
05/03/20,750.0,0.75,0.75,0.75,0.75
09/03/20,14950.0,0.71,0.75,0.75,0.71
10/03/20,27000.0,0.75,0.75,0.75,0.75
11/03/20,2250.0,0.75,0.75,0.75,0.75
13/03/20,240420.0,0.7,0.7,0.7,0.65
19/03/20,4590.0,0.65,0.65,0.69,0.65
20/03/20,13800.0,0.69,0.69,0.69,0.69
24/03/20,17680.0,0.68,0.68,0.68,0.68
31/03/20,7520.0,0.7,0.68,0.7,0.68
02/04/20,2750.0,0.54,0.59,0.59,0.54
03/04/20,53190.0,0.62,0.74,0.74,0.62
06/04/20,2250.0,0.75,0.75,0.75,0.75
07/04/20,740.0,0.74,0.74,0.74,0.74
08/04/20,2160.0,0.72,0.72,0.72,0.72
14/04/20,740.0,0.74,0.74,0.74,0.74
16/04/20,2900.0,0.74,0.74,0.74,0.68
17/04/20,14380.0,0.7,0.72,0.72,0.7
20/04/20,15100.0,0.72,0.72,0.72,0.7
22/04/20,750.0,0.75,0.75,0.75,0.75
28/04/20,740.0,0.74,0.74,0.74,0.74
30/04/20,1480.0,0.74,0.74,0.74,0.74
05/05/20,30630.0,0.74,0.76,0.76,0.72
06/05/20,1470.0,0.72,0.75,0.75,0.72
07/05/20,44640.0,0.72,0.72,0.72,0.72
11/05/20,9360.0,0.72,0.72,0.72,0.72
13/05/20,12960.0,0.72,0.72,0.72,0.72
18/05/20,45470.0,0.77,0.72,0.77,0.72
19/05/20,9290.0,0.72,0.71,0.72,0.71
22/05/20,2610.0,0.64,0.66,0.67,0.64
27/05/20,31280.0,0.68,0.68,0.68,0.68
28/05/20,37450.0,0.76,0.69,0.76,0.69
29/05/20,7100.0,0.71,0.71,0.71,0.71
02/06/20,6900.0,0.69,0.69,0.69,0.69
03/06/20,4830.0,0.69,0.69,0.69,0.69
04/06/20,6450.0,0.69,0.64,0.69,0.64
05/06/20,48870.0,0.74,0.69,0.74,0.69
08/06/20,51040.0,0.7,0.72,0.72,0.7
09/06/20,45130.0,0.72,0.7,0.73,0.7
11/06/20,700.0,0.7,0.7,0.7,0.7
15/06/20,15120.0,0.72,0.72,0.72,0.72
16/06/20,3500.0,0.7,0.7,0.7,0.7
17/06/20,18040.0,0.69,0.7,0.7,0.69
22/06/20,10370.0,0.7,0.69,0.7,0.69
25/06/20,10350.0,0.69,0.69,0.69,0.69
26/06/20,690.0,0.69,0.69,0.69,0.69
29/06/20,15040.0,0.68,0.69,0.69,0.68
30/06/20,14890.0,0.74,0.75,0.75,0.74
01/07/20,19500.0,0.75,0.75,0.75,0.75
03/07/20,14800.0,0.74,0.74,0.74,0.74
07/07/20,5920.0,0.74,0.74,0.74,0.74
08/07/20,9620.0,0.74,0.74,0.74,0.74
09/07/20,26940.0,0.7,0.75,0.75,0.7
13/07/20,5180.0,0.74,0.74,0.74,0.74
14/07/20,1440.0,0.72,0.72,0.72,0.72
15/07/20,3700.0,0.74,0.74,0.74,0.74
16/07/20,32100.0,0.75,0.71,0.75,0.71
17/07/20,12070.0,0.71,0.71,0.71,0.71
21/07/20,700.0,0.7,0.7,0.7,0.7
22/07/20,710.0,0.71,0.71,0.71,0.71
23/07/20,2130.0,0.71,0.71,0.71,0.71
28/07/20,116110.0,0.71,0.66,0.71,0.66
03/08/20,26610.0,0.75,0.7,0.75,0.7
04/08/20,79090.0,0.69,0.67,0.69,0.66
05/08/20,1360.0,0.68,0.68,0.68,0.68
10/08/20,4080.0,0.68,0.68,0.68,0.68
19/08/20,15400.0,0.7,0.7,0.7,0.7
24/08/20,28000.0,0.7,0.7,0.7,0.7
26/08/20,15330.0,0.73,0.73,0.73,0.73
27/08/20,30790.0,0.74,0.73,0.74,0.73
01/09/20,21050.0,0.72,0.73,0.73,0.72
02/09/20,106400.0,0.7,0.7,0.7,0.7
03/09/20,40580.0,0.72,0.73,0.73,0.72
08/09/20,4230.0,0.7,0.71,0.71,0.7
09/09/20,37100.0,0.7,0.7,0.7,0.7
10/09/20,93840.0,0.72,0.73,0.73,0.72
11/09/20,62860.0,0.72,0.74,0.74,0.72
14/09/20,144630.0,0.75,0.74,0.75,0.73
15/09/20,8400.0,0.7,0.7,0.7,0.7
16/09/20,80550.0,0.73,0.75,0.76,0.73
17/09/20,22330.0,0.73,0.72,0.73,0.72
25/09/20,2040.0,0.66,0.72,0.72,0.66
30/09/20,82290.0,0.69,0.68,0.69,0.68
01/10/20,69360.0,0.68,0.68,0.68,0.68
02/10/20,670.0,0.67,0.67,0.67,0.67
05/10/20,9550.0,0.65,0.7,0.7,0.65
07/10/20,1970.0,0.62,0.7,0.7,0.62
09/10/20,16800.0,0.7,0.7,0.7,0.7
12/10/20,51700.0,0.7,0.68,0.73,0.68
14/10/20,41400.0,0.69,0.69,0.69,0.69
15/10/20,22580.0,0.68,0.7,0.7,0.68
16/10/20,78110.0,0.68,0.69,0.69,0.66
19/10/20,2790.0,0.69,0.7,0.7,0.69
20/10/20,12180.0,0.7,0.7,0.7,0.67
21/10/20,89270.0,0.69,0.7,0.73,0.69
22/10/20,5440.0,0.68,0.68,0.68,0.68
23/10/20,46920.0,0.69,0.69,0.69,0.69
26/10/20,2130.0,0.71,0.71,0.71,0.71
27/10/20,7480.0,0.68,0.68,0.68,0.68
28/10/20,4900.0,0.7,0.7,0.7,0.7
29/10/20,710.0,0.71,0.71,0.71,0.71
04/11/20,11250.0,0.73,0.7,0.73,0.7
05/11/20,21890.0,0.7,0.68,0.7,0.68
09/11/20,34220.0,0.69,0.68,0.69,0.68
11/11/20,8840.0,0.68,0.68,0.68,0.68
13/11/20,58140.0,0.73,0.72,0.73,0.69
16/11/20,7100.0,0.71,0.71,0.71,0.71
17/11/20,69310.0,0.71,0.7,0.71,0.7
18/11/20,23360.0,0.73,0.73,0.73,0.73
19/11/20,2130.0,0.7,0.73,0.73,0.7
20/11/20,18870.0,0.71,0.72,0.72,0.69
23/11/20,41700.0,0.72,0.71,0.73,0.71
24/11/20,3131530.0,0.7,0.8,0.95,0.7
25/11/20,480940.0,0.8,0.76,0.8,0.74
26/11/20,88550.0,0.78,0.74,0.78,0.73
27/11/20,171370.0,0.7,0.74,0.74,0.7
01/12/20,164130.0,0.73,0.73,0.73,0.72
02/12/20,58660.0,0.72,0.73,0.73,0.72
03/12/20,2920.0,0.73,0.73,0.73,0.73
04/12/20,40100.0,0.73,0.73,0.73,0.72
07/12/20,84170.0,0.73,0.71,0.73,0.71
09/12/20,59490.0,0.73,0.74,0.74,0.72
10/12/20,126560.0,0.74,0.75,0.75,0.72
11/12/20,84900.0,0.75,0.77,0.78,0.75
14/12/20,287370.0,0.77,0.78,0.78,0.77
15/12/20,80690.0,0.77,0.74,0.77,0.74
16/12/20,74580.0,0.74,0.77,0.77,0.74
17/12/20,519080.0,0.75,0.79,0.82,0.74
18/12/20,17030.0,0.77,0.79,0.79,0.77
21/12/20,77430.0,0.8,0.75,0.8,0.75
22/12/20,69200.0,0.75,0.75,0.78,0.75
23/12/20,1510.0,0.74,0.77,0.77,0.74
28/12/20,150390.0,0.74,0.74,0.76,0.71
29/12/20,168220.0,0.73,0.73,0.73,0.71
04/01/21,27100.0,0.71,0.73,0.73,0.71
05/01/21,26640.0,0.73,0.74,0.77,0.73
06/01/21,145410.0,0.74,0.76,0.76,0.74
07/01/21,80250.0,0.75,0.75,0.75,0.75
08/01/21,31330.0,0.75,0.76,0.76,0.74
11/01/21,96720.0,0.75,0.75,0.76,0.75
