Date,Value,Open,Close,High,Low
02/01/20,27670.0,0.81,0.82,0.85,0.81
03/01/20,26720.0,0.85,0.83,0.85,0.82
06/01/20,34830.0,0.83,0.82,0.83,0.82
07/01/20,1680.0,0.84,0.84,0.84,0.84
08/01/20,3340.0,0.83,0.85,0.85,0.83
09/01/20,20430.0,0.85,0.86,0.86,0.85
10/01/20,41430.0,0.83,0.82,0.85,0.82
14/01/20,2530.0,0.85,0.83,0.85,0.83
15/01/20,19090.0,0.83,0.83,0.83,0.83
16/01/20,42900.0,0.85,0.86,0.86,0.85
17/01/20,104010.0,0.86,0.86,0.86,0.84
20/01/20,16630.0,0.83,0.86,0.86,0.83
21/01/20,30930.0,0.85,0.87,0.87,0.85
23/01/20,18940.0,0.86,0.87,0.87,0.86
28/01/20,3370.0,0.84,0.87,0.87,0.83
29/01/20,1344210.0,0.87,0.8,0.87,0.75
30/01/20,111990.0,0.8,0.8,0.8,0.79
31/01/20,118680.0,0.8,0.79,0.8,0.79
03/02/20,66780.0,0.79,0.8,0.8,0.78
04/02/20,222400.0,0.8,0.8,0.8,0.8
05/02/20,12000.0,0.82,0.8,0.82,0.78
07/02/20,3200.0,0.8,0.8,0.8,0.8
11/02/20,9480.0,0.79,0.79,0.79,0.79
12/02/20,16540.0,0.83,0.82,0.83,0.82
13/02/20,3280.0,0.82,0.82,0.82,0.82
14/02/20,19680.0,0.82,0.82,0.82,0.82
18/02/20,19170.0,0.82,0.81,0.82,0.78
19/02/20,1620.0,0.81,0.81,0.81,0.81
20/02/20,3210.0,0.8,0.81,0.81,0.8
24/02/20,606760.0,0.81,0.8,0.82,0.78
26/02/20,64800.0,0.8,0.8,0.8,0.8
27/02/20,18300.0,0.79,0.8,0.8,0.79
28/02/20,3990.0,0.79,0.8,0.8,0.79
02/03/20,53020.0,0.77,0.78,0.78,0.77
03/03/20,104510.0,0.78,0.78,0.78,0.77
04/03/20,3160.0,0.79,0.79,0.79,0.79
05/03/20,790.0,0.79,0.79,0.79,0.79
10/03/20,46870.0,0.77,0.77,0.77,0.76
11/03/20,90450.0,0.76,0.77,0.77,0.76
12/03/20,40350.0,0.75,0.72,0.75,0.72
13/03/20,92790.0,0.73,0.75,0.75,0.68
