Date,Value,Open,Close,High,Low
02/01/20,849.0,8.49,8.49,8.49,8.49
03/01/20,5943.0,8.49,8.49,8.49,8.49
06/01/20,5094.0,8.49,8.49,8.49,8.49
10/01/20,2940.0,6.22,8.48,8.48,6.22
20/01/20,5213.0,7.03,8.49,8.49,7.03
28/01/20,848.0,8.48,8.48,8.48,8.48
06/02/20,1549.0,7.02,8.47,8.47,7.02
10/02/20,3412.0,7.02,8.47,8.47,6.21
04/03/20,846.0,8.46,8.46,8.46,8.46
07/05/20,1470.0,6.27,8.43,8.43,6.27
21/05/20,1688.0,8.44,8.44,8.44,8.44
03/06/20,2532.0,8.44,8.44,8.44,8.44
20/07/20,1494.0,6.5,8.44,8.44,6.5
22/07/20,87996.0,8.49,8.44,8.49,8.44
27/07/20,20000.0,8.0,8.0,8.0,8.0
29/07/20,7800.0,7.8,7.8,7.8,7.8
30/07/20,9152.0,6.62,8.49,8.49,6.62
04/08/20,849.0,8.49,8.49,8.49,8.49
27/08/20,1600.0,8.0,8.0,8.0,8.0
03/09/20,2475.0,8.25,8.25,8.25,8.25
20/10/20,819.0,8.19,8.19,8.19,8.19
22/10/20,6344.0,8.19,8.19,8.19,6.8
27/10/20,25233718.0,8.19,8.2,8.2,5.8
03/11/20,3276.0,8.19,8.19,8.19,8.19
23/11/20,0.0,0.0,0.0,0.0,0.0
24/11/20,809.0,8.09,8.09,8.09,8.09
26/11/20,11326.0,8.09,8.09,8.09,8.09
02/12/20,2231.0,6.14,8.09,8.09,6.14
21/12/20,850.0,8.5,8.5,8.5,8.5
22/12/20,1696.0,8.48,8.48,8.48,8.48
05/01/21,1192.0,5.96,5.96,5.96,5.96
06/01/21,1097588.0,8.39,8.5,8.5,8.3
07/01/21,34850.0,8.5,8.5,8.5,8.5
08/01/21,306206.0,7.25,8.5,8.5,6.5
11/01/21,65764.0,6.51,8.49,8.49,6.51
