Date,Value,Open,Close,High,Low
02/01/20,32400.0,0.27,0.27,0.27,0.27
03/01/20,24300.0,0.27,0.27,0.27,0.27
06/01/20,194400.0,0.27,0.27,0.27,0.27
08/01/20,5400.0,0.27,0.27,0.27,0.27
10/01/20,35100.0,0.27,0.27,0.27,0.27
14/01/20,127650.0,0.27,0.27,0.275,0.265
15/01/20,29700.0,0.27,0.27,0.27,0.27
20/01/20,8250.0,0.275,0.275,0.275,0.275
21/01/20,80500.0,0.27,0.27,0.27,0.265
22/01/20,81000.0,0.27,0.27,0.27,0.27
23/01/20,32400.0,0.27,0.27,0.27,0.27
24/01/20,2700.0,0.27,0.27,0.27,0.27
27/01/20,43200.0,0.27,0.27,0.27,0.27
29/01/20,24300.0,0.27,0.27,0.27,0.27
30/01/20,103100.0,0.27,0.27,0.27,0.26
31/01/20,91800.0,0.27,0.27,0.27,0.27
03/02/20,48200.0,0.27,0.27,0.27,0.265
04/02/20,71950.0,0.27,0.27,0.27,0.265
05/02/20,2750.0,0.275,0.275,0.275,0.275
06/02/20,13500.0,0.27,0.27,0.27,0.27
07/02/20,2700.0,0.27,0.27,0.27,0.27
11/02/20,22000.0,0.275,0.275,0.275,0.275
12/02/20,32400.0,0.27,0.27,0.27,0.27
18/02/20,27000.0,0.27,0.27,0.27,0.27
19/02/20,5400.0,0.27,0.27,0.27,0.27
21/02/20,27000.0,0.27,0.27,0.27,0.27
24/02/20,27000.0,0.27,0.27,0.27,0.27
26/02/20,82200.0,0.265,0.27,0.27,0.265
27/02/20,51300.0,0.27,0.27,0.27,0.27
28/02/20,35100.0,0.27,0.27,0.27,0.27
02/03/20,40500.0,0.27,0.27,0.27,0.27
04/03/20,18900.0,0.27,0.27,0.27,0.27
05/03/20,37800.0,0.27,0.27,0.27,0.27
06/03/20,296650.0,0.27,0.275,0.295,0.265
09/03/20,245700.0,0.275,0.28,0.28,0.26
10/03/20,150800.0,0.27,0.27,0.27,0.265
11/03/20,78300.0,0.27,0.27,0.27,0.27
12/03/20,157600.0,0.27,0.26,0.27,0.26
13/03/20,126300.0,0.26,0.25,0.26,0.25
16/03/20,25000.0,0.25,0.25,0.25,0.25
20/03/20,36700.0,0.25,0.25,0.25,0.23
24/03/20,14600.0,0.245,0.24,0.245,0.24
25/03/20,27400.0,0.24,0.25,0.25,0.24
26/03/20,12500.0,0.25,0.25,0.25,0.25
31/03/20,48560.0,0.23,0.246,0.249,0.23
01/04/20,74380.0,0.24,0.2,0.24,0.2
02/04/20,14350.0,0.205,0.205,0.205,0.205
06/04/20,201000.0,0.201,0.201,0.201,0.201
07/04/20,4490.0,0.21,0.239,0.239,0.21
13/04/20,244560.0,0.23,0.22,0.23,0.21
14/04/20,107200.0,0.22,0.219,0.22,0.21
15/04/20,181610.0,0.21,0.211,0.214,0.21
16/04/20,168640.0,0.209,0.208,0.209,0.208
17/04/20,169290.0,0.205,0.204,0.207,0.203
