Date,Value,Open,Close,High,Low
02/01/20,34585.0,30.0,29.8,30.0,27.1
03/01/20,7179380.0,30.0,30.0,30.9,29.8
06/01/20,73925.0,28.85,31.0,32.0,28.85
07/01/20,174150.0,31.0,32.0,32.0,30.0
08/01/20,35530.0,32.3,32.3,32.3,32.3
10/01/20,48445.0,32.0,32.4,32.4,32.0
14/01/20,19063920.0,32.3,32.2,32.35,32.0
15/01/20,164510.0,32.2,32.25,32.4,32.2
16/01/20,466560.0,32.4,32.4,32.4,32.4
17/01/20,460080.0,32.4,32.4,32.4,32.4
20/01/20,119830.0,32.3,32.4,32.4,32.3
21/01/20,2817540.0,32.4,32.5,32.5,32.4
22/01/20,526680.0,32.1,31.5,32.1,31.5
23/01/20,2693250.0,31.5,31.5,31.5,31.5
24/01/20,18630.0,31.5,30.6,31.5,30.6
29/01/20,3250.0,32.5,32.5,32.5,32.5
30/01/20,16245.0,32.45,32.5,32.5,32.45
31/01/20,15300.0,30.6,30.6,30.6,30.6
03/02/20,6225.0,30.1,32.15,32.15,30.1
06/02/20,21055.0,30.1,30.05,30.1,30.05
10/02/20,99495.0,30.15,30.15,30.15,30.15
11/02/20,87435.0,30.15,30.15,30.15,30.15
12/02/20,1586960.0,30.15,30.15,30.2,29.8
13/02/20,5264140.0,30.15,30.05,30.15,30.05
17/02/20,12020.0,30.05,30.05,30.05,30.05
19/02/20,48365.0,31.0,30.05,31.0,30.05
20/02/20,12020.0,30.05,30.05,30.05,30.05
26/02/20,8790.0,30.05,28.9,30.05,28.9
27/02/20,17310.0,28.85,28.85,28.85,28.85
28/02/20,9000.0,30.0,30.0,30.0,30.0
02/03/20,18450.0,31.5,30.0,31.5,30.0
06/03/20,6240.0,31.2,31.2,31.2,31.2
09/03/20,14285.0,28.85,28.5,28.85,28.5
10/03/20,205600.0,28.0,29.0,29.0,28.0
11/03/20,5800.0,29.0,29.0,29.0,29.0
12/03/20,114400.0,29.0,25.0,29.0,25.0
13/03/20,7500.0,25.0,25.0,25.0,25.0
16/03/20,6090.0,30.45,30.45,30.45,30.45
20/03/20,5895.0,29.95,29.0,29.95,29.0
31/03/20,298155.0,28.95,28.95,28.95,28.9
01/04/20,2895.0,28.95,28.95,28.95,28.95
02/04/20,33525.0,28.0,27.85,28.0,27.85
03/04/20,2505.0,25.05,25.05,25.05,25.05
06/04/20,30060.0,25.05,25.05,25.05,25.05
13/04/20,40140.0,25.15,25.0,25.15,25.0
14/04/20,37260.0,28.85,28.5,28.85,28.5
15/04/20,11470.0,28.5,28.85,28.85,28.5
16/04/20,2220.0,22.2,22.2,22.2,22.2
17/04/20,120650.0,28.3,27.8,28.3,27.75
20/04/20,31900.0,27.0,26.5,27.0,26.5
21/04/20,224895.0,25.0,25.0,25.0,24.0
22/04/20,125000.0,25.0,25.0,25.0,25.0
23/04/20,15000.0,25.0,25.0,25.0,25.0
24/04/20,525730.0,24.3,24.0,24.3,23.55
27/04/20,5540.0,27.5,27.9,27.9,27.5
28/04/20,196955.0,25.4,25.2,25.4,25.0
29/04/20,296960.0,25.0,24.75,25.0,24.75
30/04/20,364005.0,26.5,24.0,26.5,24.0
04/05/20,72330.0,25.7,24.0,25.7,23.95
05/05/20,234895.0,24.0,23.8,24.0,23.5
06/05/20,2360.0,23.6,23.6,23.6,23.6
07/05/20,306820.0,23.6,23.6,23.7,23.6
08/05/20,44370.0,23.4,23.4,23.4,23.3
11/05/20,11820.0,23.4,24.0,24.0,23.4
12/05/20,171900.0,24.0,23.4,24.0,23.4
14/05/20,23000.0,23.0,23.0,23.0,23.0
15/05/20,28790.0,23.95,23.95,24.0,23.95
18/05/20,38395.0,23.95,24.0,24.0,23.95
19/05/20,18610.0,23.3,23.0,23.3,23.0
20/05/20,125540.0,23.0,23.0,24.0,23.0
21/05/20,128800.0,23.0,23.0,23.0,23.0
22/05/20,63935.0,22.75,23.0,23.0,22.75
26/05/20,6825.0,22.75,22.75,22.75,22.75
28/05/20,18225.0,22.75,22.8,22.8,22.75
29/05/20,34150.0,24.0,24.5,24.5,24.0
01/06/20,7240.0,24.4,24.0,24.4,24.0
02/06/20,79190.0,24.0,24.0,24.0,23.9
03/06/20,19200.0,24.0,24.0,24.0,24.0
04/06/20,5234500.0,23.0,24.0,24.0,23.0
05/06/20,49660.0,23.0,23.0,24.0,23.0
08/06/20,541455.0,22.25,22.5,23.0,22.25
09/06/20,427865.0,22.5,22.5,22.95,22.5
10/06/20,112850.0,23.0,22.5,24.0,22.5
11/06/20,171625.0,22.25,22.5,22.5,22.25
15/06/20,160280.0,22.5,22.0,22.5,22.0
16/06/20,156200.0,22.0,22.0,22.0,22.0
17/06/20,78630.0,22.05,21.5,22.05,21.5
18/06/20,275980.0,21.5,20.3,21.5,20.2
19/06/20,308165.0,21.0,20.95,21.0,20.9
22/06/20,220135.0,21.0,20.5,21.0,20.5
23/06/20,160990.0,20.5,20.9,20.95,20.4
24/06/20,166930.0,21.0,21.0,21.85,21.0
25/06/20,18545.0,21.0,20.55,21.0,20.55
26/06/20,98745.0,20.55,20.0,21.0,20.0
29/06/20,86170.0,20.0,20.2,20.85,19.0
30/06/20,45250.0,20.0,20.95,20.95,20.0
01/07/20,2095.0,20.95,20.95,20.95,20.95
02/07/20,194960.0,20.95,20.9,20.95,20.0
03/07/20,80915.0,20.7,20.3,20.7,19.8
06/07/20,43071135.0,20.0,20.0,20.3,20.0
07/07/20,2105720.0,20.45,20.9,20.9,20.0
08/07/20,10050.0,20.1,20.1,20.1,20.1
09/07/20,293658.0,20.3,19.0,20.3,19.0
10/07/20,12604148.0,19.12,19.7,19.96,19.12
13/07/20,16630230.0,19.7,19.18,19.8,19.16
14/07/20,14190.0,20.25,20.3,20.3,20.25
15/07/20,20210.0,20.3,20.0,20.3,20.0
17/07/20,3956.0,20.5,19.06,20.5,19.06
21/07/20,239484.0,19.1,19.0,19.1,18.98
23/07/20,26056.0,18.74,18.5,18.74,18.5
24/07/20,57710.0,18.5,18.8,18.8,18.5
27/07/20,93812.0,18.14,17.58,18.14,17.04
28/07/20,7669682.0,17.58,19.0,19.0,17.58
29/07/20,3809490.0,18.98,19.0,19.0,18.98
03/08/20,114642.0,19.5,18.0,19.92,17.62
04/08/20,40050.0,18.1,18.2,18.3,18.1
05/08/20,27350.0,18.3,18.1,18.3,18.1
06/08/20,41712.0,18.96,18.96,18.96,18.96
07/08/20,7600.0,19.0,19.0,19.0,19.0
10/08/20,7600.0,19.0,19.0,19.0,19.0
11/08/20,7822300.0,19.0,19.0,19.0,19.0
12/08/20,5088744.0,19.0,18.44,19.0,18.0
13/08/20,3910648.0,18.0,18.0,18.88,18.0
14/08/20,9000.0,18.0,18.0,18.0,18.0
17/08/20,111600.0,18.0,18.0,18.0,18.0
18/08/20,3945422.0,18.0,18.8,19.0,18.0
20/08/20,11289800.0,19.0,19.0,19.0,19.0
24/08/20,10157352.0,19.0,19.0,19.0,18.52
25/08/20,24210.0,18.62,18.64,18.64,18.62
26/08/20,1864.0,18.64,18.64,18.64,18.64
27/08/20,3870598.0,19.0,19.0,19.2,19.0
28/08/20,26360.0,18.8,18.82,19.0,18.8
01/09/20,8482812.0,18.92,18.74,18.92,18.0
03/09/20,1900.0,19.0,19.0,19.0,19.0
04/09/20,11400.0,19.0,19.0,19.0,19.0
07/09/20,237262.0,19.7,20.1,22.5,19.7
08/09/20,165818.0,20.0,19.9,20.0,19.1
09/09/20,17948.0,19.92,19.92,20.0,19.92
10/09/20,912000.0,20.0,20.0,20.0,20.0
11/09/20,71827.0,20.8,19.5,20.85,19.5
14/09/20,236810.0,20.5,21.0,21.0,20.5
15/09/20,50400.0,21.0,21.0,21.0,21.0
16/09/20,281734.0,20.05,20.0,20.05,19.78
17/09/20,1265875.0,20.0,20.75,20.75,20.0
22/09/20,35535.0,20.9,20.95,20.95,20.9
23/09/20,238675.0,20.5,21.95,21.95,20.5
24/09/20,122400.0,21.0,21.9,21.9,21.0
25/09/20,34515.0,21.75,21.5,21.75,21.5
28/09/20,72035.0,21.7,21.4,21.7,21.0
29/09/20,1132705.0,21.1,21.45,21.5,21.1
30/09/20,45470.0,20.85,21.4,21.4,20.05
01/10/20,7569185.0,20.75,21.2,21.2,20.75
02/10/20,268940.0,20.1,21.2,21.5,20.1
05/10/20,154250.0,21.6,20.2,21.6,20.2
06/10/20,132500.0,21.5,20.5,21.5,20.5
07/10/20,144210.0,20.15,20.5,20.5,20.0
08/10/20,276440.0,20.5,19.7,21.3,19.54
09/10/20,3960.0,19.8,19.8,19.8,19.8
12/10/20,1900950.0,19.8,19.8,19.9,19.8
13/10/20,66142.0,20.9,20.5,20.9,19.88
16/10/20,274826.0,20.15,19.7,20.45,19.58
20/10/20,1421960.0,19.8,20.0,20.0,19.8
21/10/20,343270.0,20.0,20.25,20.4,20.0
22/10/20,2841229.0,20.25,21.0,21.0,19.84
23/10/20,8016475.0,20.95,20.9,20.95,20.35
26/10/20,331070.0,20.9,20.45,20.9,20.35
27/10/20,162300.0,20.9,21.0,21.0,20.35
28/10/20,44320880.0,21.0,21.0,21.0,20.7
29/10/20,154760.0,21.2,21.0,21.25,21.0
30/10/20,93195.0,21.0,21.5,21.75,21.0
03/11/20,230785.0,21.6,21.4,21.7,20.55
05/11/20,29910.0,21.4,21.4,21.4,21.3
06/11/20,3382115.0,21.4,21.45,21.45,20.7
09/11/20,164930.0,21.45,21.45,21.45,21.35
10/11/20,7047240.0,21.4,21.4,21.45,21.4
11/11/20,25640.0,21.3,21.5,21.5,21.3
13/11/20,13959960.0,21.05,21.5,21.8,20.2
16/11/20,10606705.0,21.5,21.4,21.5,21.2
17/11/20,2341850.0,21.75,21.7,21.75,21.45
18/11/20,2496150.0,21.8,21.7,21.8,21.6
19/11/20,3889330.0,21.8,21.95,21.95,21.75
20/11/20,5115175.0,21.95,21.8,21.95,21.8
23/11/20,4563070.0,22.0,22.0,22.5,21.95
24/11/20,14302000.0,22.0,22.0,22.0,21.8
25/11/20,6063225.0,22.0,22.9,23.0,22.0
26/11/20,4452490.0,23.0,22.8,23.5,22.8
27/11/20,8247100.0,22.8,23.2,23.2,22.8
01/12/20,257750.0,23.3,23.75,23.9,23.0
02/12/20,87555.0,23.8,23.8,23.8,23.5
03/12/20,358195.0,23.6,23.55,23.6,23.5
04/12/20,3826245.0,22.6,22.9,23.25,22.6
07/12/20,3576165.0,22.95,22.9,23.45,22.85
09/12/20,13750310.0,22.85,22.85,23.0,22.85
10/12/20,11372635.0,23.0,22.85,23.0,22.8
11/12/20,3483580.0,22.85,22.9,23.4,22.8
14/12/20,3031325.0,22.9,22.75,23.0,22.7
15/12/20,4979095.0,22.75,22.55,22.75,22.55
16/12/20,1351020.0,22.5,22.55,22.65,22.5
17/12/20,2729355.0,22.5,22.55,23.0,22.45
18/12/20,77875.0,23.3,22.75,23.3,22.7
21/12/20,179150.0,22.95,23.3,23.4,22.95
22/12/20,1023185.0,23.45,23.3,23.5,23.0
23/12/20,345350.0,23.2,23.3,23.3,23.0
28/12/20,572350.0,23.35,22.7,23.35,22.65
29/12/20,739715.0,22.65,23.4,23.4,22.65
04/01/21,194240.0,23.4,22.65,23.5,22.55
05/01/21,1531695.0,22.85,22.55,22.85,22.55
06/01/21,872485.0,23.0,22.5,23.0,22.5
07/01/21,591925.0,23.4,22.5,23.4,22.45
08/01/21,432055.0,22.1,22.35,22.6,22.1
11/01/21,572750.0,22.5,22.0,22.5,22.0
