Date,Value,Open,Close,High,Low
02/01/20,39888.0,64.4,64.3,64.4,64.3
03/01/20,37781.0,64.1,64.0,64.1,64.0
06/01/20,64595.0,64.0,64.0,64.0,63.8
07/01/20,48349.0,63.7,63.7,63.7,63.5
08/01/20,41734.0,63.2,63.1,64.5,63.1
09/01/20,255338.0,63.0,62.7,63.0,62.7
14/01/20,12908.0,65.0,62.7,65.0,62.7
16/01/20,18006.5,61.35,67.0,67.0,61.25
17/01/20,20098.0,67.0,67.0,67.0,66.95
20/01/20,8040.0,67.0,67.0,67.0,67.0
21/01/20,56287.5,64.2,64.2,66.75,64.2
22/01/20,32100.0,64.2,64.2,64.2,64.2
23/01/20,12964.5,64.2,61.45,64.2,61.45
24/01/20,15000.0,62.5,62.5,62.5,62.5
27/01/20,76774.5,62.5,61.6,62.5,61.6
28/01/20,12335.0,61.7,61.6,61.7,61.6
29/01/20,1232.0,61.6,61.6,61.6,61.6
30/01/20,34572.5,63.0,61.45,63.0,61.45
31/01/20,73102.0,61.5,61.3,61.5,61.3
03/02/20,5880.0,58.8,58.8,58.8,58.8
04/02/20,16708.0,60.0,60.0,60.0,58.85
06/02/20,5900.0,59.0,59.0,59.0,59.0
07/02/20,44137.5,58.85,58.85,58.85,58.85
10/02/20,17066.5,58.85,58.85,58.85,58.85
12/02/20,12980.0,59.0,59.0,59.0,59.0
13/02/20,24190.0,59.0,59.0,59.0,59.0
14/02/20,180267.0,67.7,61.05,70.0,61.05
17/02/20,87678.0,69.95,59.85,69.95,59.85
18/02/20,61671.0,59.9,59.85,60.0,59.85
19/02/20,12211.0,60.75,66.85,66.85,60.75
20/02/20,3000.0,60.0,60.0,60.0,60.0
21/02/20,24726.0,61.0,64.7,64.7,60.8
24/02/20,47884.0,60.9,60.3,60.9,60.3
26/02/20,27000.0,60.0,60.0,60.0,60.0
27/02/20,1851.0,59.1,66.9,66.9,59.1
28/02/20,53453.0,59.1,66.4,66.4,58.9
02/03/20,11775.5,58.9,58.85,58.9,58.85
03/03/20,20607.0,58.9,58.85,58.9,58.85
04/03/20,11770.0,58.85,58.85,58.85,58.85
06/03/20,36789.0,59.0,58.85,62.0,58.85
09/03/20,46203.0,58.85,56.0,58.85,56.0
10/03/20,19030.0,56.0,56.0,56.0,55.0
12/03/20,15000.0,50.0,50.0,50.0,50.0
13/03/20,31468.5,49.95,49.95,49.95,49.95
25/03/20,12000.0,60.0,60.0,60.0,60.0
27/03/20,12000.0,60.0,60.0,60.0,60.0
01/04/20,5008.0,45.5,45.8,45.8,45.5
03/04/20,36830.0,46.2,46.0,46.2,46.0
13/04/20,4800.0,48.0,48.0,48.0,48.0
14/04/20,100400.0,50.0,50.0,52.0,50.0
17/04/20,7950.0,53.0,53.0,53.0,53.0
22/04/20,12732.0,53.05,53.05,53.05,53.05
23/04/20,40845.5,54.0,59.95,64.0,54.0
24/04/20,22099.0,59.9,50.5,59.9,49.05
27/04/20,510.0,51.0,51.0,51.0,51.0
28/04/20,30549.0,59.9,59.9,59.9,59.9
29/04/20,193695.0,58.5,60.0,60.0,58.5
30/04/20,18450.0,60.0,60.0,60.0,55.0
04/05/20,32332.0,55.2,58.0,60.0,55.2
05/05/20,39448.0,55.6,60.0,60.0,55.6
06/05/20,21460.0,58.0,58.0,58.0,58.0
13/05/20,1158.0,57.9,57.9,57.9,57.9
15/05/20,4053.0,57.9,57.9,57.9,57.9
19/05/20,1158.0,57.9,57.9,57.9,57.9
21/05/20,579.0,57.9,57.9,57.9,57.9
27/05/20,578.5,57.85,57.85,57.85,57.85
02/06/20,509796.0,57.8,57.8,57.8,57.8
05/06/20,285119.0,55.0,57.85,57.85,55.0
09/06/20,16156.0,59.9,59.85,59.9,59.8
10/06/20,12568.5,59.85,59.85,59.85,59.85
15/06/20,599.0,59.9,59.9,59.9,59.9
16/06/20,3905.0,50.9,59.45,59.45,50.9
17/06/20,41922.0,59.0,59.8,59.8,59.0
19/06/20,598.0,59.8,59.8,59.8,59.8
24/06/20,17568.0,58.6,58.5,58.6,58.5
29/06/20,3221238.5,52.3,52.25,52.35,52.25
30/06/20,3603496.0,57.85,54.05,58.0,54.05
01/07/20,3260130.0,54.2,54.2,54.2,54.2
02/07/20,4311437.5,54.2,65.0,78.0,54.2
