Date,Value,Open,Close,High,Low
02/01/20,6704275.0,6.71,6.75,6.82,6.63
03/01/20,8131410.0,6.84,6.8,6.84,6.73
06/01/20,17347911.0,6.8,6.7,6.8,6.7
07/01/20,8798726.0,6.65,6.6,6.7,6.6
08/01/20,884037.0,6.6,6.59,6.68,6.58
09/01/20,9510840.0,6.69,6.57,6.69,6.57
10/01/20,1412707.0,6.57,6.59,6.6,6.53
14/01/20,2561809.0,6.53,6.54,6.7,6.53
15/01/20,2854408.0,6.54,6.71,6.75,6.54
16/01/20,10445075.0,6.71,6.7,6.76,6.55
17/01/20,1441297.0,6.7,6.53,6.7,6.53
20/01/20,1921888.0,6.53,6.54,6.56,6.53
21/01/20,12870932.0,6.53,6.53,6.54,6.47
22/01/20,31189.0,6.6,6.47,6.6,6.47
23/01/20,4141803.0,6.45,6.5,6.55,6.45
24/01/20,807038.0,6.59,6.42,6.59,6.42
27/01/20,2276287.0,6.42,6.45,6.5,6.4
28/01/20,1537789.0,6.48,6.48,6.51,6.41
29/01/20,2314160.0,6.54,6.42,6.54,6.4
30/01/20,8808418.0,6.39,6.38,6.42,6.36
31/01/20,6549805.0,6.38,6.08,6.38,6.0
03/02/20,2083766.0,6.08,6.19,6.29,6.08
04/02/20,2997035.0,6.19,6.2,6.4,6.13
05/02/20,1701389.0,6.2,6.58,6.58,6.2
06/02/20,808703.0,6.58,6.5,6.58,6.32
07/02/20,9186353.0,6.32,6.3,6.4,6.19
10/02/20,23290711.0,6.3,6.28,6.36,6.16
11/02/20,93547076.0,6.15,6.57,6.57,6.15
12/02/20,709441.0,6.5,6.34,6.5,6.25
13/02/20,1801003.0,6.34,6.37,6.4,6.26
14/02/20,4332167.0,6.38,6.29,6.38,6.29
17/02/20,377932.0,6.29,6.25,6.29,6.2
18/02/20,1309074.0,6.29,6.24,6.29,6.24
19/02/20,2574856.0,6.3,6.25,6.3,6.23
20/02/20,121699.0,6.25,6.29,6.29,6.25
21/02/20,1179511.0,6.3,6.26,6.3,6.25
24/02/20,1020617.0,6.26,6.21,6.26,6.16
26/02/20,17806638.0,6.13,6.3,6.33,6.13
27/02/20,5824516.0,6.15,6.28,6.3,6.15
28/02/20,18450312.0,6.12,6.24,6.24,6.01
02/03/20,5762059.0,6.24,6.2,6.24,6.15
03/03/20,10731024.0,6.2,6.2,6.22,6.2
04/03/20,14614996.0,6.05,6.12,6.2,6.05
05/03/20,540854.0,6.12,6.19,6.24,6.1
06/03/20,2111152.0,6.19,6.21,6.22,6.11
09/03/20,14765248.0,6.21,6.06,6.21,5.9
10/03/20,3200614.0,6.0,6.0,6.02,6.0
11/03/20,8017146.0,6.0,6.0,6.01,5.86
12/03/20,14694822.0,6.0,5.72,6.0,5.71
13/03/20,14253918.0,6.0,5.71,6.05,5.32
16/03/20,3981670.0,5.71,5.3,5.71,5.2
19/03/20,7603199.0,5.2,4.52,5.29,4.52
20/03/20,2225210.0,4.51,4.75,4.75,4.51
23/03/20,6597180.0,5.0,4.29,5.0,4.25
24/03/20,12001260.0,4.29,4.35,4.43,4.28
25/03/20,8346870.0,4.5,4.7,4.82,4.5
26/03/20,1973370.0,4.99,4.8,5.1,4.8
27/03/20,14736990.0,4.95,5.0,5.3,4.84
30/03/20,1488042.0,5.0,4.5,5.0,4.5
31/03/20,9769730.0,4.87,4.75,4.95,4.63
01/04/20,12061430.0,4.93,5.0,5.0,4.65
02/04/20,8965886.0,5.19,5.0,5.19,4.85
03/04/20,9340579.0,5.0,5.01,5.19,4.85
06/04/20,9504576.0,5.19,5.05,5.19,4.9
07/04/20,6960143.0,5.1,5.0,5.19,4.98
08/04/20,13735908.0,5.0,4.84,5.0,4.69
13/04/20,31030570.0,4.78,4.85,4.98,4.62
14/04/20,20405360.0,4.9,5.0,5.3,4.9
15/04/20,23869110.0,5.06,5.0,5.06,5.0
16/04/20,8119048.0,5.0,4.81,5.0,4.8
17/04/20,9622200.0,4.85,4.95,4.95,4.81
20/04/20,3571690.0,4.98,4.95,4.99,4.85
21/04/20,20018100.0,5.0,4.88,5.0,4.78
22/04/20,3509330.0,4.88,4.78,4.88,4.78
23/04/20,4242050.0,4.78,4.9,4.94,4.78
24/04/20,2579280.0,4.9,4.79,4.9,4.79
27/04/20,2307330.0,4.79,4.81,4.88,4.76
28/04/20,1967240.0,4.81,4.93,4.93,4.79
29/04/20,12055880.0,4.93,4.93,4.94,4.91
30/04/20,8770050.0,5.0,4.98,5.15,4.98
04/05/20,1924360.0,5.0,4.85,5.0,4.85
05/05/20,1102780.0,4.9,4.96,4.97,4.86
06/05/20,2952170.0,4.96,4.92,4.98,4.89
07/05/20,2757490.0,4.9,4.94,4.97,4.83
08/05/20,3034310.0,4.95,5.08,5.08,4.9
11/05/20,4665538.0,5.07,5.13,5.25,4.98
12/05/20,7513250.0,5.13,5.07,5.2,5.07
13/05/20,3999132.0,5.19,5.13,5.19,5.11
14/05/20,2530715.0,5.13,5.11,5.13,5.06
15/05/20,5769274.0,5.19,5.08,5.19,4.99
18/05/20,2626804.0,5.17,5.05,5.17,4.95
19/05/20,8223382.0,5.07,5.11,5.25,4.95
20/05/20,14239243.0,5.2,5.02,5.25,5.0
21/05/20,16007432.0,5.19,5.04,5.19,4.96
22/05/20,7384662.0,5.04,4.98,5.1,4.96
26/05/20,3273180.0,5.0,4.92,5.0,4.83
27/05/20,4491070.0,4.92,4.95,4.98,4.91
28/05/20,19455720.0,4.95,5.04,5.2,4.95
29/05/20,27896392.0,5.1,4.83,5.2,4.83
01/06/20,16101640.0,4.87,5.07,5.1,4.87
02/06/20,15751927.0,5.29,5.3,5.36,5.1
03/06/20,23210805.0,5.4,5.5,5.72,5.4
04/06/20,28899489.0,5.5,5.53,5.6,5.45
05/06/20,21995873.0,5.56,5.55,5.58,5.5
08/06/20,27544640.0,5.55,5.56,5.6,5.55
09/06/20,13124233.0,5.66,5.61,5.72,5.58
10/06/20,31408510.0,5.62,5.59,5.65,5.44
11/06/20,17417634.0,5.62,5.57,5.62,5.44
15/06/20,6410549.0,5.57,5.5,5.57,5.41
16/06/20,24819950.0,5.5,5.46,5.5,5.42
17/06/20,17331618.0,5.52,5.4,5.52,5.4
18/06/20,1285351.0,5.4,5.41,5.41,5.39
19/06/20,11663884.0,5.42,5.36,5.42,5.36
22/06/20,3059826.0,5.36,4.81,5.37,4.81
23/06/20,1941390.0,5.33,5.24,5.33,5.12
24/06/20,5364501.0,5.2,5.2,5.28,5.16
25/06/20,1882920.0,5.2,5.29,5.29,5.03
26/06/20,1617231.0,5.28,5.2,5.28,5.2
29/06/20,407355.0,5.2,5.19,5.2,5.16
30/06/20,5643229.0,5.19,5.06,5.2,5.06
