Date,Value,Open,Close,High,Low
02/01/20,337420.0,2.15,2.15,2.15,2.09
03/01/20,736990.0,2.15,2.19,2.19,2.15
06/01/20,87640.0,2.2,2.19,2.2,2.19
07/01/20,527420.0,2.2,2.12,2.2,2.12
08/01/20,108700.0,2.12,2.15,2.15,2.11
09/01/20,86000.0,2.15,2.15,2.15,2.15
10/01/20,271090.0,2.12,2.16,2.16,2.12
14/01/20,144220.0,2.16,2.16,2.16,2.12
15/01/20,68080.0,2.12,2.16,2.16,2.12
16/01/20,123160.0,2.16,2.12,2.16,2.12
17/01/20,168500.0,2.12,2.14,2.14,2.12
20/01/20,181820.0,2.13,2.14,2.15,2.13
21/01/20,492480.0,2.16,2.17,2.19,2.16
22/01/20,181030.0,2.17,2.15,2.17,2.14
23/01/20,32250.0,2.15,2.15,2.15,2.15
24/01/20,66770.0,2.12,2.17,2.17,2.12
27/01/20,162590.0,2.14,2.13,2.14,2.13
28/01/20,141700.0,2.16,2.15,2.16,2.13
29/01/20,64800.0,2.16,2.16,2.16,2.16
30/01/20,53900.0,2.16,2.15,2.16,2.15
31/01/20,40740.0,2.15,2.15,2.15,2.13
03/02/20,463110.0,2.11,2.1,2.11,2.09
04/02/20,61390.0,2.09,2.14,2.14,2.09
05/02/20,42200.0,2.11,2.11,2.11,2.11
06/02/20,136250.0,2.09,2.11,2.11,2.09
07/02/20,18990.0,2.11,2.11,2.11,2.11
10/02/20,42600.0,2.09,2.15,2.15,2.09
11/02/20,64450.0,2.14,2.15,2.15,2.14
12/02/20,107300.0,2.15,2.14,2.15,2.14
13/02/20,53350.0,2.13,2.13,2.14,2.13
14/02/20,53420.0,2.14,2.14,2.14,2.13
17/02/20,219020.0,2.12,2.12,2.12,2.09
18/02/20,179100.0,2.12,2.1,2.12,2.1
19/02/20,130800.0,2.1,2.15,2.15,2.1
20/02/20,21300.0,2.13,2.13,2.13,2.13
21/02/20,53700.0,2.14,2.15,2.15,2.14
24/02/20,109910.0,2.1,2.15,2.15,2.09
26/02/20,342980.0,2.06,2.05,2.06,2.01
27/02/20,79950.0,2.05,2.05,2.05,2.05
28/02/20,10000.0,2.0,2.0,2.0,2.0
02/03/20,360260.0,2.0,2.02,2.02,1.98
03/03/20,411850.0,2.01,2.07,2.07,2.0
04/03/20,120400.0,2.01,2.0,2.01,2.0
06/03/20,436430.0,2.01,1.96,2.02,1.96
09/03/20,396130.0,1.9,1.77,1.9,1.77
10/03/20,195690.0,1.75,1.73,1.75,1.73
11/03/20,69600.0,1.75,1.78,1.91,1.75
12/03/20,534590.0,1.75,1.76,1.8,1.75
13/03/20,594760.0,1.77,1.76,1.8,1.75
16/03/20,3096890.0,1.76,1.92,1.92,1.76
19/03/20,12874470.0,1.92,1.88,2.06,1.86
20/03/20,341260.0,1.75,1.92,1.92,1.75
23/03/20,93370.0,1.75,1.9,1.9,1.75
25/03/20,19610.0,1.77,1.86,1.86,1.77
26/03/20,24200.0,1.84,1.84,1.88,1.84
27/03/20,20850.0,1.91,1.85,1.91,1.85
30/03/20,116750.0,1.79,1.8,1.8,1.75
31/03/20,261700.0,1.8,1.92,1.92,1.8
01/04/20,46550.0,1.8,1.92,1.92,1.76
02/04/20,47750.0,1.91,1.91,1.91,1.91
03/04/20,47150.0,1.91,1.87,1.91,1.87
06/04/20,24350.0,1.85,1.91,1.91,1.85
07/04/20,27670.0,1.84,1.91,1.91,1.8
08/04/20,18750.0,1.85,1.9,1.9,1.85
13/04/20,11410.0,1.9,1.91,1.91,1.9
14/04/20,51730.0,1.9,1.89,1.9,1.83
15/04/20,11310.0,1.81,1.9,1.9,1.81
16/04/20,12810.0,1.83,1.83,1.83,1.83
17/04/20,28150.0,1.89,1.85,1.89,1.85
20/04/20,69160.0,1.82,1.82,1.82,1.82
21/04/20,1890.0,1.89,1.89,1.89,1.89
22/04/20,5670.0,1.89,1.89,1.89,1.89
23/04/20,1164100.0,1.78,1.79,1.8,1.68
24/04/20,193740.0,1.79,1.79,1.79,1.76
28/04/20,284360.0,1.71,1.8,1.84,1.7
29/04/20,176260.0,1.73,1.75,1.79,1.71
30/04/20,169690.0,1.75,1.74,1.75,1.74
04/05/20,8700.0,1.74,1.74,1.74,1.74
05/05/20,10550.0,1.75,1.8,1.8,1.75
06/05/20,3600.0,1.8,1.8,1.8,1.8
08/05/20,26380.0,1.75,1.76,1.76,1.75
12/05/20,5250.0,1.73,1.79,1.79,1.73
13/05/20,172920.0,1.74,1.76,1.76,1.7
14/05/20,1760.0,1.76,1.76,1.76,1.76
15/05/20,8750.0,1.75,1.75,1.75,1.75
18/05/20,13920.0,1.74,1.74,1.74,1.74
19/05/20,10440.0,1.74,1.74,1.74,1.74
21/05/20,51800.0,1.72,1.74,1.74,1.72
22/05/20,207700.0,1.74,1.73,1.74,1.73
26/05/20,17340.0,1.74,1.72,1.74,1.72
27/05/20,34680.0,1.73,1.74,1.74,1.73
28/05/20,46230.0,1.72,1.74,1.74,1.7
01/06/20,61240.0,1.7,1.74,1.74,1.7
02/06/20,24360.0,1.74,1.74,1.74,1.74
03/06/20,377750.0,1.75,1.73,1.77,1.73
04/06/20,5370.0,1.79,1.79,1.79,1.79
05/06/20,35450.0,1.77,1.77,1.78,1.77
08/06/20,132610.0,1.79,1.8,1.8,1.73
09/06/20,235580.0,1.8,1.82,1.86,1.8
10/06/20,232900.0,1.88,1.8,1.88,1.8
11/06/20,131640.0,1.84,1.82,1.84,1.82
15/06/20,182880.0,1.82,1.88,1.88,1.82
16/06/20,248570.0,1.89,1.9,1.9,1.89
