Date,Value,Open,Close,High,Low
06/01/20,16420.0,0.182,0.186,0.186,0.182
07/01/20,91370.0,0.187,0.182,0.187,0.182
08/01/20,10920.0,0.182,0.182,0.182,0.182
09/01/20,58020.0,0.181,0.183,0.183,0.181
10/01/20,1840.0,0.184,0.184,0.184,0.184
14/01/20,7360.0,0.184,0.184,0.184,0.184
15/01/20,52520.0,0.184,0.181,0.184,0.181
16/01/20,1880.0,0.188,0.188,0.188,0.188
20/01/20,212600.0,0.182,0.185,0.185,0.182
21/01/20,28000.0,0.187,0.186,0.187,0.186
22/01/20,107300.0,0.185,0.185,0.185,0.185
23/01/20,89160.0,0.185,0.186,0.186,0.185
24/01/20,54640.0,0.182,0.186,0.186,0.182
27/01/20,25610.0,0.184,0.187,0.187,0.182
28/01/20,132920.0,0.182,0.188,0.188,0.182
29/01/20,18700.0,0.187,0.187,0.187,0.187
30/01/20,276830.0,0.187,0.182,0.187,0.18
31/01/20,221090.0,0.179,0.178,0.179,0.177
03/02/20,646110.0,0.177,0.186,0.187,0.177
04/02/20,204130.0,0.177,0.177,0.18,0.177
05/02/20,591580.0,0.177,0.177,0.178,0.177
06/02/20,1262430.0,0.177,0.185,0.185,0.177
07/02/20,242500.0,0.185,0.178,0.185,0.178
10/02/20,86880.0,0.177,0.184,0.184,0.177
11/02/20,441220.0,0.177,0.178,0.178,0.177
12/02/20,533440.0,0.177,0.175,0.177,0.175
13/02/20,332550.0,0.175,0.175,0.176,0.175
14/02/20,8700.0,0.174,0.174,0.174,0.174
17/02/20,191060.0,0.174,0.184,0.184,0.174
18/02/20,87500.0,0.175,0.175,0.175,0.175
19/02/20,278250.0,0.175,0.175,0.175,0.175
21/02/20,134000.0,0.173,0.171,0.173,0.171
24/02/20,213180.0,0.171,0.179,0.18,0.171
26/02/20,354400.0,0.175,0.171,0.175,0.17
28/02/20,515310.0,0.166,0.165,0.166,0.165
02/03/20,312230.0,0.164,0.161,0.164,0.16
03/03/20,147050.0,0.16,0.162,0.166,0.16
04/03/20,24670.0,0.163,0.165,0.165,0.163
05/03/20,38090.0,0.166,0.163,0.166,0.163
06/03/20,45750.0,0.177,0.161,0.177,0.161
09/03/20,734110.0,0.161,0.153,0.161,0.153
10/03/20,11890.0,0.152,0.172,0.176,0.152
11/03/20,355200.0,0.175,0.17,0.175,0.17
12/03/20,165110.0,0.151,0.14,0.151,0.14
13/03/20,44550.0,0.135,0.135,0.135,0.135
16/03/20,283170.0,0.136,0.135,0.137,0.135
19/03/20,162810.0,0.134,0.12,0.134,0.12
20/03/20,9640.0,0.121,0.12,0.121,0.12
23/03/20,65700.0,0.12,0.115,0.12,0.115
24/03/20,72650.0,0.115,0.12,0.12,0.115
26/03/20,2320.0,0.114,0.118,0.118,0.114
27/03/20,2212930.0,0.118,0.131,0.14,0.118
30/03/20,50680.0,0.133,0.128,0.133,0.128
31/03/20,10160.0,0.127,0.127,0.127,0.127
01/04/20,3810.0,0.127,0.127,0.127,0.127
02/04/20,228640.0,0.116,0.116,0.117,0.116
03/04/20,233810.0,0.12,0.12,0.12,0.119
06/04/20,5400.0,0.135,0.135,0.135,0.135
13/04/20,7650.0,0.12,0.129,0.129,0.12
14/04/20,19120.0,0.12,0.13,0.132,0.12
15/04/20,3880.0,0.13,0.129,0.13,0.129
16/04/20,379730.0,0.144,0.12,0.144,0.12
17/04/20,3690.0,0.125,0.122,0.125,0.122
21/04/20,15100.0,0.121,0.13,0.132,0.121
22/04/20,14320.0,0.131,0.129,0.131,0.129
23/04/20,1340.0,0.134,0.134,0.134,0.134
28/04/20,1210.0,0.121,0.121,0.121,0.121
29/04/20,82290.0,0.125,0.134,0.134,0.123
30/04/20,58590.0,0.133,0.133,0.133,0.12
04/05/20,1230.0,0.123,0.123,0.123,0.123
05/05/20,38870.0,0.134,0.135,0.135,0.134
06/05/20,2700.0,0.135,0.135,0.135,0.135
19/05/20,11070.0,0.123,0.123,0.123,0.123
20/05/20,3850.0,0.13,0.125,0.13,0.125
21/05/20,1240.0,0.124,0.124,0.124,0.124
22/05/20,1240.0,0.124,0.124,0.124,0.124
26/05/20,69960.0,0.123,0.12,0.123,0.12
27/05/20,7142590.0,0.119,0.129,0.13,0.119
28/05/20,232330.0,0.12,0.121,0.129,0.12
01/06/20,281950.0,0.125,0.12,0.125,0.12
02/06/20,64850.0,0.12,0.124,0.124,0.119
03/06/20,109770.0,0.122,0.124,0.125,0.12
04/06/20,50720.0,0.124,0.121,0.124,0.121
08/06/20,122330.0,0.124,0.124,0.125,0.122
09/06/20,140120.0,0.124,0.124,0.124,0.124
10/06/20,114560.0,0.124,0.125,0.125,0.124
11/06/20,8730.0,0.122,0.124,0.126,0.122
15/06/20,69500.0,0.122,0.122,0.122,0.121
16/06/20,258930.0,0.121,0.129,0.129,0.12
17/06/20,194210.0,0.129,0.127,0.129,0.121
18/06/20,11210.0,0.121,0.127,0.127,0.121
19/06/20,64980.0,0.12,0.123,0.127,0.12
22/06/20,5010.0,0.127,0.124,0.127,0.123
23/06/20,18600.0,0.124,0.124,0.124,0.124
24/06/20,20910.0,0.123,0.123,0.123,0.123
25/06/20,1230.0,0.123,0.123,0.123,0.123
26/06/20,35390.0,0.127,0.121,0.127,0.121
29/06/20,243770.0,0.12,0.12,0.127,0.12
30/06/20,12400.0,0.124,0.124,0.124,0.124
01/07/20,59000.0,0.118,0.118,0.118,0.118
02/07/20,60140.0,0.118,0.118,0.118,0.117
03/07/20,81250.0,0.117,0.116,0.117,0.116
06/07/20,58240.0,0.118,0.124,0.125,0.118
07/07/20,2480.0,0.124,0.124,0.124,0.124
08/07/20,3530.0,0.118,0.117,0.118,0.117
10/07/20,674690.0,0.118,0.123,0.123,0.116
13/07/20,59520.0,0.124,0.124,0.124,0.124
14/07/20,415150.0,0.123,0.125,0.125,0.122
15/07/20,19092860.0,0.13,0.123,0.169,0.121
16/07/20,1729340.0,0.122,0.123,0.123,0.119
17/07/20,165330.0,0.124,0.122,0.124,0.12
20/07/20,1057570.0,0.122,0.122,0.125,0.115
21/07/20,82310630.0,0.118,0.128,0.149,0.118
22/07/20,1210000.0,0.129,0.123,0.131,0.121
23/07/20,932320.0,0.122,0.119,0.122,0.118
24/07/20,239570.0,0.118,0.12,0.121,0.118
27/07/20,501130.0,0.118,0.12,0.12,0.117
28/07/20,160230.0,0.117,0.119,0.119,0.117
29/07/20,540020.0,0.12,0.121,0.127,0.12
30/07/20,404130.0,0.121,0.12,0.121,0.12
03/08/20,309220.0,0.119,0.12,0.12,0.117
04/08/20,489830.0,0.12,0.117,0.12,0.117
05/08/20,112360.0,0.117,0.119,0.119,0.117
06/08/20,147810.0,0.12,0.117,0.12,0.117
07/08/20,49690.0,0.117,0.12,0.12,0.117
10/08/20,263610.0,0.117,0.124,0.124,0.117
11/08/20,998760.0,0.126,0.126,0.134,0.124
12/08/20,88590.0,0.125,0.124,0.125,0.121
13/08/20,26780.0,0.121,0.124,0.125,0.121
14/08/20,375370.0,0.125,0.124,0.125,0.121
17/08/20,45990.0,0.12,0.124,0.124,0.12
18/08/20,187050.0,0.12,0.123,0.123,0.12
20/08/20,98430.0,0.123,0.126,0.126,0.123
24/08/20,16900.0,0.12,0.125,0.125,0.12
25/08/20,314900.0,0.12,0.125,0.125,0.12
26/08/20,140480.0,0.12,0.124,0.124,0.12
27/08/20,82390.0,0.121,0.124,0.125,0.121
28/08/20,46570.0,0.121,0.124,0.125,0.121
01/09/20,124660.0,0.121,0.124,0.124,0.121
02/09/20,22980.0,0.12,0.124,0.124,0.12
03/09/20,28190.0,0.124,0.124,0.124,0.121
04/09/20,281860.0,0.122,0.129,0.13,0.122
07/09/20,19740.0,0.123,0.129,0.129,0.123
08/09/20,61310.0,0.125,0.129,0.129,0.123
09/09/20,9030.0,0.129,0.129,0.129,0.129
11/09/20,8922340.0,0.124,0.133,0.137,0.124
14/09/20,938000.0,0.131,0.128,0.133,0.126
15/09/20,55020.0,0.125,0.13,0.131,0.125
16/09/20,53200.0,0.134,0.131,0.134,0.127
17/09/20,98980.0,0.128,0.13,0.131,0.127
18/09/20,83150.0,0.13,0.131,0.131,0.128
21/09/20,399600.0,0.13,0.133,0.135,0.125
22/09/20,769880.0,0.133,0.133,0.133,0.127
23/09/20,731520.0,0.128,0.132,0.133,0.128
24/09/20,36230.0,0.132,0.133,0.133,0.128
25/09/20,8040.0,0.134,0.134,0.134,0.134
28/09/20,160070.0,0.129,0.133,0.134,0.129
29/09/20,132170.0,0.131,0.131,0.131,0.129
30/09/20,144700.0,0.133,0.133,0.133,0.129
01/10/20,173190.0,0.13,0.132,0.132,0.129
02/10/20,41760.0,0.13,0.132,0.132,0.13
05/10/20,232560.0,0.131,0.132,0.132,0.13
06/10/20,213260.0,0.129,0.13,0.132,0.128
07/10/20,73960.0,0.13,0.132,0.132,0.129
08/10/20,14190.0,0.129,0.129,0.129,0.129
09/10/20,25800.0,0.129,0.129,0.129,0.129
12/10/20,152050.0,0.129,0.127,0.129,0.127
13/10/20,158980.0,0.127,0.13,0.13,0.125
14/10/20,151280.0,0.13,0.131,0.132,0.128
15/10/20,2744160.0,0.132,0.131,0.141,0.13
16/10/20,255330.0,0.131,0.131,0.131,0.129
19/10/20,394530.0,0.13,0.134,0.134,0.129
20/10/20,131740.0,0.133,0.134,0.134,0.131
21/10/20,597610.0,0.134,0.138,0.139,0.134
22/10/20,158820.0,0.136,0.137,0.137,0.133
