Date,Value,Open,Close,High,Low
02/01/20,20000.0,0.4,0.4,0.4,0.4
03/01/20,1563000.0,0.4,0.4,0.41,0.4
06/01/20,124000.0,0.4,0.4,0.4,0.4
07/01/20,8000.0,0.4,0.4,0.4,0.4
08/01/20,42900.0,0.39,0.39,0.39,0.39
09/01/20,503100.0,0.405,0.41,0.41,0.4
10/01/20,104600.0,0.405,0.41,0.41,0.4
14/01/20,16400.0,0.41,0.41,0.41,0.41
16/01/20,92200.0,0.405,0.4,0.405,0.4
17/01/20,4050.0,0.405,0.405,0.405,0.405
20/01/20,8100.0,0.405,0.405,0.405,0.405
21/01/20,167050.0,0.405,0.41,0.41,0.405
22/01/20,631000.0,0.41,0.415,0.43,0.41
23/01/20,205000.0,0.41,0.41,0.41,0.41
24/01/20,917050.0,0.415,0.39,0.415,0.39
27/01/20,167700.0,0.39,0.39,0.39,0.39
28/01/20,195000.0,0.39,0.39,0.39,0.39
30/01/20,80850.0,0.385,0.385,0.385,0.385
31/01/20,712500.0,0.385,0.38,0.385,0.38
03/02/20,242150.0,0.38,0.375,0.38,0.37
05/02/20,233100.0,0.37,0.37,0.37,0.37
06/02/20,56000.0,0.37,0.375,0.375,0.37
07/02/20,15200.0,0.38,0.38,0.38,0.38
10/02/20,727350.0,0.365,0.365,0.37,0.365
11/02/20,3650.0,0.365,0.365,0.365,0.365
12/02/20,91250.0,0.365,0.365,0.365,0.365
13/02/20,507900.0,0.365,0.35,0.365,0.35
14/02/20,140000.0,0.35,0.35,0.35,0.35
17/02/20,18407650.0,0.35,0.405,0.45,0.35
18/02/20,3054600.0,0.41,0.385,0.425,0.385
19/02/20,1479100.0,0.39,0.375,0.39,0.37
20/02/20,407600.0,0.365,0.39,0.395,0.365
21/02/20,370150.0,0.37,0.38,0.39,0.37
24/02/20,746350.0,0.365,0.35,0.365,0.35
26/02/20,640100.0,0.35,0.34,0.35,0.34
27/02/20,330150.0,0.325,0.33,0.34,0.32
28/02/20,188100.0,0.33,0.33,0.33,0.33
02/03/20,333300.0,0.325,0.32,0.325,0.32
03/03/20,67750.0,0.32,0.325,0.325,0.32
04/03/20,441500.0,0.32,0.32,0.33,0.32
05/03/20,12800.0,0.32,0.32,0.32,0.32
06/03/20,337950.0,0.32,0.315,0.32,0.31
09/03/20,526800.0,0.315,0.3,0.315,0.3
