Date,Value,Open,Close,High,Low
02/01/20,4975524.0,9.55,9.5,9.6,9.46
03/01/20,8089590.0,9.5,9.6,9.64,9.49
06/01/20,6407301.0,9.6,9.17,9.6,9.14
07/01/20,5042726.0,9.18,9.18,9.24,9.06
08/01/20,4028030.0,9.2,9.06,9.4,9.02
09/01/20,7361929.0,9.09,9.1,9.2,9.09
10/01/20,9514213.0,9.1,9.2,9.21,9.05
14/01/20,35055823.0,9.36,9.39,9.48,9.2
15/01/20,15148688.0,9.48,9.34,9.48,9.29
16/01/20,6067336.0,9.36,9.0,9.43,9.0
17/01/20,9903732.0,9.3,9.0,9.3,9.0
20/01/20,7546358.0,9.12,8.95,9.13,8.95
21/01/20,5960937.0,8.95,8.8,8.95,8.78
22/01/20,8554234.0,8.81,8.78,8.99,8.77
23/01/20,2847780.0,8.99,8.88,8.99,8.8
24/01/20,4971789.0,8.9,8.88,9.0,8.81
27/01/20,2414599.0,8.99,8.92,8.99,8.8
28/01/20,5050975.0,8.98,8.92,8.98,8.88
29/01/20,6871779.0,9.0,9.02,9.13,8.94
30/01/20,13277720.0,9.1,9.05,9.1,9.03
31/01/20,16992915.0,9.1,8.8,9.1,8.66
03/02/20,20216159.0,8.78,8.66,8.78,8.61
04/02/20,14389964.0,8.72,8.65,9.15,8.63
05/02/20,15510660.0,8.8,8.8,8.98,8.6
06/02/20,18119301.0,8.9,8.95,9.08,8.9
07/02/20,3382906.0,9.0,9.0,9.08,8.95
10/02/20,9030092.0,9.0,8.8,9.0,8.75
11/02/20,4862907.0,9.0,9.1,9.1,8.8
12/02/20,10787975.0,9.1,8.67,9.1,8.65
13/02/20,14345838.0,9.05,8.6,9.05,8.27
14/02/20,10573617.0,8.89,8.6,8.89,8.5
17/02/20,1167165.0,8.64,8.52,8.64,8.4
18/02/20,28518796.0,8.52,8.45,8.57,8.45
19/02/20,25125306.0,8.44,8.4,8.5,8.15
20/02/20,19214643.0,8.4,8.34,8.52,8.3
21/02/20,7097911.0,8.34,8.23,8.34,8.23
24/02/20,5934965.0,8.25,8.15,8.4,8.15
26/02/20,25899631.0,8.19,7.41,8.35,7.41
27/02/20,16054766.0,7.75,7.7,7.9,7.68
28/02/20,37116317.0,7.7,7.22,7.7,7.19
02/03/20,17919564.0,7.5,7.42,7.5,7.3
03/03/20,3267529.0,7.58,7.5,7.61,7.36
04/03/20,1885398.0,7.52,7.44,7.52,7.2
05/03/20,12517818.0,7.45,7.05,7.5,7.05
06/03/20,34593971.0,7.06,6.41,7.06,6.05
09/03/20,16972442.0,6.45,6.2,6.46,6.05
10/03/20,134799757.0,6.15,5.6,6.15,5.55
11/03/20,34643547.0,5.69,6.01,6.24,5.69
12/03/20,28099886.0,6.01,5.66,6.01,5.61
13/03/20,68507326.0,5.6,5.1,5.6,5.03
16/03/20,33210303.0,5.02,4.87,5.02,4.87
19/03/20,44593740.0,4.6,3.97,4.76,3.97
20/03/20,46752420.0,4.01,4.07,4.5,4.01
23/03/20,11834420.0,4.2,4.07,4.2,4.05
24/03/20,31036720.0,4.12,4.42,4.7,4.12
25/03/20,28180430.0,4.6,4.51,5.03,4.51
