Date,Value,Open,Close,High,Low
02/01/20,48800.0,4.88,4.88,4.88,4.88
03/01/20,2474270.0,4.99,4.8,5.0,4.8
07/01/20,1222090.0,5.17,5.0,5.18,5.0
10/01/20,12355.0,4.71,5.0,5.0,4.71
14/01/20,1805988.0,4.99,5.0,5.0,4.99
16/01/20,129220.0,5.0,5.1,5.3,5.0
21/01/20,129012.0,5.0,4.72,5.0,4.71
23/01/20,9500.0,4.75,4.75,4.75,4.75
24/01/20,1601440.0,4.99,5.2,6.0,4.91
27/01/20,1819721.0,4.75,5.48,5.49,4.74
29/01/20,84680.0,4.9,5.37,5.39,4.9
31/01/20,1074.0,5.37,5.37,5.37,5.37
03/02/20,217000.0,4.91,4.9,5.1,4.9
04/02/20,1488000.0,4.0,4.0,4.0,4.0
05/02/20,5101660.0,4.5,4.0,4.64,4.0
06/02/20,314100.0,4.13,4.24,4.24,4.0
07/02/20,632320.0,4.0,4.24,4.24,4.0
13/02/20,204480.0,4.0,4.18,4.18,4.0
18/02/20,1525650.0,4.0,4.08,4.19,4.0
19/02/20,1225030.0,4.0,3.9,4.0,3.66
20/02/20,124000.0,4.0,4.0,4.0,4.0
21/02/20,520000.0,4.0,4.0,4.0,4.0
24/02/20,72430.0,3.81,4.0,4.0,3.8
26/02/20,1564170.0,3.81,4.09,4.09,3.8
27/02/20,20450.0,4.09,4.09,4.09,4.09
28/02/20,48270.0,3.71,3.66,3.99,3.66
02/03/20,931020.0,3.97,3.99,4.09,3.66
03/03/20,1863040.0,3.98,4.0,4.0,3.98
04/03/20,159600.0,3.99,3.99,3.99,3.99
05/03/20,11970.0,3.99,3.99,3.99,3.99
09/03/20,148840.0,3.4,3.98,3.98,3.4
11/03/20,1005480.0,3.99,3.99,3.99,3.99
12/03/20,49830.0,3.6,3.99,3.99,3.6
16/03/20,362780.0,3.1,3.13,3.13,3.1
19/03/20,42440.0,3.14,3.14,3.14,2.99
20/03/20,87430.0,2.83,2.82,2.83,2.82
24/03/20,112810.0,2.83,2.82,2.83,2.82
26/03/20,30000.0,3.0,3.0,3.0,3.0
31/03/20,6600.0,3.1,3.5,3.5,3.1
03/04/20,25300.0,2.53,2.53,2.53,2.53
06/04/20,25460.0,2.7,2.76,2.95,2.7
07/04/20,410400.0,2.82,2.7,2.82,2.7
08/04/20,6580.0,3.29,3.29,3.29,3.29
14/04/20,3260.0,3.26,3.26,3.26,3.26
15/04/20,1014210.0,3.1,3.05,3.26,3.03
16/04/20,93990.0,3.05,3.03,3.05,3.03
17/04/20,176910.0,3.03,3.03,3.03,2.81
20/04/20,246310.0,2.82,2.95,2.95,2.8
21/04/20,2890.0,2.89,2.89,2.89,2.89
22/04/20,81000.0,3.0,3.0,3.0,3.0
23/04/20,78000.0,3.0,3.0,3.0,3.0
24/04/20,80620.0,2.81,3.03,3.03,2.81
28/04/20,57630.0,3.03,3.05,3.05,3.03
29/04/20,3100.0,3.1,3.1,3.1,3.1
04/05/20,243830.0,2.9,2.8,2.9,2.8
08/05/20,3070.0,3.07,3.07,3.07,3.07
14/05/20,5620.0,2.81,2.81,2.81,2.81
15/05/20,88000.0,2.8,3.04,3.04,2.8
18/05/20,89920.0,2.81,2.81,2.81,2.81
20/05/20,2800.0,2.8,2.8,2.8,2.8
21/05/20,280000.0,2.8,2.8,2.8,2.8
22/05/20,3000.0,3.0,3.0,3.0,3.0
28/05/20,25650.0,2.85,2.85,2.85,2.85
29/05/20,88350.0,2.85,2.85,2.85,2.85
04/06/20,744870.0,2.8,2.8,2.83,2.79
05/06/20,162650.0,2.83,2.97,2.97,2.8
08/06/20,74020.0,2.97,2.97,2.97,2.96
09/06/20,111940.0,2.97,3.08,3.08,2.96
10/06/20,9200.0,3.06,3.08,3.08,3.06
11/06/20,44970.0,2.99,3.0,3.0,2.99
15/06/20,65500.0,2.89,2.9,3.0,2.89
16/06/20,9130.0,3.0,3.08,3.08,3.0
17/06/20,5780.0,2.89,2.89,2.89,2.89
18/06/20,122690.0,2.9,3.0,3.0,2.88
