Date,Value,Open,Close,High,Low
02/01/20,87230348.0,6.5,6.7,6.76,6.16
03/01/20,29384768.0,6.5,6.45,6.65,6.45
06/01/20,78979355.0,6.46,6.69,6.69,6.27
07/01/20,156725899.0,6.75,6.98,7.09,6.68
08/01/20,182611314.0,6.97,7.0,7.07,6.5
09/01/20,117296848.0,7.01,7.04,7.16,6.99
10/01/20,58203995.0,7.06,7.07,7.15,6.97
14/01/20,87956835.0,6.61,6.73,6.87,6.6
15/01/20,52178427.0,6.75,6.69,6.83,6.6
16/01/20,61836859.0,6.69,6.48,6.69,6.43
17/01/20,74007207.0,6.45,6.36,6.54,6.29
20/01/20,57238356.0,6.3,6.35,6.35,6.2
21/01/20,42509948.0,6.26,6.26,6.31,6.21
22/01/20,68206521.0,6.22,6.32,6.36,6.22
23/01/20,21366827.0,6.34,6.32,6.54,6.32
24/01/20,46797049.0,6.3,6.2,6.4,6.2
27/01/20,53196456.0,6.2,6.21,6.24,5.9
28/01/20,10354021.0,6.18,6.09,6.18,6.05
29/01/20,67507673.0,6.07,5.97,6.09,5.9
30/01/20,40103497.0,6.0,5.96,6.11,5.95
31/01/20,56396046.0,6.0,6.1,6.18,5.96
03/02/20,37860394.0,6.14,6.0,6.14,5.91
04/02/20,43125379.0,5.99,6.2,6.25,5.96
05/02/20,59581583.0,6.24,6.11,6.28,6.07
06/02/20,22233695.0,6.19,6.19,6.27,6.12
07/02/20,42477026.0,6.19,6.1,6.19,6.04
10/02/20,19448342.0,6.12,6.06,6.15,6.03
11/02/20,20896973.0,6.08,6.11,6.13,6.06
12/02/20,65540260.0,6.05,6.0,6.06,5.95
13/02/20,49470640.0,6.01,5.8,6.02,5.76
14/02/20,31742749.0,5.8,5.84,5.97,5.79
17/02/20,54064285.0,5.87,5.83,5.9,5.81
18/02/20,63324650.0,5.81,5.7,5.81,5.68
19/02/20,68856872.0,5.8,5.65,5.8,5.6
20/02/20,21113331.0,5.71,5.64,5.8,5.64
21/02/20,31451378.0,5.7,5.62,5.7,5.6
24/02/20,57290306.0,5.6,5.4,5.6,5.31
26/02/20,64510030.0,5.29,5.21,5.29,5.15
27/02/20,31011800.0,5.21,5.24,5.3,5.19
28/02/20,73269863.0,5.23,5.3,5.46,5.17
02/03/20,66965040.0,5.28,5.31,5.36,5.1
