Date,Value,Open,Close,High,Low
02/01/20,1500.0,5.0,5.0,5.0,5.0
07/01/20,24000.0,5.0,5.0,5.0,5.0
08/01/20,1000.0,5.0,5.0,5.0,5.0
17/01/20,1593.0,5.01,5.46,5.46,5.01
20/01/20,3276.0,5.46,5.46,5.46,5.46
22/01/20,132548.0,5.43,5.46,5.46,5.43
28/01/20,136443.0,5.02,5.39,5.4,5.01
30/01/20,501004.0,5.02,5.39,5.39,5.0
31/01/20,1078.0,5.39,5.39,5.39,5.39
19/02/20,188964.0,5.39,5.4,5.4,5.39
24/02/20,1080.0,5.4,5.4,5.4,5.4
28/02/20,48480.0,4.8,4.8,4.8,4.8
02/03/20,24930.0,4.8,5.26,5.27,4.8
03/03/20,544.0,5.44,5.44,5.44,5.44
12/03/20,5370.0,5.37,5.37,5.37,5.37
13/03/20,451500.0,4.8,4.5,4.8,4.5
02/04/20,8000.0,4.0,4.0,4.0,4.0
14/04/20,16000.0,4.0,4.0,4.0,4.0
15/04/20,4500.0,4.5,4.5,4.5,4.5
16/04/20,230000.0,4.6,4.6,4.6,4.6
23/04/20,5000.0,5.0,5.0,5.0,5.0
29/04/20,2000.0,4.0,4.0,4.0,4.0
05/05/20,9620.0,4.8,4.82,4.82,4.8
11/05/20,13650.0,4.03,4.82,4.82,4.03
15/05/20,4010.0,4.01,4.01,4.01,4.01
18/05/20,228390.0,4.03,4.0,4.03,4.0
22/05/20,805100.0,4.04,4.02,4.04,4.02
28/05/20,100500.0,4.02,4.02,4.02,4.02
03/06/20,421350.0,4.02,4.01,4.02,4.01
17/06/20,37660.0,4.78,4.5,4.78,4.5
18/06/20,26860.0,3.57,4.46,4.46,3.57
19/06/20,17980.0,4.49,4.5,4.5,4.49
22/06/20,16080.0,4.02,4.02,4.02,4.02
23/06/20,246450.0,4.04,4.05,4.05,4.04
02/07/20,8040.0,4.02,4.02,4.02,4.02
03/07/20,44050.0,4.01,4.0,4.01,4.0
16/07/20,7740.0,3.87,3.87,3.87,3.87
20/07/20,8350.0,4.1,4.25,4.25,4.1
21/07/20,24550.0,4.25,4.3,4.3,3.9
30/07/20,11350.0,3.55,3.9,3.9,3.55
05/08/20,19500.0,3.9,3.9,3.9,3.9
19/08/20,32210.0,4.02,4.07,4.07,4.02
20/08/20,500480.0,3.91,3.91,3.91,3.91
24/08/20,94580.0,3.91,3.51,3.91,3.51
25/08/20,193210.0,3.56,3.5,3.56,3.5
27/08/20,35000.0,3.5,3.5,3.5,3.5
01/09/20,197100.0,3.4,3.3,3.4,3.1
02/09/20,6600.0,3.3,3.3,3.3,3.3
04/09/20,3300.0,3.3,3.3,3.3,3.3
15/09/20,15780.0,3.16,3.15,3.16,3.15
16/09/20,120670.0,3.16,3.46,3.47,3.15
17/09/20,156520.0,3.16,3.4,3.4,3.16
21/09/20,19130.0,3.15,3.38,3.38,3.15
