Date,Value,Open,Close,High,Low
03/01/20,14700.0,4.9,4.9,4.9,4.9
07/01/20,314200.0,5.0,4.82,5.0,4.82
08/01/20,48800.0,4.9,4.9,4.9,4.85
09/01/20,5400.0,5.4,5.4,5.4,5.4
10/01/20,57049.0,5.3,5.2,5.3,5.01
14/01/20,87295.0,5.2,5.0,5.2,5.0
15/01/20,2025.0,4.8,5.15,5.15,4.8
16/01/20,6645.0,5.15,5.1,5.15,5.1
17/01/20,33310.0,4.95,5.15,5.15,4.95
20/01/20,23700.0,4.79,5.14,5.15,4.79
21/01/20,25500.0,5.0,5.0,5.0,5.0
22/01/20,17095.0,5.19,5.0,5.19,5.0
23/01/20,10900.0,5.0,4.9,5.0,4.9
24/01/20,30000.0,5.0,5.0,5.0,5.0
27/01/20,2082413.0,5.93,5.0,5.93,4.91
28/01/20,871748.0,5.28,5.05,5.3,4.95
29/01/20,221500.0,5.0,5.0,5.0,5.0
30/01/20,77480.0,4.95,5.0,5.0,4.95
31/01/20,303833.0,5.0,4.93,5.04,4.92
03/02/20,85000.0,5.0,5.0,5.0,5.0
04/02/20,5000.0,5.0,5.0,5.0,5.0
05/02/20,361197.0,4.8,4.78,5.0,4.48
06/02/20,262660.0,4.6,4.7,4.88,4.46
07/02/20,209090.0,4.6,4.7,4.7,4.6
10/02/20,23200.0,4.7,4.6,4.7,4.6
11/02/20,199920.0,4.6,4.6,4.6,4.5
12/02/20,238900.0,4.9,4.6,4.9,4.6
13/02/20,90020.0,4.5,4.48,4.59,4.48
14/02/20,13480.0,4.48,4.5,4.5,4.48
18/02/20,31980.0,4.5,4.6,4.6,4.5
20/02/20,22950.0,4.59,4.59,4.59,4.59
21/02/20,47690.0,4.59,4.8,4.8,4.59
26/02/20,19160.0,4.79,4.79,4.79,4.79
27/02/20,31260.0,4.5,4.46,4.5,4.46
28/02/20,278180.0,4.5,4.0,4.77,4.0
02/03/20,146070.0,4.06,4.0,4.2,4.0
03/03/20,117050.0,4.2,4.0,4.2,4.0
04/03/20,20570.0,4.0,4.19,4.19,4.0
05/03/20,50000.0,4.0,4.2,4.2,4.0
06/03/20,32000.0,4.0,4.0,4.0,4.0
09/03/20,153300.0,4.0,3.6,4.0,3.5
10/03/20,136800.0,3.6,3.6,3.6,3.6
11/03/20,35500.0,3.5,3.6,3.6,3.5
12/03/20,305090.0,3.31,3.2,3.31,3.2
13/03/20,345320.0,3.01,3.2,3.25,3.01
16/03/20,407150.0,3.17,3.0,3.19,3.0
19/03/20,453100.0,2.8,2.8,3.0,2.8
20/03/20,501460.0,2.8,2.5,3.2,2.5
23/03/20,35280.0,2.52,2.52,2.52,2.52
24/03/20,2600.0,2.6,2.6,2.6,2.6
25/03/20,456040.0,2.9,3.3,3.3,2.9
26/03/20,442980.0,3.3,3.4,3.7,3.22
27/03/20,169650.0,3.45,3.2,3.6,3.2
30/03/20,19550.0,3.25,3.25,3.3,3.25
31/03/20,31100.0,3.3,3.54,3.58,3.3
02/04/20,248310.0,3.4,3.53,3.54,3.18
03/04/20,14000.0,3.5,3.5,3.5,3.5
06/04/20,61520.0,3.49,3.49,3.49,3.18
07/04/20,135000.0,3.3,3.59,3.6,3.3
08/04/20,35810.0,3.55,3.6,3.6,3.55
13/04/20,209020.0,3.4,3.4,3.7,3.4
14/04/20,164550.0,3.8,3.65,3.8,3.5
15/04/20,379840.0,3.8,3.9,3.98,3.8
16/04/20,362840.0,4.0,3.95,4.0,3.75
17/04/20,45930.0,3.99,3.8,3.99,3.8
20/04/20,148700.0,3.7,3.6,3.7,3.6
21/04/20,350280.0,3.6,3.5,3.85,3.25
22/04/20,22420.0,3.8,3.5,3.8,3.5
23/04/20,110660.0,3.5,3.5,3.78,3.27
24/04/20,150090.0,3.5,3.52,3.52,3.36
27/04/20,73300.0,3.65,3.65,3.75,3.65
28/04/20,318150.0,3.65,3.61,3.8,3.56
29/04/20,86370.0,3.83,3.75,3.83,3.66
30/04/20,40670.0,3.74,3.74,3.74,3.61
04/05/20,487490.0,3.74,3.95,3.95,3.74
05/05/20,644350.0,4.0,4.0,4.25,4.0
06/05/20,96570.0,3.97,4.0,4.15,3.97
07/05/20,16000.0,4.0,4.0,4.0,4.0
08/05/20,183900.0,3.97,4.0,4.0,3.97
11/05/20,64310.0,3.97,4.1,4.1,3.97
12/05/20,142230.0,4.09,4.05,4.1,4.05
13/05/20,55990.0,4.05,3.97,4.05,3.97
14/05/20,118820.0,3.97,3.96,3.97,3.96
15/05/20,3960.0,3.96,3.96,3.96,3.96
18/05/20,75260.0,3.97,3.96,3.97,3.96
19/05/20,50790.0,3.96,3.86,3.96,3.83
20/05/20,76500.0,3.83,3.82,3.85,3.82
21/05/20,237600.0,3.96,3.96,3.96,3.96
22/05/20,963420.0,4.12,4.1,4.65,4.05
26/05/20,508140.0,4.64,4.2,4.64,4.2
27/05/20,235360.0,4.22,4.25,4.25,4.2
28/05/20,44200.0,4.5,4.4,4.5,4.4
29/05/20,116540.0,4.54,4.5,4.54,4.45
01/06/20,70390.0,4.5,4.49,4.55,4.15
02/06/20,26960.0,4.49,4.5,4.5,4.49
03/06/20,125180.0,4.5,4.45,4.5,4.4
04/06/20,51010.0,4.45,4.4,4.45,4.21
05/06/20,97760.0,4.38,4.45,4.5,4.38
08/06/20,1244230.0,4.4,4.5,4.5,4.25
09/06/20,112500.0,4.5,4.5,4.5,4.5
10/06/20,53460.0,4.5,4.44,4.5,4.44
11/06/20,350600.0,4.5,4.46,4.5,4.46
15/06/20,290480.0,4.46,4.26,4.46,4.19
16/06/20,46970.0,4.27,4.27,4.27,4.27
17/06/20,12690.0,4.22,4.25,4.25,4.22
18/06/20,13290.0,4.49,4.4,4.49,4.4
19/06/20,39830.0,4.3,4.42,4.49,4.3
22/06/20,8880.0,4.5,4.38,4.5,4.38
23/06/20,12900.0,4.3,4.3,4.3,4.3
24/06/20,34500.0,4.32,4.31,4.32,4.31
26/06/20,46180.0,4.2,4.2,4.2,4.19
29/06/20,46450.0,4.45,4.2,4.45,4.2
30/06/20,54600.0,4.2,4.2,4.2,4.2
02/07/20,92590.0,4.25,4.2,4.25,4.2
03/07/20,402770.0,4.18,4.2,4.2,4.18
06/07/20,117600.0,4.2,4.2,4.2,4.2
07/07/20,50220.0,4.2,4.16,4.2,4.16
08/07/20,96480.0,4.2,4.16,4.2,4.16
09/07/20,29120.0,4.16,4.16,4.16,4.16
10/07/20,25040.0,4.18,4.16,4.18,4.16
13/07/20,70680.0,4.16,4.15,4.17,4.15
14/07/20,36600.0,4.16,4.04,4.16,4.04
15/07/20,375110.0,4.1,4.0,4.1,3.98
16/07/20,16590.0,4.18,4.05,4.18,4.05
17/07/20,16200.0,4.05,4.05,4.05,4.05
21/07/20,48690.0,4.05,4.0,4.1,4.0
22/07/20,36180.0,4.02,4.02,4.02,4.02
23/07/20,53100.0,4.1,4.0,4.1,4.0
24/07/20,7593050.0,4.21,5.1,5.5,4.21
27/07/20,7375819.0,5.1,5.05,5.8,5.02
28/07/20,1333394.0,5.2,5.45,5.45,5.1
29/07/20,1305558.0,5.48,5.38,5.58,5.22
30/07/20,1670369.0,5.38,5.55,5.56,5.3
03/08/20,8567937.0,5.56,6.2,6.4,5.55
04/08/20,3288881.0,6.12,5.98,6.35,5.92
05/08/20,3400133.0,5.98,6.09,6.09,5.7
06/08/20,5140337.0,6.1,5.97,6.1,5.85
07/08/20,4659418.0,4.9,5.2,5.39,4.87
10/08/20,1919996.0,5.2,5.04,5.34,5.0
11/08/20,1982968.0,5.1,4.82,5.1,4.71
12/08/20,623670.0,5.03,4.77,5.03,4.75
13/08/20,442150.0,4.77,4.67,4.8,4.6
14/08/20,347290.0,4.74,4.78,4.8,4.62
17/08/20,435490.0,4.8,4.7,4.8,4.6
18/08/20,458740.0,4.62,4.94,4.94,4.62
19/08/20,568240.0,4.94,5.0,5.08,4.94
20/08/20,512186.0,5.04,4.99,5.04,4.97
24/08/20,177010.0,5.0,4.9,5.0,4.85
25/08/20,244270.0,4.88,4.9,4.9,4.86
26/08/20,161580.0,4.9,4.94,4.95,4.85
27/08/20,112260.0,4.96,4.89,4.96,4.85
28/08/20,355640.0,4.86,4.86,4.9,4.85
01/09/20,145960.0,4.86,4.88,4.88,4.86
02/09/20,229780.0,4.9,4.89,4.9,4.88
03/09/20,235100.0,4.9,4.88,4.91,4.88
04/09/20,662580.0,4.88,4.8,4.94,4.8
07/09/20,382500.0,4.8,4.68,4.8,4.67
08/09/20,409080.0,4.68,4.7,4.75,4.68
09/09/20,346270.0,4.68,4.87,4.88,4.68
10/09/20,76920.0,4.85,4.78,4.85,4.78
11/09/20,104880.0,4.7,4.72,4.85,4.68
14/09/20,38280.0,4.68,4.8,4.8,4.68
15/09/20,214280.0,4.89,4.8,4.89,4.78
16/09/20,429690.0,4.72,4.75,4.92,4.69
17/09/20,171960.0,4.72,4.8,4.8,4.72
18/09/20,100140.0,4.79,4.75,4.79,4.75
21/09/20,517820.0,4.71,4.69,4.74,4.69
22/09/20,499380.0,4.67,4.61,4.68,4.6
23/09/20,152830.0,4.61,4.65,4.65,4.61
24/09/20,1503920.0,4.66,4.75,4.95,4.6
25/09/20,493120.0,4.69,4.68,4.84,4.63
28/09/20,638380.0,4.63,4.66,4.77,4.63
29/09/20,204220.0,4.66,4.71,4.8,4.66
30/09/20,596820.0,4.7,4.83,4.83,4.67
01/10/20,180080.0,4.84,4.67,4.84,4.67
02/10/20,177720.0,4.66,4.66,4.79,4.66
05/10/20,269230.0,4.66,4.65,4.67,4.61
06/10/20,521680.0,4.63,4.61,4.65,4.6
07/10/20,236320.0,4.61,4.61,4.73,4.61
08/10/20,93230.0,4.63,4.65,4.72,4.63
09/10/20,278920.0,4.65,4.65,4.65,4.63
12/10/20,117200.0,4.65,4.66,4.72,4.65
13/10/20,42010.0,4.66,4.67,4.72,4.66
14/10/20,272040.0,4.62,4.69,4.73,4.62
15/10/20,108690.0,4.73,4.73,4.73,4.7
16/10/20,207710.0,4.66,4.9,4.9,4.66
19/10/20,510960.0,4.9,4.85,4.98,4.85
20/10/20,173170.0,4.98,4.97,4.98,4.8
21/10/20,440230.0,4.97,5.0,5.05,4.97
22/10/20,696292.0,5.05,4.93,5.05,4.93
23/10/20,1059650.0,5.45,5.0,5.45,4.98
26/10/20,337281.0,5.0,4.94,5.0,4.85
27/10/20,316530.0,4.89,4.93,4.98,4.89
28/10/20,172690.0,4.93,4.99,4.99,4.91
29/10/20,268840.0,5.08,5.08,5.1,4.9
30/10/20,198250.0,5.08,5.0,5.08,4.91
03/11/20,169950.0,4.98,5.0,5.0,4.98
04/11/20,186044.0,5.0,5.01,5.05,5.0
05/11/20,285328.0,5.0,5.1,5.1,5.0
06/11/20,435085.0,5.1,5.08,5.1,5.01
09/11/20,266341.0,5.08,5.09,5.1,5.05
10/11/20,95103.0,5.14,5.15,5.15,5.03
11/11/20,478116.0,5.15,5.08,5.15,5.03
13/11/20,858657.0,5.08,5.1,5.14,5.06
16/11/20,1434478.0,5.1,5.2,5.25,5.1
17/11/20,544782.0,5.2,5.21,5.28,5.2
18/11/20,655989.0,5.21,5.21,5.25,5.2
19/11/20,232566.0,5.21,5.26,5.28,5.21
20/11/20,1285133.0,5.27,5.3,5.37,5.25
23/11/20,640165.0,5.34,5.35,5.38,5.3
24/11/20,1381643.0,5.35,5.4,5.42,5.25
25/11/20,1781465.0,5.42,5.72,5.74,5.42
26/11/20,621714.0,5.7,5.6,5.7,5.5
27/11/20,1243749.0,5.6,5.88,5.88,5.51
01/12/20,427138.0,5.88,5.85,5.88,5.7
02/12/20,1038302.0,5.85,5.88,5.88,5.75
03/12/20,1081344.0,5.88,6.0,6.1,5.8
04/12/20,624461.0,6.07,6.1,6.1,6.0
07/12/20,1799811.0,6.1,6.12,6.12,6.0
09/12/20,551084.0,6.12,6.14,6.14,6.12
10/12/20,3686688.0,6.14,6.34,6.4,6.12
11/12/20,5456418.0,6.34,6.95,7.0,6.34
14/12/20,12879593.0,7.06,7.95,8.5,7.06
15/12/20,3079969.0,8.0,8.1,8.4,7.99
16/12/20,1734016.0,8.1,8.0,8.1,7.72
17/12/20,1825939.0,8.09,7.74,8.1,7.5
18/12/20,1047637.0,7.74,7.95,7.97,7.72
21/12/20,1079261.0,7.95,7.95,8.0,7.79
22/12/20,2791005.0,8.0,7.75,8.01,7.5
23/12/20,694596.0,7.58,7.85,7.95,7.58
28/12/20,2273444.0,7.63,7.5,7.7,7.49
29/12/20,2324819.0,7.5,7.21,7.5,7.2
04/01/21,1153053.0,7.2,7.26,7.4,7.2
05/01/21,1160232.0,7.26,7.27,7.34,7.21
06/01/21,671308.0,7.27,7.68,7.85,7.25
07/01/21,733360.0,7.68,7.64,7.68,7.38
08/01/21,836017.0,7.68,7.8,7.8,7.65
11/01/21,701560.0,7.8,7.85,7.85,7.7
