Date,Value,Open,Close,High,Low
09/01/20,104110.0,1.65,1.72,1.78,1.65
10/01/20,3810.0,1.8,2.01,2.01,1.8
14/01/20,75610.0,1.84,2.01,2.01,1.84
16/01/20,3520.0,1.76,1.76,1.76,1.76
17/01/20,2000.0,2.0,2.0,2.0,2.0
20/01/20,18720.0,1.79,2.0,2.0,1.79
30/01/20,3790.0,1.8,1.99,1.99,1.8
31/01/20,19800.0,1.8,1.8,1.8,1.8
03/02/20,2010.0,2.01,2.01,2.01,2.01
10/02/20,1800.0,1.8,1.8,1.8,1.8
11/02/20,25100.0,2.0,1.82,2.0,1.82
14/02/20,1800.0,1.8,1.8,1.8,1.8
28/02/20,1800.0,1.8,1.8,1.8,1.8
02/03/20,5670.0,1.94,1.94,1.94,1.79
06/03/20,3440.0,1.72,1.72,1.72,1.72
11/03/20,5400.0,1.94,1.61,1.94,1.61
12/03/20,22540.0,1.61,1.61,1.61,1.61
13/03/20,3220.0,1.61,1.61,1.61,1.61
26/03/20,14820.0,1.94,1.8,1.94,1.8
27/03/20,1950.0,1.95,1.95,1.95,1.95
30/03/20,3660.0,1.96,1.7,1.96,1.7
31/03/20,1880.0,1.88,1.88,1.88,1.88
01/04/20,9040.0,1.96,1.71,1.96,1.7
02/04/20,9550.0,1.96,1.89,1.96,1.89
06/04/20,3720.0,1.87,1.85,1.87,1.85
14/04/20,1840.0,1.84,1.84,1.84,1.84
15/04/20,35120.0,1.84,1.85,1.85,1.84
16/04/20,14800.0,1.85,1.85,1.85,1.85
21/04/20,11250.0,1.61,1.6,1.61,1.6
22/04/20,31840.0,1.85,1.63,1.85,1.63
24/04/20,2830.0,1.32,1.51,1.51,1.32
29/04/20,1510.0,1.51,1.51,1.51,1.51
30/04/20,26260.0,1.55,1.54,1.55,1.54
04/05/20,19890.0,1.83,1.82,1.83,1.6
07/05/20,12330.0,1.75,1.79,1.79,1.75
11/05/20,3290.0,1.63,1.66,1.66,1.63
12/05/20,1790.0,1.79,1.79,1.79,1.79
13/05/20,1790.0,1.79,1.79,1.79,1.79
15/05/20,3300.0,1.65,1.65,1.65,1.65
19/05/20,1770.0,1.77,1.77,1.77,1.77
08/06/20,3320.0,1.65,1.67,1.67,1.65
10/06/20,1650.0,1.65,1.65,1.65,1.65
11/06/20,8250.0,1.65,1.65,1.65,1.65
19/06/20,3280.0,1.64,1.64,1.64,1.64
22/06/20,1630.0,1.63,1.63,1.63,1.63
26/06/20,8360.0,1.76,1.65,1.76,1.65
29/06/20,13860.0,1.76,1.62,1.77,1.62
30/06/20,17820.0,1.62,1.62,1.62,1.62
01/07/20,80500.0,1.61,1.61,1.61,1.61
02/07/20,1600.0,1.6,1.6,1.6,1.6
03/07/20,4950.0,1.65,1.65,1.65,1.65
07/07/20,3270.0,1.64,1.63,1.64,1.63
09/07/20,22290.0,1.66,1.51,1.66,1.51
15/07/20,25780.0,1.84,1.85,1.85,1.84
16/07/20,3680.0,1.84,1.84,1.84,1.84
17/07/20,1800.0,1.8,1.8,1.8,1.8
20/07/20,10070.0,1.57,1.7,1.7,1.57
21/07/20,57950.0,1.61,1.6,1.61,1.6
22/07/20,3180.0,1.59,1.59,1.59,1.59
29/07/20,15640.0,1.58,1.56,1.58,1.56
30/07/20,62800.0,1.57,1.57,1.57,1.57
10/08/20,15500.0,1.55,1.55,1.55,1.55
11/08/20,1600.0,1.6,1.6,1.6,1.6
13/08/20,53000.0,1.54,1.5,1.54,1.5
14/08/20,76030.0,1.5,1.38,1.5,1.35
26/08/20,186690.0,1.47,1.47,1.47,1.47
03/09/20,6900.0,1.42,1.36,1.42,1.36
04/09/20,13020.0,1.4,1.46,1.46,1.4
16/09/20,157280.0,1.48,1.4,1.48,1.4
17/09/20,14900.0,1.49,1.49,1.49,1.49
24/09/20,11920.0,1.49,1.49,1.49,1.49
01/10/20,64050.0,1.4,1.39,1.4,1.38
02/10/20,5600.0,1.4,1.4,1.4,1.4
05/10/20,50660.0,1.49,1.49,1.49,1.49
06/10/20,5520.0,1.38,1.38,1.38,1.38
07/10/20,1390.0,1.39,1.39,1.39,1.39
09/10/20,2760.0,1.38,1.38,1.38,1.38
13/10/20,88500.0,1.48,1.55,1.55,1.48
14/10/20,129180.0,1.5,1.38,1.5,1.38
19/10/20,163960.0,1.72,1.82,1.82,1.69
20/10/20,58730.0,1.82,1.5,1.82,1.5
21/10/20,3180.0,1.58,1.6,1.6,1.58
22/10/20,2176340.0,1.83,1.9,2.24,1.8
23/10/20,302790.0,1.94,1.78,1.94,1.7
26/10/20,132380.0,1.76,1.7,1.76,1.7
27/10/20,68880.0,1.68,1.68,1.68,1.68
28/10/20,61130.0,1.63,1.7,1.7,1.63
29/10/20,6880.0,1.72,1.72,1.72,1.72
03/11/20,56940.0,1.62,1.8,1.8,1.5
05/11/20,63740.0,1.7,1.71,1.88,1.7
09/11/20,76600.0,1.6,1.6,1.6,1.58
11/11/20,27440.0,1.62,1.61,1.62,1.61
16/11/20,94010.0,1.7,1.74,1.75,1.7
17/11/20,44460.0,1.75,1.7,1.75,1.7
20/11/20,29750.0,1.7,1.65,1.7,1.65
23/11/20,20400.0,1.7,1.7,1.7,1.7
24/11/20,11900.0,1.7,1.7,1.7,1.7
25/11/20,4950.0,1.65,1.65,1.65,1.65
26/11/20,141170.0,1.7,1.71,1.85,1.7
27/11/20,9100.0,1.82,1.82,1.82,1.82
01/12/20,928050.0,2.0,2.0,2.2,1.9
02/12/20,20586060.0,2.17,1.99,2.17,1.99
03/12/20,27300.0,1.95,1.95,1.95,1.95
04/12/20,327410.0,2.0,2.03,2.03,1.98
07/12/20,45600.0,2.0,1.98,2.0,1.98
09/12/20,73570.0,2.03,2.04,2.05,2.03
10/12/20,123880.0,2.04,2.0,2.04,1.98
