Date,Value,Open,Close,High,Low
03/01/20,205862.0,6.93,6.97,7.3,6.93
07/01/20,33199.0,7.29,7.06,7.29,7.0
10/01/20,539512.0,7.28,7.13,7.49,7.07
14/01/20,75805.0,7.2,7.08,7.2,7.08
15/01/20,6396.0,7.19,7.19,7.19,7.08
16/01/20,8627.0,7.19,7.18,7.23,7.17
17/01/20,30377.0,7.21,7.18,7.3,7.18
20/01/20,1436.0,7.18,7.18,7.18,7.18
21/01/20,15061.0,7.22,7.16,7.22,7.16
22/01/20,2154.0,7.22,7.16,7.22,7.16
23/01/20,6474.0,7.21,7.18,7.24,7.15
28/01/20,23006.0,7.2,7.17,7.24,7.16
29/01/20,110738.0,7.17,7.0,7.17,7.0
30/01/20,60182.0,7.01,6.99,7.05,6.99
31/01/20,156778.0,6.98,6.71,7.15,6.71
03/02/20,24102.0,6.7,6.69,6.85,6.69
04/02/20,31542.0,6.71,6.7,6.95,6.69
05/02/20,146834.0,6.7,6.5,6.79,6.5
06/02/20,24152.0,6.54,6.53,6.79,6.53
07/02/20,135634.0,6.54,6.43,6.77,6.42
10/02/20,48433.0,6.45,6.46,6.47,6.45
11/02/20,22370.0,6.69,6.49,6.73,6.48
12/02/20,51633.0,6.5,6.51,6.69,6.5
13/02/20,95395.0,6.52,6.5,6.65,6.4
14/02/20,241508.0,6.5,6.55,6.85,6.5
17/02/20,93822.0,6.6,6.55,6.62,6.54
18/02/20,91791.0,6.58,6.61,6.85,6.58
19/02/20,19267.0,6.62,6.64,6.84,6.61
20/02/20,137107.0,6.79,6.64,6.79,6.61
21/02/20,68067.0,6.78,6.73,6.92,6.65
24/02/20,52651.0,6.89,6.57,6.95,6.57
26/02/20,4599.0,6.57,6.57,6.57,6.57
27/02/20,3303.0,6.53,6.61,6.75,6.53
28/02/20,217167.0,6.52,6.45,6.57,6.35
02/03/20,25319.0,6.44,6.5,6.58,6.38
03/03/20,44252.0,6.5,6.49,6.81,6.48
04/03/20,23288.0,6.49,6.47,6.6,6.45
05/03/20,28112.0,6.47,6.42,6.47,6.37
06/03/20,51027.0,6.35,6.38,6.41,6.34
09/03/20,561967.0,6.4,6.05,6.4,5.99
10/03/20,170765.0,6.04,6.11,6.52,5.95
11/03/20,165349.0,6.4,6.15,6.98,6.15
12/03/20,12064.0,6.1,6.15,6.15,5.99
13/03/20,109481.0,5.98,6.2,6.7,5.54
16/03/20,6825.0,5.56,6.2,6.2,5.56
20/03/20,29900.0,6.15,5.76,6.15,5.75
23/03/20,6963.0,6.0,6.0,6.0,5.71
24/03/20,14137.0,6.0,6.0,6.0,5.75
25/03/20,88511.0,6.51,6.2,6.51,6.0
26/03/20,69113.0,6.0,6.5,6.68,6.0
27/03/20,16117.0,6.5,6.5,6.67,6.23
30/03/20,16188.0,6.68,6.5,6.68,6.14
31/03/20,15120.0,6.25,6.35,6.48,6.25
01/04/20,21523.0,6.2,6.35,6.35,6.08
02/04/20,28080.0,6.07,6.3,6.33,5.96
03/04/20,20691.0,6.07,6.2,6.2,6.04
06/04/20,406618.0,6.03,6.2,6.2,6.03
07/04/20,40210.0,6.21,6.19,6.21,6.06
08/04/20,79363.0,6.22,6.17,6.22,6.16
13/04/20,87140.0,6.16,6.5,6.5,6.16
14/04/20,88935.0,6.5,6.5,6.9,6.35
15/04/20,42235.0,6.89,6.89,6.89,6.49
16/04/20,50684.0,6.95,6.95,6.95,6.54
17/04/20,57306.0,7.06,7.07,7.1,6.85
20/04/20,8263.0,7.14,6.97,7.15,6.76
21/04/20,22350.0,6.84,6.85,6.97,6.7
22/04/20,23154.0,6.85,6.65,6.85,6.53
23/04/20,7908.0,6.6,6.69,6.69,6.56
24/04/20,30350.0,6.7,6.5,6.7,6.5
27/04/20,38697.0,6.65,6.87,6.87,6.55
28/04/20,7519.0,6.59,6.86,6.86,6.59
29/04/20,113265.0,6.59,7.0,7.22,6.59
